Title,Authors,Author affiliations,Abstract,Funders,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Publication date (Online),Journal,ISSN,Publisher,Volume,Issue,Pages,Subjects,Countries
On-farm water energy food carbon-footprint nexus index for quantitative assessment of integrated resources management for wheat farming in Egypt,"Omar, Mohie; Nangia, Vinay",International Center for Agricultural Research in the Dry Areas - ICARDA; National Water Research Center - NWRC,"To improve the farming efficiency, Egypt has been struggling to narrow the water, energy, and yield gaps owing to exacerbated water shortage. For quantitative diagnosis of farming performance, the paper presented an on-farm water, energy, food, and carbon-footprint (WEFC) nexus index made up of four equally pillars. The arithmetic average preserved the multi-centric approach and equal importance of the four pillars.
The index was applied to test and rank 2,042 wheat-based farmer fields in Egypt representing diverse inputs, agronomic and irrigation practices, soil types, and agroecological conditions. The water metric was the ratio of saved water, difference between maximum water consumption recorded in the country and actual water consumption, to the maximum water consumption. Likewise, the energy metric was obtained. The food metric was the ratio of actual yield to maximum yield in the country. The carbon footprint metric was the ratio of difference between maximum CO2 emission in the country and actual emission to the maximum emission. The index values showed a wide range from 18.69% to 87.33% with a high standard deviation emphasizing the diversity of farming practices, soil types, and agroecological conditions. The highest ten values were recorded in fields with sandy soils, relatively large area, drip irrigation,
recommended seeding and fertilization rates, well drainage, weeds removal, and tillage. The drip irrigation system in 51 out of 52 fields had above average value. The lowest ten values were in fields with clay soils and flood irrigation, where 18.7% of 1,780 fields exceeded the above average value. Raised beds
with furrow irrigation in 83.15% of 184 fields exceeded the above average value. Fertilization rates of nitrogen and phosphorus in 61% and 53% of fields respectively exceeded the recommended rates with no significant reflection on the food metric. The low index values in fields with flood irrigation were
attributed to high water losses causing high water consumption, energy consumption, and CO2 emission.
The index was a good indicative of input resources consumption and output production as it varied inversely with water and energy consumption and CO2 emission and proportionally with yield. Since the highwater consumption was the main entry point for low index values in fields with flood irrigation, changing
the irrigation to drip system or revisiting the irrigation scheduling and the estimated applied irrigation water amount were recommended. The index can be utilized to quantify the effectiveness of both recommendations and further new site-specific interventions and to assess their impact at scale. The index also
recommended land use consolidation where farmers retain ownership of their lands but with cooperative farming.",CGIAR Trust Fund,en,https://dx.doi.org/10.1016/j.wen.2023.09.002,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/68741,,2023-09-25,Water-Energy Nexus,2588-9125,Elsevier (12 months),6,,122-130,climate change; wheat; carbon footprint; quantitative assessment,EG
Assessing complementary synergies for integrated crop–livestock systems under conservation agriculture in Tunisian dryland farming systems,"Dhehibi, Boubaker; Fouzai, Ayoub; Frija, Aymen; Abdeladhim, Mohamed Arbi; M'hamed, Hatem Cheikh; Ouerghemmi, Hassen; Rekik, Mourad",International Center for Agricultural Research in the Dry Areas - ICARDA; National Agricultural Research Institute of Tunisia - INRAT; Office of Livestock and Pasture Authority - OEP; The Institution of Research and Higher Agricultural Education - IRESA; Ecole Supérieure d’Agriculture de Moghrane - ESA Mograne; Institut National des Grandes Cultures - Bousalem - INGC Bousalem,"The aim of this paper is twofold. The first objective is to measure the technical efficiency of mixed crop-livestock (CL) smallholder producers operating under conservation agriculture systems in Tunisian rainfed areas. The second objective is to explore complementarities, synergies, and economies of diversification across the different production system components of these crop-livestock producers using the cross-partial derivative framework of output variables in the distance function. A simple random sampling process was employed to select and survey 59 CL smallholders operating under conservation agriculture. The collected data were analyzed using a stochastic input distance function in which synergies were estimated based on the second cross-partial derivative concept of output variables in the distance function. Results show that technical inefficiencies are significant in integrated crop-livestock systems, and there is evidence that economic diversification provides a productivity buffer against climate change threats. As a sustainable intensification strategy, this integrated system also offers a potential advantage. The results further contribute to the debate on crop diversification vs. specialization. Although an enhanced system integration could be a financially and ecologically viable option for mixed crop-livestock systems, more pathways for profitable and viable diversification of cereal-based or orchard-based systems remain to be explored.",International Fund for Agricultural Development - IFAD; CGIAR Trust Fund,en,https://dx.doi.org/10.3389/fsufs.2022.1022213,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/67886,2023-01-04,2023-01-04,Frontiers in Sustainable Food Systems,2571-581X,Frontiers in Sustainable Food Systems,6,,,"barley; conservation agriculture; forage; oats; sheep; goats; vetches; beef cattle; wheats; fenugreek; goal 2 zero hunger; goal 17 partnerships for the goals; goal 12 responsible production and consumption; goal 8 decent work and economic growth; goal 6 clean water and sanitation; triticosecale; wheat; vetch (vicia spp.); oat (avena sativa); triticale; cattle; technical efficiency; reduce inequality; integrated crop-livestock farming; climate adaptation and mitigation; environmental health and biodiversity; nutrition, health and food security; poverty reduction, livelihoods and jobs; gender equality, youth and social inclusion; economies of diversification; input distance function",TN
Rehabilitation of degraded rangelands in Jordan: The effects of mechanized micro water harvesting on hill-slope scale soil water and vegetation dynamics,"Strohmeier, Stefan; Fukai, Sayo; Haddad, Mira; AlNsour, M.; Mudabber, Mohammed; Akimoto, Kota; Yamamoto, Sadahiro; Evett, Steven R; Oweis, Theib","International Center for Agricultural Research in the Dry Areas - ICARDA; National Agricultural Research Center Jordan - NARC Jordan; United States Department of Agriculture, US Forest Service - USDA-USFS; United States Department of Agriculture, Agricultural Research Service - USDA-ARS; Tottori University; Watershed and Development Initiative - WADI - Jordan","Overexploitation and climate change accelerates the degradation of Jordan’s arid rangelands. Uncovered and crusted soils increase runoff and erosion and hinder the emergence of native vegetation. Micro water harvesting combined With shrub-seedling plantation has been widely applied to reverse land degradation trends.  However, consequential soil water and vegetation dynamics have been rarely assessed, which constrains further  out- scaling of the rehabilitation practice to complex environments. In Jordan, an experiment was set up to study the linkages between local rainfall characteristics, soil moisture, and the development of out-planted shrub-seedlings. Soil moisture was recorded at approximately weekly time-interval during the rainy and dry season 2017/2018 using a manually operated soil water sensor. Transect monitoring was pursued up and down the slope across four micro water harvesting pits and the interspaces. Data confirmed a significant soil moisture increase inside the pits - bridging intra-seasonal dry spells and soil water potentially deep-percolated into the karstic bedrock underneath. The study found that the out-planted shrubs’ stem diameter and height predominantly increased during post rainy season when the interspaces dried up while the pits continued providing moisture. The results are promising and contribute to integrated research towards halting land degradation and sustainable agro-pastoral development.",International Water Management Institute - IWMI,en,https://dx.doi.org/10.1016/j.jaridenv.2020.104338,Timeless limited access,,https://hdl.handle.net/20.500.11766/12602,2021-02-01,2020-10-18,Journal Of Arid Environments,0140-1963,Elsevier (12 months),185,,,erosion; land degradation; surface runoff; soil moisture; rangeland rehabilitation,JO
Crop wild relatives in Lebanon: mapping the distribution of Poaceae and Fabaceae priority taxa for conservation planning,"Sayde, Eliane; Raggi, Lorenzo; Chalak, Lamis; Yazbek, Mariana; Negri, Valeria",International Center for Agricultural Research in the Dry Areas - ICARDA; Lebanese University - UL Lebanon; University of Perugia - UNIPG,"Lebanon is a part of the Fertile Crescent recognized for its agrobiodiversity wealth in terms of both cultivated plants and crop wild relatives (CWR) diversity. Within the context of climate change and its adverse effect on agrobiodiversity, conservation of CWRs in Lebanon is essential to prevent the loss of potentially useful genetic diversity and to facilitate their use in crop breeding. To establish a comprehensive conservation plan for Lebanese CWR belonging to Poaceae and Fabaceae, in this study we prioritized 16 taxa based on their value for world security and local economy, gene pool (primary and secondary) and genome type (A, B and D for Triticum genera). Georeferenced occurrence data of populations belonging to the prioritized taxa list were retrieved from different sources and imported into QGIS to visualize by mapping their distribution in-situ and ex-situ on the Lebanese territory, highlighting sites with highest density per genus and sites characterised by the highest taxa richness. The analysis allowed to identify Lebanese areas that still need further surveying actions (mainly the south-west parts of the country) and showed that priority taxa had different distribution pattern independently from genus. Bekaa and Baalbak governorates were evaluated to include sites represented with highest taxa richness, which makes them preliminary contenders to be included within in-situ conservation actions. This study provided a foundation for further research into the conservation planning of crop wild relatives belonging to Poaceae and Fabaceae in Lebanon by identifying areas with highest taxa richness.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1007/s10722-023-01561-4,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/69538,2023-03-11,2023-03-11,Genetic Resources and Crop Evolution,0925-9864,Springer (part of Springer Nature) (Springer Open Choice Hybrid Journals),70,,2097-2113,crop wild relatives; lebanon; conservation planning; qgis; taxa prioritization,LB
Functional description and development of polymorphic EST-SSR markers in bread wheat and their gene interactions network,"Nahas, Laila; Alsamman, Alsamman; Hamwieh, Aladdin; Al-Husein, Naim; Lababidi, Ghinwa; Morgan, Emad Fayek","International Center for Agricultural Research in the Dry Areas - ICARDA; General Commission for Scientific Agricultural Research - GCSAR; Agricultural Genetic Engineering Research Institute - AGERI; Agricultural Research Center, Field Crops Research Institute - ARC - FCRI; University of Aleppo, Faculty of Technological Engineering","The tolerance of abiotic stress is considered to be one of the key features of crop breeding under climate changes. For any crop improvement program, the selection of suitable gene pools among the germplasms is first needed. Drought and salinity traits are the most difficult ones to monitor for being polygenic. Bread wheat (Triticum aestivum) is the most commonly grown cereal grain. To predict new EST-SSR markers, 6717 expressed sequence tags (ESTs) expressed in drought and salinity stress conditions were collected from the National Center for Biotechnology Information (NCBI) then clustered and assembled. Simple sequence repeats (SSRs) have been researched from all unigenes, and then characterization and functional annotation (GO, KEGG, enzymes, TFs, and conserved motifs) for SSR-containing unigenes have been achieved. Fifty primer pairs were selected and synthesized. A polymorphism comparison between the in-silico and real PCR results was conducted. High drought and salinity-tolerant genotypes were grouped in cluster B. Interaction networks between the predicted genes were explored. Out of the polymorphic primer pairs, two primers were identified as unique primers, which may be more related to drought and salinity tolerance and could be further used in quantitative trait locus (QTLs) mapping and marker-assisted selection (MAS). The transferability of the EST-SSR markers for related wheat species ranged between 90% in some Triticum L. species and 50% in Hordeum vulgare L. In addition, some SSR-containing unigenes were highly conserved with the Zea mays genome.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1016/j.genrep.2020.100902,Timeless limited access,,https://hdl.handle.net/20.500.11766/66313,2020-12-01,2020-10-05,Gene Reports,2452-0144,Elsevier (12 months),21,,,bread wheat; drought; salinity; est-ssr; transferability; functional; spring bread wheat,
"Grasslands in 'Old World' and 'New World' Mediterranean-climate zones: past trends, current status and future research priorities","Porqueddu, Claudio; Ates, Serkan; Louhaichi, Mounir; Kyriazopoulos, Apostolos P.; Moreno Marcos, Gerardo; del Pozo, Alejandro; Ovalle, Carlos; Ewing, Mike A.; Nichols, Phillip Geoffrey Harwood","International Center for Agricultural Research in the Dry Areas - ICARDA; National Research Council, Institute for Animal Production System in Mediterranean Environment - CNR-ISPAAM; Democritus University of Thrace - DUTH; University of Extremadura, Forest Research Group - INDEHESA; Universidad de Talca, Faculdad de Ciencias Agrarias, Departamento de Producc ıon Agric ola; Instituto de Investigaciones Agropecuarias - INIA; The University of Western Australia, Faculty of Science, School of Plant Biology - UWA - FoS - SoPB; Department of Agriculture and Food Western Australia - DAFWA","Despite their ecological, economic and social importance,
grasslands in areas with Mediterranean climates
continue to receive limited scientific, political and
media attention. The main objectives of this review
are to compare and contrast dryland grasslands in the
‘Old World’ regions of the Mediterranean basin
(southern Europe, western Asia and North Africa)
with those of ‘New World’ regions with Mediterranean
climates (Australia and Chile) and to identify
common research priorities. The common characteristics
and differences in climate, soils, native vegetation,
importance of the livestock sector and the socioeconomic
background for the different Mediterranean
environments are examined. Past trends and the current
status of temporary and permanent Mediterranean
grasslands are also described. Some common
issues between these regions are as follows: (i) adaptation
to climate change; (ii) increasing persistence and
drought survival of both annual and perennial species;
(iii) the important role of forage legumes; (iv) maintaining
grassland plant diversity; and (v) improved
ecosystem services, such as carbon sequestration, control
of soil erosion and wildfires, and preservation of
both wild and domestic biodiversity. The favourable
climate in these regions, which allows year-round grazing and the growth of legumes, should be
exploited to improve the sustainability of grasslandbased,
extensive farming systems and the quality of
their animal products, while at the same time improving
ecosystem services. The decreasing support for
grassland research and development programmes
requires increased international scientific and technical
cooperation among the few institutions operating
in the different Mediterranean-climate areas of the
World to provide innovative and sustainable solutions
to farmers.",OPEC Fund for International Development - OFID,en,https://dx.doi.org/10.1111/gfs.12212,Limited access,,https://hdl.handle.net/20.500.11766/4627,2016-03-31,2016-01-11,Grass and Forage Science,1365-2494,Wiley,71,1,1-35,ecosystem services; forage legumes; mediterranean grasslands; drought survival; grass–legume mixtures,AU; CL; JO; MA; TN
Phenotypic diversity of Medicago crop wild relatives growing in Lebanon,"Karam, Nisrine; Choueiry, Zeina; Beyrouthy, Jostelle; Shehadeh, Ali; Chalak, Lamis; Yazbek, Mariana","International Center for Agricultural Research in the Dry Areas - ICARDA; Lebanese University - UL Lebanon; Lebanese University, Faculty of Agricultural Sciences - UL - FoAS","Medicago L. (Fabaceae; Papillionoidae) has high nutritive value, palatability, and ability to improve the soil fertility which puts it as one of the world’s most important forages. Medicago genetic resources are suffering from anthropogenic destructions, overgrazing, climate change and drought. Using the results of a previous gap analysis, which prioritized the species and sites for in situ and ex situ conservation, this study aims to undertake ex situ conservation activities for high priority annual Lebanese species. Accessions of the target species were collected, multiplied, characterized and conserved at Genebank of The International Center for Agricultural Research in the Dry Areas (ICARDA). Based on characterization data, morphological diversity assessment is carried out to analyse the phenotypic variability pattern in relation with the environmental conditions of the collection sites. The analysis of 26 characters applied on 19 collected species has shown a significant variability for 13 characters. The species Medicago polymorpha L. from Chwaifat, M. polymorpha from Shebenieh, M. truncatula Gaertn and M. orbicularis (L.) Bartal from Jeita, and M. constricta Durieu from Bwerij had characters that could be related to drought tolerance as they have displayed a high early vigour and an early flowering. In depth analysis of the characters early vigour, days to flowering and days to pod formation within the species in relation to drought tolerance further informed our proposed management plan. On this basis, the accessions showing a high adaptability to harsh conditions will be subject to in situ conservation.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1007/s10722-022-01516-1,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/69532,2023-03-05,2023-03-05,Genetic Resources and Crop Evolution,0925-9864,Springer (part of Springer Nature) (Springer Open Choice Hybrid Journals),70,,1487-1499,medicago; crop wild relatives; distribution; conservation; morphological diversity,LB
Characterising root trait variability in chickpea (Cicer arietinum L.) germplasm,"Chen, Yinglong; Ghanem, Michel Edmond; Siddique, Kadambot H M",International Center for Agricultural Research in the Dry Areas - ICARDA; The University of Western Australia - UWA,"Chickpea (Cicer arietinum L.) is an important grain legume crop but its sustainable production is challenged by predicted climate changes, which are likely to increase production limitations and uncertainty in yields. Characterising the variability in root architectural traits in a core collection of chickpea germplasm will provide the basis for breeding new germplasm with suitable root traits for the efficient acquisition of soil resources and adaptation to drought and other abiotic stresses. This study used a semi-hydroponic phenotyping system for assessing root trait variability across 270 chickpea genotypes. The genotypes exhibited large variation in rooting patterns and branching manner. Thirty root-related traits were characterised, 17 of which had coefficients of variation ≥0.3 among genotypes and were selected for further examination. The Pearson correlation matrix showed a strong correlation among most of the selected traits (P≤0.05). Principal component analysis revealed three principal components with eigenvalues >1 capturing 81.5% of the total variation. An agglomerative hierarchical clustering analysis, based on root trait variation, identified three genotype homogeneous groups (rescaled distance of 15) and 16 sub-groups (rescaled distance of 5). The chickpea genotypes characterised in this study with vastly different root properties could be used for further studies in glasshouses and field trials, and for molecular marker studies, gene mapping, and modelling simulations, ultimately aimed at breeding germplasm with root traits for improved adaptation to drought and other specific environments.",Arab Fund for Economic and Social Development - AFESD,en,https://dx.doi.org/10.1093/jxb/erw368,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/8000,2017-04-01,2016-10-06,Journal of Experimental Botany,0022-0957,Oxford University Press (OUP): Policy B - Oxford Open Option A,68,8,1987-1999,adaptation; cicer arietinum; chickpeas; root system architecture; chickpea; crop phenotyping; root trait variability,IN; NP
Multi-scale vulnerability assessment for adaptation planning,"Esteves, Tashina; Ravindranath, Darshini; Beddamatta, Satyasiba; Raju, KV; Sharma, Jagmohan; Bala, G.; Murthy, Indu K.","Indian Institute of Science, Center for Sustainable Technologies - iISC- CST; Indian Institute of Science - IISC; Institute for Social and Economic Change - ISEC; Pondicherry University","Vulnerability of communities and natural ecosystems,
to potential impacts of climate change in developing
countries like India, and the need for adaptation are
rapidly emerging as central issues in the debate
around policy responses to climate change. The present
study presents an approach to identify and prioritize
the most vulnerable districts, villages and
households in Karnataka State, through a multi-scale
assessment of inherent vulnerability to current climate
variability. It also identifies the drivers of inherent
vulnerability, thereby providing a tool for developing
and mainstreaming adaptation strategies, in ongoing
developmental or dedicated adaptation programmes.
The multi-scale assessment was made for all 30 districts
at the state level in Karnataka, about 1220 villages
in Chikballapur district, and at the household
level for two villages – Gundlapalli and Saddapalli – in
Bagepalli taluk of Chikballapur district. At the district,
village and household levels, low levels of education
and skills are the dominant factors contributing
to vulnerability. At the village and household level, the
lack of income diversification and livelihood support
institutions are key drivers of vulnerability. The
approach of multi-scale vulnerability assessment facilitates
identification and prioritization of the drivers
of vulnerability at different scales, to focus adaptation
interventions to address these drivers.",,en,,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/5591,,2016-04-10,Current Science,0011-3891,Indian Academy of Sciences,110,7,1225-1239,coping strategies; inherent vulnerability; multi-scale assessment; climate variability; adoption,IN
Comprehensive tissue-specific proteome analysis of drought stress responses in Pennisetum glaucum (L.) R. Br. (Pearl millet),"Ghatak, Arindam; Chaturvedi, Palak; Nagler, Matthias; Roustan, Valentin; Lyon, David; Bachmann, Gert; Postl, Wolfgang; Schröfl, Andreas; Desai, Neetin; Varshney, Rajeev; Weckwerth, Wolfram",University of Vienna; Amity University - AMITY; International Crops Research Institute for the Semi-Arid Tropics - ICRISAT,"Pearl millet is the fifth most important cereal crop worldwide and cultivated especially by small holder farmers in arid and semi-arid regions because of its drought and salt tolerance. The molecular mechanisms of drought stress tolerance in Pennisetum remain elusive. We have used a shotgun proteomics approach to investigate protein signatures from different tissues under drought and control conditions. Drought stressed plants showed significant changes in stomatal conductance and increased root growth compared to the control plants. Root, leaf and seed tissues were harvested and 2281 proteins were identified and quantified in total. Leaf tissue showed the largest number of significant changes (120), followed by roots (25) and seeds (10). Increased levels of root proteins involved in cell wall-, lipid-, secondary- and signaling metabolism and the concomitantly observed increased root length point to an impaired shoot–root communication under drought stress. The harvest index (HI) showed a significant reduction under drought stress. Proteins with a high correlation to the HI were identified using sparse partial least square (sPLS) analysis. Considering the importance of Pearl millet as a stress tolerant food crop, this study provides a first reference data set for future investigations of the underlying molecular mechanisms.",,en,https://dx.doi.org/10.1016/j.jprot.2016.02.032,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/6720,,2016-06-30,Journal of Proteomics,1876-7737,lsevier [Commercial Publisher],143,,122-135,agriculture; pearl millet; drought stress; harvest index; plant productivity; global climate change; arid and semiarid regions; multivariate statistics; tissuespecific,IN
CGIAR modeling approaches for resource‐constrained scenarios: I. Accelerating crop breeding for a changing climate,"Ramirez-Villegas, Julian; Molero Milan, Anabel; Alexandrov, Nickolai; Asseng, Senthold; J Challinor, Andrew; Crossa, Jose; van Eeuwijk, Fred; Ghanem, Michel Edmond; Grenier, Cecile; B. Heinemann, Alexandre; Wang, Jiankang; Juliana, Philomin; Kehel, Zakaria; Kholova, Jana; Koo, Jawoo; Pequeno, Diego; Quiroz, Roberto; C. Rebolledo, Maria; Sukumaran, Sivakumar; Vadez, Vincent; W. White, Jeffrey; Reynolds, Matthew","International Center for Agricultural Research in the Dry Areas - ICARDA; International Center for Tropical Agriculture - CIAT; International Crops Research Institute for the Semi-Arid Tropics - ICRISAT; International Food Policy Research Institute - IFPRI; International Maize and Wheat Improvement Center - CIMMYT; International Potato Center - CIP; United States Department of Agriculture - USDA; University of Florida - UF; Wageningen University & Research Centre - WUR; University of Leeds - UOL; International Rice Research Institute - IRRI; Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA; Mohammed VI Polytechnic University - UM6P; Chinese Academy of Agricultural Sciences, Institute of Crop Science - CAAS-ICS; Centro Agronómico Tropical de Investigación y Enseñanza - (CATIE); The French Agricultural Research Centre for International Development, UMR: Mediterranean and Tropical Livestock Systems - CIRAD - UMR SELMET; São Paulo Research Foundation - FAPESP","Crop improvement efforts aiming at increasing crop production (quantity, quality) and adapting to climate change have been subject of active research over the past years. But, the question remains ‘to what extent can breeding gains be achieved under a changing climate, at a pace sufficient to usefully contribute to climate adaptation, mitigation and food security?’. Here, we address this question by critically reviewing how model‐based approaches can be used to assist breeding activities, with particular focus on all CGIAR (formerly the Consultative Group on International Agricultural Research but now known simply as CGIAR) breeding programs. Crop modeling can underpin breeding efforts in many different ways, including assessing genotypic adaptability and stability, characterizing and identifying target breeding environments, identifying tradeoffs among traits for such environments, and making predictions of the likely breeding value of the genotypes. Crop modeling science within the CGIAR has contributed to all of these. However, much progress remains to be done if modeling is to effectively contribute to more targeted and impactful breeding programs under changing climates. In a period in which CGIAR breeding programs are undergoing a major modernization process, crop modelers will need to be part of crop improvement teams, with a common understanding of breeding pipelines and model capabilities and limitations, and common data standards and protocols, to ensure they follow and deliver according to clearly defined breeding products. This will, in turn, enable more rapid and better‐targeted crop modeling activities, thus directly contributing to accelerated and more impactful breeding efforts.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1002/csc2.20048,Open access,Copyrighted; Non-commercial educational use only,https://hdl.handle.net/20.500.11766/11868,2020-04-01,2020-01-13,Crop Science,0011-183X,Crop Science Society of America,60,2,547-567,heat tolerance; physiological traits; x environment interaction; genome-enabled prediction; pedigree-based prediction; lens-culinaris medik.; dry bean model; drought-stress; yield gains; rice yield,
Advancing the Conservation and Utilization of Barley Genetic Resources: Insights into Germplasm Management and Breeding for Sustainable Agriculture,"Visioni, Andrea; Basile, Boris; Amri, Ahmed; Sanchez-Garcia, Miguel; Corrado, Giandomenico",International Center for Agricultural Research in the Dry Areas - ICARDA; University of Naples Federico II - UniNa,"Barley is a very important crop particularly in marginal dry areas, where it often serves
as the most viable option for farmers. Additionally, barley carries great significance in the Western
world, serving not only as a fundamental crop for animal feed and malting but also as a nutritious
food source. The broad adaptability of barley and its ability to withstand various biotic and abiotic
stresses often make this species the sole cereal that can be cultivated in arid regions. The collection
and utilization of barley genetic resources are crucial for identifying valuable traits to enhance
productivity and mitigate the adverse effects of climate change. This review aims to provide an
overview of the management and exploitation of barley genetic resources. Furthermore, the review
explores the relationship between gene banks and participatory breeding, offering insights into the
diversity and utilization of barley genetic resources through some examples such as the initiatives
undertaken by ICARDA. Finally, this contribution highlights the importance of these resources for
boosting barley productivity, addressing climate change impacts, and meeting the growing food
demands in a rapidly changing agriculture. The understanding and utilizing the rich genetic diversity
of barley can contribute to sustainable agriculture and ensure the success of this vital crop for future
generations globally.",Global Crop Diversity Trust - GCDT; European Union’s Horizon 2020 research and innovation programme,en,https://dx.doi.org/10.3390/plants12183186,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/68701,,2023-09-06,Plants,2223-7747,MDPI,12,18,,barley; biodiversity; crop improvement; climate resilience; hordeum vulgare; landraces; genetic diversity; participatory breeding approaches; genetic resource centers,
How climate-smart is the FMNR practice: co-benefits that lead to food security in Niger drylands,"Carbonell, Victoria; Savadogo, Patrice; Ojwang, Dennis; Saiz, Gustavo; Rufino, Mariana C.",World Agroforestry Center - ICRAF; Center for International Forestry Research - CIFOR; Lancaster University; Karlsruhe Institute of Technology - KIT Germany,"Farmer Managed Regeneration (FMR) is a set of practices used by farmers on agricultural land to develop the growth of native trees. FMNR is reported to deliver a number of positive impacts, increasing incomes through the sale of products, and agricultural productivity through improvements in soil fertility. Although all the evidence seems to indicate that FMNR is beneficial for crop and livestock production, additional research was needed to explore, and quantify, the climate change mitigation potential of FMNR. Farms where farmers maintain and protect their trees would have lager carbon stocks, so the practice would lead to C sequestration. This study aimed at estimating the effects of FMNR on food security, land productivity and potential for climate change mitigation, ingredients of a climate-smart agricultural practice. For this purpose, we conducted field research in the Fakara region of Niger, where we evaluated the performance of farm households, estimated their food security status, associated with practice of FMNR at different intensity to test the hypothesis that farmers who practice FMNR achieve higher food security and food self-sufficiency than farmers who do not practice and that these effects are explained through a positive effect on farm productivity and on incomes.",CGIAR System Organization - CGIAR,en,,Timeless limited access,,https://hdl.handle.net/20.500.11766/4338,,2015-12-31,,,,,,,drylands; food security; income; intensification; diversity; semi-arid environment,NE
Towards Exploitation of Adaptive Traits for Climate-Resilient Smart Pulses,"Kumar, Jitendra; Choudhary, Arbind; Sen Gupta, Debjyoti; Agrawal, Shiv Kumar","International Center for Agricultural Research in the Dry Areas - ICARDA; Indian Council of Agricultural Research - ICAR; Indian Council of Agricultural Research, Indian Institute of Pulses Research - ICAR-IIPR","Pulses are the main source of protein and minerals in the vegetarian diet. These are primarily cultivated on marginal lands with few inputs in several resource-poor countries of the world, including several in South Asia. Their cultivation in resource-scarce conditions exposes them to various abiotic and biotic stresses, leading to significant yield losses. Furthermore, climate change due to global warming has increased their vulnerability to emerging new insect pests and abiotic stresses that can become even more serious in the coming years. The changing climate scenario has made it more challenging to breed and develop climate-resilient smart pulses. Although pulses are climate smart, as they simultaneously adapt to and mitigate the effects of climate change, their narrow genetic diversity has always been a major constraint to their improvement for adaptability. However, existing genetic diversity still provides opportunities to exploit novel attributes for developing climate-resilient cultivars. The mining and exploitation of adaptive traits imparting tolerance/resistance to climate-smart pulses can be accelerated further by using cutting-edge approaches of biotechnology such as transgenics, genome editing, and epigenetics. This review discusses various classical and molecular approaches and strategies to exploit adaptive traits for breeding climate-smart pulses.",CGIAR System Organization - CGIAR,en,https://dx.doi.org/10.3390/ijms20122971,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/10084,,2019-06-18,International Journal of Molecular Sciences,1661-6596,MDPI,20,12,,epigenetics; genome editing; transgenics; adaptive traits; gene/qtl; climate-smart pulses,
Livelihoods Strategies and Household Resilience to Food Insecurity: A Case Study from Rural Tunisia,"Dhraief, Mohamed Zied; Dhehibi, Boubaker; Daly, Hamed; Oueslati-Zlaoui, Meriem; Khatoui, Chaima; Jemni, Sondes; Oussama, Jebali; Rekik, Mourad",International Center for Agricultural Research in the Dry Areas - ICARDA; National Agricultural Research Institute of Tunisia - INRAT,"Due to the decrease of household incomes, the increase of food prices, and the negative effects of climate change on agricultural production, Tunisia faces a food insecurity challenge, especially in rural and arid areas. The purpose of our research is to understand and explore household resilience to food insecurity in two villages, Selta and Zoghmar, in central Tunisia. A cross-sectional survey of 250 sample households was conducted in the villages. Factor analysis and regression models were employed to analyze the data using SPSS version 21. The results indicate that only around 36% of the households were resilient at different levels. In Selta, 62.8% and in Zoghmar 66.7% of the households were vulnerable. As indicated by the factor loadings and beta coefficients, income and food access, adaptive capacity, and the social safety net were important dimensions of household resilience to food insecurity, being positively correlated with the resilience index. However, asset possession, and climate change negatively affect household resilience. Therefore, interventions must target strategies that address the different levels of resilience reflected by the resilience estimators. These estimators were generated by focusing mainly on building farmers’ knowledge of how to face the different difficulties and challenges.",International Fund for Agricultural Development - IFAD; CGIAR Research Program on Dryland Systems - DS,en,https://dx.doi.org/10.3390/su11030907,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/9509,,2019-02-11,Sustainability,2071-1050,MDPI,11,3,,food insecurity; livelihood strategies; resilience index; farmers’ behaviors; rural tunisia,TN
