dc.title,dc.contributor.author,dc.type,dc.date.issued,dc.identifier.uri,dc.identifier.doi,dc.subject,cg.subject.cifor,cg.contributor.affiliation,cg.contributor.center,cg.contributor.donor,cg.coverage.region,cg.coverage.country,cifor.publication.status,dc.type.refereed,dc.description.abstract,cifor.source.title,dc.identifier.issn,cifor.source.volume,cifor.source.numbers,dc.publisher,dc.type.isi,dc.language,dc.language.iso,cifor.type.oa,dc.rights,dc.format.extent,cifor.source.page
"A review of research on homegardens in Sri Lanka: the status, importance and future perspective",Pushpakumara D K N G; Marambe B; Silva G L L P; Weerahewa J; Punyawardena B V R,Journal Article,2012-07-04,#/11463/32871,,agroforestry; climate change; biodiversity; conservation,,,,,South Asia,Sri Lanka,,,"Homegardens in Sri Lanka are dynamic sustainable food production systems, and presumably the oldest land use activity, next to shifting cultivation. It is still one of the major forms of land use in the island that has continued to evolve through generations within the Sri Lankan landscape to suit the socio-economic, cultural and ecological needs. In most cases, transferred from one generation to the next, the gardens are maintained as a family property. This land use system has existed in Sri Lanka for centuries, and in 1995 accounted for 13.1% of the total land area of the country. However, it started receiving the national recognition only recently. This review summarizes the current status of knowledge on homegardens, their importance to the society and environment, and potential for improving them. In this endeavor, about 90 published documentary evidences were reviewed. As revealed the homegarden research in Sri Lanka dates back to 1973 and during the past four decades, the research focus was mainly on providing system description on localized homegarden systems. It was further attempted in this review to highlight the significance of the homegarden land use system and its dominant contribution in maintaining agricultural and environmental sustainability of the country. In this context, the importance of classification of homegardens, present status of homegarden agroforestry in terms of area under homegardens and their distribution, contributions of homegardens to timber and fuelwood production, food and nutritional security of householders, biodiversity conservation, and in managing landscape sustainably through environmental services, are discussed in detail. Further, the critical gaps in available information and way forward in homegarden research are identified",Tropical Agriculturists,,160,,,,English,en,Open Access,,,55-118
Scenario Development as a Basis for Formulating a Research Program on Future Agriculture: A Methodological Approach,"Öborn, I.; Bengtsson, J.; Hedenus, F.; Rydhmer, L.; Stenström, M.; Vrede, K.; Westin, C.; Magnusson, U.",Journal Article,2013-07-05,#/11463/26465,https://doi.org/10.1007/s13280-013-0417-3,agricultural research; methodology; agricultural production; climate change,Agroforestry,,,,,,,,"To increase the awareness of society to the challenges of global food security, we developed five contrasting global and European scenarios for 2050 and used these to identify important issues for future agricultural research. Using a scenario development method known as morphological analysis, scenarios were constructed that took economic, political, technical, and environmental factors into account. With the scenarios as a starting point future challenges were discussed and research issues and questions were identified in an interactive process with stakeholders and researchers. Based on the outcome of this process, six socioeconomic and biophysical overarching challenges for future agricultural were formulated and related research issues identified. The outcome was compared with research priorities generated in five other research programs. In comparison, our research questions focus more on societal values and the role of consumers in influencing agricultural production, as well as on policy formulation and resolving conflicting goals, areas that are presently under-represented in agricultural research. The partly new and more interdisciplinary research priorities identified in Future Agriculture compared to other programs analyzed are likely a result of the methodological approach used, combining scenarios and interaction between stakeholders and researchers",Ambio,0044-7447,42,,,ISI Journal,English,en,Gold Open Access,,,823-839
Gender-specific responses to climate variability in a semi-arid ecosystem in northern Benin,"Dah-gbeto, A.P.; Villamor, G.B.",Journal Article,2016-07-08,#/11463/26466,https://doi.org/10.1007/s13280-016-0830-5,research; household survey; climate variability; semiarid zones,Agroforestry,,,German Federal Ministry of Education and Research (BMBF),West Africa,Benin,,,"Highly erratic rainfall patterns in northern Benin complicate the ability of rural farmers to engage in subsistence agriculture. This research explores gender-specific responses to climate variability in the context of agrarian Benin through a household survey (n = 260) and an experimental gaming exercise among a subset of the survey respondents. Although men and women from the sample population are equally aware of climate variability and share similar coping strategies, their specific land-use strategies, preferences, and motivations are distinct. Over the long term, these differences would likely lead to dissimilar coping strategies and vulnerability to the effects of climate change. Examination of gender-specific land-use responses to climate change and anticipatory learning can enhance efforts to improve adaptability and resilience among rural subsistence farmers.",Ambio,0044-7447,45,,,ISI Journal,English,en,Gold Open Access,,,297-308
"Remote sensing mapping of the rice field and vegetal cover and the impacts of soil factors on herbaceous in the sub-watershed of Boutolate (lower Casamance, Senegal)","Sambou, H.; Sambou, B.; Diaw, A.T.; Mbow, C.; Traore, V.",Journal Article,2014-07-06,#/11463/26473,https://doi.org/10.11648/j.ajep.20140302.16,mapping; remote sensing; rice cultivation; soil salinity; herbaceous,Agroforestry,,,Federal Ministry of Education and Research (BMBF),West Africa,Senegal,,,"Rice cultivation in lowlands plays an important role for population livelihood in lower Casamance. This economic activity is known to be affected by many contraints which are climate change and soil salinity. soil salinity is observed in rice fields and in the vegetation cover of Boutolate sub-watershed which covers an area of 6594,21 ha. Due to this situation, anti-salt micro-dams were built to retain water and also changes in land use around the area. This work aims to study rice field area and vegetation cover dynamics in the sub-bassin area located in the south-western of Lower Casamance. An overall time period of 26 years was considered in our study. The satellite imagery Landsat TM of 1984 and 2003 and ETM+ of 2000 and 2010 combined with field ground data was used to analyze the rice field area, vegetation cover dynamics and to understand the impacts of climatic and anthropogenic factors on its evolution. Floristic inventory was also done using plot size 3x3m along the upstream and downstream of micro-dams. In each plot, soil samples were taken for laboratory analysis to determine the impacts of geological factors on herbaceous strata in cultivable paddy area. The results showed a decrease of area paddy during these periods. The decrease in cultivated area was due to rainfall deficit which increased soil salinity and the worse management and monitoring plan after micro-dams were established in 2004. These caused floods which affected 0,93% of upstream rice-growing units in 2010 . The increase of shrub-tree savannah between 1984 and 2010 was due to the natural regeneration. The natural regeneration was favored by the decrease of fraudulent logging related to insecurity in the area and the expansion of fruit trees, particularly Anacardium occidentale. Anacardium occidentale area increased between 2000 and 2010. The soil physical parameters influenced significantly on density and diversity of herbaceous.",American Journal of Environmental Protection,2328-5680,3,7,,Non-ISI Journal,English,en,Open Access,,,73-82
Land use-land cover change and drivers of deforestation in the Patako protected area (Center-West of Senegal),"Sambou, S.; Lykke, A.M.; Sambou, H.; Guiro, I.; Sambou, B.; Mbow, C.",Journal Article,2015-07-07,#/11463/26472,https://doi.org/10.11648/j.ajep.20150406.17,livelihoods; ecosystem services; landsat; deforestation; forest degradation,Climate Change,,,,West Africa,Senegal,,,"This study focus on land use-land cover changes relation to the multidimensional characteristics of spatial and temporal patterns of land dynamics and social practices. The objectives are to characterize the dynamics of land-use and land-cover changes from 1992 to 2015, and to identify the drivers of deforestation and land degradation. Nine (09) types of classes were identified: humid vegetation (HV), savanna/wooded savanna (WS), savanna/shrub savanna (SSS), shrub savanna (SS), mangrove (MA), grass savanna (GS), cropland (CP), water (WA), and bare soil (BS). The process of change was analysed within a 5614.6 ha which includes the Patako protected area. The results have shown significant changes in land use-land cover for more than two decades (1992 to 2015). A high variability of land cover transfer was recorded between periods and class categories. At least, 55% of the HV changed to WS that was manifested by a loss of 16% during the first decade. The most important decline in area was recorded annually within the HV (4.8%), and the WS (2.6%), while the SSS experienced a substantial annual increase of 0.5%. The appearance of the SS (10.3%), during the last fifteen years, is a witness to degradation process as a result of anthropogenic pressure mainly for subsistence raisons. This pressure resulted to a conversion of small forested land to agricultural land on the boundary of the protected area. Tree cover represented 99.4% of the entire forest area in 1992, 97.4% in 2010, and slightly more (+1.2%) in 2015. According to this evolution, the annual rate of deforestation was estimated to 0.09% with an average of 0.11±0.08% for the three defined periods. The drivers leading to changes in land use-land cover stresses the complexity that is related to sustainable management of protected areas. Urgent action is necessary to reduce loss of biodiversity due to deforestation and land degradation. For this purpose, a particular attention must be paid to the implementation of the Patako management plan under a Reducing Emissions from Deforestation and Forest Degradation (REDD+) project.",American Journal of Environmental Protection,2328-5680,4,6,,Non-ISI Journal,English,en,Open Access,,,306-317
Is there any gender gap in the production of legumes in Malawi? Evidence from the Oaxaca-Blinder decomposition model,"Joe-Nkamuke, U.; Olagunju, K.O.; Njuguna-Mungai, E.; Mausch, K.",Journal Article; ISI,2019-12-01,#/11463/15021,https://doi.org/10.1007/s41130-019-00090-y,crop production; climate change; drought,,International Fund for Agricultural Development (IFAD); Agrifood and Biosciences Institute; International Crops Research Institute for the Semi-Arid Tropics (ICRISAT); World Agroforestry Centre (ICRAF),World Agroforestry Center (ICRAF),,East Africa,Malawi,,,"Understanding the gender differences in agricultural productivity is crucial for formulating informed and effective policies to sustainably improve low productivity which characterises agriculture in Sub-Sahara Africa. Using a panel dataset from the ICRISAT led Tropical Legumes project III (2008–2013), we analyse the gender gap in the production of legumes in Malawi. Employing the Oaxaca–Blinder decomposition method allows decomposition of gender gap into the following: (i) the portion caused by observable differences in the factors of production (endowment effect) and (ii) the unexplained portion caused by differences in return to the same observed factors of production (structural effect). We conducted the empirical analysis separately for pigeonpea and groundnut. Our findings reveal that for groundnut cultivated plots, women are 28% less productive than men after controlling for observed factors of production; however, the gender gap estimated in the pigeonpea cultivated plots are not statistically significant. The decomposition estimates reveal that the endowment effect is more relevant than the structural effect, suggesting that access to productive inputs contributes largest to the gender gap in groundnut productivity, and if women involved had access to equal level of inputs, the gap will be reduced significantly. The variation in the findings for groundnut and pigeon plot suggests that policy orientation towards reducing gender productivity gap should be crop specific.","Review of Agricultural, Food and Environmental Studies",2425-6870,100,,,ISI Journal,English,en,Gold Open Access,Attribution 4.0,,69-92
Evolution of agroforestry research and development in Vietnam: opportunities and research gaps,Nguyen H T; Catacutan D C,Journal Article,2013-07-05,#/11463/32909,,agroforestry; development; research,,,,,Southeast Asia,Viet Nam,,,"Agroforestry is considered as one of the best approaches to deal with shifting cultivation and climate change. In Viet Nam, the practice of agroforestry has been documented since the 1960s under two common systems: ‘garden-fish pond-livestock’ and ‘forest-garden-fish pond-livestock’. However, not until 1990 were innovative agroforestry techniques and systems at the field level introduced in line with government ivation. Through intensive literature review, we outline the history of agroforestry research and development activities in Viet Nam, identify the drivers and agents of change and discuss the issues and challenges facing agroforestry in Viet Nam. The paper also discusses the opportunities and research gaps in agroforestry. Our analysis indicated that it is very important to put more effort into researching agroforestry systems that take into account local ecological knowledge and designing practices that enhance the multi-functionality of landscapes. In addition, demonstrating the role of these systems in improving livelihoods, enhancing resilience and in climate-change mitigation and adaption should be an important part of a more systematic research and developmentagenda agroforestry in Viet Nam.",Vietnam Journal of Agriculture and Rural Development,,42737,,,Non-ISI Journal,English,en,Closed Access,,,16-23
Tree Shelterbelts as an Element to Improve Water Resource Management in Central Asia,"Thevs, N.; Strenge E; Aliev, K.; Eraaliev M; Lang P; Baibagysov A; Xu, J.",Journal Article,2017-07-09,#/11463/32919,https://doi.org/10.3390/w9110842,agriculture; climate change; shelterbelt; crop yield,,,,Federal Ministry for Economic Cooperation and Development (BMZ),Central Asia,Kyrgyzstan; Kazakhstan,,,"In Central Asia, agriculture, notably irrigated agriculture, is the largest water consumer. Currently, flood and furrow irrigation are the dominant irrigation methods in Central Asia, in particular in the post-Soviet countries. Against the background of current and increasing competition for water—e.g., through reduced river runoffs in the course of climate change—water consumption of agriculture needs to be reduced. On the field plot level, improved irrigation technologies, like drip irrigation or plastic mulch, can reduce water consumption substantially. Alternatively, tree lines as wind breaks (shelterbelts) also can reduce crop water consumption, as shown by research from many drylands around the world. As previous research has concentrated on crop water consumption and not on tree water consumption, this paper brings the two together, in order to approach a more holistic picture, in how far shelterbelt systems, including the trees, may have the potential to save water or not. Crop water consumption was assessed through the Penman–Monteith approach for corn, wheat, potato, barley, and pear under open field conditions and under an assumed influence of a tree shelterbelt. Tree water consumption was investigated through sap flow measurements. Crop water consumption was reduced by 10–12% under influence of a shelterbelt compared to open field conditions. When water consumption of shelterbelts was added, a slight reduction of water consumption of the whole crop-shelterbelt system was found for corn, potato, and pear under the assumption 25 ha (500 × 500 m) field sizes. Under an assumption of 4 ha (200 × 200 m) field size, water consumption of the whole crop-shelterbelt system was higher for all crops investigated except for pear. The results suggest that shelterbelts may play a role in improving water resource management in Central Asia in the context of water demanding crops, like corn or cotton. In further research, other effects of shelterbelts, like increased crop yields and additional income from trees, need to be investigated.",Water,2073-4441,9,11,,ISI Journal,English,en,Open Access,,,1-11
"Tourism leads to wealth but increased vulnerability: a double-edged sword in Lijiang, South-West China","Su Y; Hammond, J.; Villamor G B; Grumbine, R.E.; Hyde, K.D.; Pagella T F; Sujakhu N M; Ma X; Xu, J.",Journal Article,2016-07-08,#/11463/32920,https://doi.org/10.1080/02508060.2016.1179523,tourism; climate change; poverty; livelihoods,,,,International Development Research Centre (IDRC),East Asia,China,,,"Tourism development in Lijiang, China, has helped lift many people out of poverty but has also led to increased pollution and water scarcity, which climate change is predicted to exacerbate. A shift towards tourism and cash crops has reduced the diversity of crops and livestock used by agrarian households. These effects are explored in two villages between 2008 and 2013 using a multi-method approach. It is found that local water governance does not follow any of the best practice principles outlined in the international literature. Improved water governance is urgently needed to reduce household vulnerability in the Lijiang area. © 2016 International Water Resources Association",Water International,1941-1707,41,5,,ISI Journal,English,en,Closed Access,,,682-697
A systematic review of local vulnerability to climate change in developing country agriculture,Crane T A; Delaney A; Tamás P A; Chesterman S; Ericksen P,Journal Article,2017-07-09,#/11463/32930,https://doi.org/10.1002/wcc.464,research; climate change; food security; agriculture,,,,CGIAR,,,,,"In the mid-2000s, several highly-cited papers called for improving conceptual coherence and methodological transparency in vulnerability research to support greater policy relevance. As reducing vulnerability rises on political agendas, identifying empirically validated measures will become increasingly important in the design and evaluation ofmulti-site and multi-scale programmatic interventions. Using a systematic review methodology, we analyze the current range of conceptual frameworks, operationalizations and research methodologies as used in empirical studies of local-level vulnerability in agricultural settings. Detailed analysis of theories and methods provides a platform for moving toward reporting that supports valid comparisons between disparate studies. This in turn, enables the design and implementation of empirically-informed programmatic interventions. The results show that earlier concerns remain relevant. Even the best reported cases do not support aggregated analysis because conceptual ambiguity and methodological heterogeneity renders each study effectively unique. While conceptualization is broadly consolidating around the IPCC framework, declaration of that framework does not predict consistent operationalization. Furthermore, emerging alternative frameworks, especially Vulnerability as Expected Poverty, reveal important limitations of the IPCC framework. Findings also highlight that reporting practices in vulnerability research perpetuate problematic ambiguity. When designing and reporting research, we recommend addressing six key questions that can help specify the objectives of the study: (1) Is this system vulnerable (2) To what is this system vulnerable (3) How vulnerable is this system (4)What is causing this system to be vulnerable (5) How is vulnerability distributed within the system (6) What is causing the observed distribution of vulnerability within the system © 2017 John Wiley & Sons, Ltd.",Wiley Interdisciplinary Reviews: Climate Change,1757-7780,8,4,,ISI Journal,English,en,Closed Access,,,1-21
Scaling Climate-smart Agriculture in North-central Vietnam,Dao TT; Ngo AT; Le TT; Simelton E,Journal Article,2017-07-09,#/11463/32942,https://doi.org/10.12691/wjar-5-4-2,climate change; climate-smart; farming systems; food security; agriculture; stakeholders; climate change adaptation; agricultural innovation systems,,,,,Southeast Asia,Viet Nam,,,"While the demand forclimate-smart agriculture practices is rapidly growing in the 2010s, it remainsvague in practice how to evaluate integrated farming systems, in particular.The study draws lessons learned from the My Loi climate-smart village, Ky Soncommune, Ky Anh district, Ha Tinh province to explore the scalability potentialto Ky Trung commune in the same district, and in the province. Specifically,we use mixed participatory field-based approaches to categorise current farmingpractices for the purpose of proposing context-specific climate-smartinterventions, in addition to biophysical feasibility, policy support andexpert consultations. Originating from local knowledge, five climate-smartagriculture models were derived with incremental implementation steps developedwith technical expertise. While the specific components of the models arecontext-specific, the technologies and this improved approach for identifyingCSA practices can be generically applied.",World Journal of Agricultural Research,2333-0643,5,4,,ISI Journal,English,en,Open Access,,,200-211
Impacts of intensifying or expanding cereal cropping in sub-Saharan Africa on greenhouse gas emissions and food security,"van Loon, M.P.; Hijbeek, R.; ten Berge, H.F.M.; de Sy, V.; ten Broeke, G.A.; Solomon, D.; van Ittersum, M.K.",Journal Article; ISI,2019-11-19,#/11463/14824,https://doi.org/10.1111/gcb.14783,crop production; greenhouse gases; emission; food security,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,Wageningen University; International Livestock Research Institute,International Livestock Research Center (ILRI); Center for International Forestry Research (CIFOR),"Norwegian Agency for Development Cooperation (NORAD); International Climate Initiative (IKI); Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB)",West Africa; East Africa; Central Africa; North Africa,Burkina Faso; Mali; Ghana; Kenya; Ethiopia; Niger; Nigeria; Zambia; Tanzania; Uganda,,Refereed,"Cropping is responsible for substantial emissions of greenhouse gasses (GHGs) worldwide through the use of fertilizers and through expansion of agricultural land and associated carbon losses. Especially in sub-Saharan Africa (SSA), GHG emissions from these processes might increase steeply in coming decades, due to tripling demand for food until 2050 to match the steep population growth. This study assesses the impact of achieving cereal self-sufficiency by the year 2050 for 10 SSA countries on GHG emissions related to different scenarios of increasing cereal production, ranging from intensifying production to agricultural area expansion. We also assessed different nutrient management variants in the intensification. Our analysis revealed that irrespective of intensification or extensification, GHG emissions of the 10 countries jointly are at least 50% higher in 2050 than in 2015. Intensification will come, depending on the nutrient use efficiency achieved, with large increases in nutrient inputs and associated GHG emissions. However, matching food demand through conversion of forest and grasslands to cereal area likely results in much higher GHG emissions. Moreover, many countries lack enough suitable land for cereal expansion to match food demand. In addition, we analysed the uncertainty in our GHG estimates and found that it is caused primarily by uncertainty in the IPCC Tier 1 coefficient for direct N2O emissions, and by the agronomic nitrogen use efficiency (N-AE). In conclusion, intensification scenarios are clearly superior to expansion scenarios in terms of climate change mitigation, but only if current N-AE is increased to levels commonly achieved in, for example, the United States, and which have been demonstrated to be feasible in some locations in SSA. As such, intensifying cereal production with good agronomy and nutrient management is essential to moderate inevitable increases in GHG emissions. Sustainably increasing crop production in SSA is therefore a daunting challenge in the coming decades.",Global Change Biology,1365-2486,25,11,,ISI Journal,English,en,Gold open access,Attribution 4.0,,3720-3730
"Integrated landscape initiatives for African agriculture, development, and conservation: a region-wide assessment",Milner J C; Hart A K; Dobie P; Minai J; Zaleski C,Journal Article,2014-07-06,#/11463/32935,https://doi.org/10.1016/j.worlddev.2013.07.006,agriculture; development,,,,,Africa,,,,"Recent years have witnessed increased investment in African rural landscapes for agriculture and food security, poverty alleviation, climate change adaptation, and ecosystem conservation. While such investments historically tended to be made independently under sectoral programs, a new wave of integrated landscape initiatives (ILIs) is promoting integrated, multi-objective management of rural landscapes. We surveyed leaders and managers of 87 ILIs in 33 African countries to provide the first region-wide portrait of contexts, motivations, design, participation, and outcomes of such initiatives. Results suggest that ILIs are promoting ""multi-functionality"" of rural regions, while aiding stakeholders in mediating tradeoffs and synergies among multiple outcomes.",World Development,0305-750X,54,,,ISI Journal,English,en,Closed Access,,,68-80
Governing restoration,Wilson S J; Cagalanan D,Journal Article,2016-07-08,#/11463/32940,https://doi.org/10.1016/j.wdp.2016.11.015,degraded land; climate change; farm forestry; agroforestry,,,,,,,,,"Governance structures are urgently needed to promote forest landscape restoration (FLR). In light of recent commitments to mitigate climate change and conserve biodiversity, international organizations are calling for vast areas of land to be restored over the next few decades. At the landscape level, for restoration to be adopted and sustained, it must be attractive to multiple stakeholders with diverse goals that unfold over different spatial and temporal scales. Thus, restoring forest landscapes inherently involves interactions between many levels and types of organizations, institutions, and stakeholders. As a global paradigm, FLR is a relatively new idea, and governance structures required to facilitate and sustain it over time are not obvious. But fortunately, examples of successfully governing FLR can be found in different contexts around the world, with lessons for restoration efforts elsewhere. In this paper, we summarize the differences and similarities between FLR and previous interventions (ecological restoration, forest conservation, and so on) and the specific governance challenges it presents. We then provide an overview of case reports illustrating innovative governance structures that have contributed to successful FLR, presented in this special issue in the journal World Development Perspectives. Cases at the local, national, and multinational levels include new governance institutions or arrangements that have supported landscape restoration in a given context, and the innovative use of existing governance structures to produce landscape-level forest restoration. Collectively, these cases demonstrate that successful governance approaches should be people-centered, adaptable to local contexts and needs, engage a range of stakeholders across different scales and sectors, and be flexible to incorporate local practices and ideas, and changes in these over time. Cases present a range of models and techniques for fostering these conditions, and acheiving forest restoration at the landscape scale.",World Development Perspectives,2452-2929,4,,,ISI Journal,English,en,Closed Access,,,11-15
Rainfall-Runoff Modeling Using Crowdsourced Water Level Data,"Weeser, B.; Jacobs, S.; Kraft, P.; Rufino, M.C.; Breuer, L.",Journal Article; ISI,2019-12-10,#/11463/14825,https://doi.org/10.1029/2019WR025248,water management; water resources; models,Climate Change; Climate-Smart Agriculture; Ecosystem Services,Justus Liebig University; Lancaster University; Center for International Forestry Research,Center for International Forestry Research (CIFOR),German Agency for International Cooperation (GIZ); German Research Council (DFG); Federal Ministry for Economic Cooperation and Development (BMZ),East Africa,Kenya,,Refereed,"Complex and costly discharge measurements are usually required to calibrate hydrological models. In contrast, water level measurements are straightforward, and practitioners can collect them using a crowdsourcing approach. Here we report how crowdsourced water levels were used to calibrate a lumped hydrological model. Using six different calibration schemes based on discharge or crowdsourced water levels, we assessed the value of crowdsourced data for hydrological modeling. As a benchmark, we used estimated discharge from automatically measured water levels and identified 2,500 parameter sets that resulted in the highest Nash-Sutcliffe-Efficiencies in a Monte Carlo-based uncertainty framework (Q-NSE). Spearman-Rank-Coefficients between crowdsourced water levels and modeled discharge (CS-SR) or observed discharge and modeled discharge (Q-SR) were used as an alternative way to calibrate the model. Additionally, we applied a filtering scheme (F), where we removed parameter sets, which resulted in a runoff that did not agree with the water balance derived from measured precipitation and publicly available remotely sensed evapotranspiration data. For the Q-NSE scheme, we achieved a mean NSE of 0.88, while NSEs of 0.43 and 0.36 were found for Q-SR and CS-SR, respectively. Within the filter schemes, NSEs approached the values achieved with the discharge calibrated model (Q-SRF 0.7, CS-SRF 0.69). Similar results were found for the validation period with slightly better efficiencies. With this study we demonstrate how crowdsourced water levels can be effectively used to calibrate a rainfall-runoff model, making this modeling approach a potential tool for ungauged catchments.",Water Resources Research,1944-7973,55,12,,ISI Journal,English,en,Gold open access,Attribution 4.0,,10856-10871
Divergent pattern of nuclear genetic diversity across the range of the Afromontane Prunus africana mirrors variable climate of African highlands,"Kadu, C.A.C.; Konrad, H.; Schueler, S.; Muluvi, G.M.; Eyog-Matig, O.; Muchugi, A.; Williams, V.L.; Ramamonjisoa, L.; Kapinga, C.; Foahom, B.; Katsvanga, C.; Hafashimana, D.; Obama, C.; Geburek, T.",Journal Article,2013-07-05,#/11463/26526,https://doi.org/10.1093/aob/mcs235,climate change; genetic variation; genetic resources; prunus africana,Tree Genetic Resources,,,,East Africa; South Africa; West Africa; Central Africa,Kenya; Madagascar; Tanzania; Uganda; Cameroon; Equatorial Guinea; Nigeria; Zimbabwe; Madagascar; Ethiopia; Eritrea; Comoros Islands,,,"Background and Aims Afromontane forest ecosystems share a high similarity of plant and animal biodiversity, although they occur mainly on isolated mountain massifs throughout the continent. This resemblance has long provoked questions on former wider distribution of Afromontane forests. In this study Prunus africana (one of the character trees of Afromontane forests) is used as a model for understanding the biogeography of this vegetation zone. Methods Thirty natural populations from nine African countries covering a large part of Afromontane regions were analysed using six nuclear microsatellites. Standard population genetic analysis as well as Bayesian and maximum likelihood models were used to infer genetic diversity, population differentiation, barriers to gene flow, and recent and all migration among populations. Key Results Prunus africana exhibits strong divergence among five main Afromontane regions: West Africa, East Africa west of the Eastern Rift Valley (ERV), East Africa east of the ERV, southern Africa and Madagascar. The strongest divergence was evident between Madagascar and continental Africa. Populations from West Africa showed high similarity with East African populations west of the ERV, whereas populations east of the ERV are closely related to populations of southern Africa, respectively. Conclusions The observed patterns indicate divergent population history across the continent most likely associated to Pleistocene changes in climatic conditions. The high genetic similarity between populations of West Africa with population of East Africa west of the ERV is in agreement with faunistic and floristic patterns and provides further evidence for a historical migration route. Contrasting estimates of recent and historical gene flow indicate a shift of the main barrier to gene flow from the Lake Victoria basin to the ERV, highlighting the dynamic environmental and evolutionary history of the region.",Annals of Botany,0305-7364,111,1,,ISI Journal,English,en,Closed Access,,,47-60
Community-based forestry and livelihoods in the context of climate change adaptation,"Karna, B.; Miah, M.G.; Thang, T.N.; Paudel, N.S.",Journal Article,2012-07-04,#/11463/26532,https://doi.org/10.30852/sb.2012.38,climate change; livelihoods; adaptation; community forestry,Climate Change,,,,South Asia,Sri Lanka,,,"Community-based forest management (CBFM) is so far perceived as the best model for forest management in many developing countries. The contribution of CBFM in livelihoods of the local community is thought to be positive but the emerging contemporary discourse of climate change and its impacts on livelihoods is less recognized in CBFM modalities. In order to make the CBFM modalities more successful, there is a need to assess the linkages between climate change and community-based forest management in relation to climate change. It is crucial to explore adaptation practices that can help rural communities to respond effectively to climate change. The present collaborative research attempts to understand how climate change is affecting forest-dependent communities in one of the world’s most vulnerable regions, and the actual and potential adaptation measures that would enable communi-ties and community networks to remain resilient.",APN Science Bulletin,2185-761X,2,1,,Non-ISI Journal,English,en,Gold Open Access,,,38-41
Are homegarden ecosystems resilient to climate change? An analysis of the adaptation strategies of homegardeners in Sri Lanka,"Weerahewa, J.; Pushpakumara, G.; Silva, P.; Daulagala, C.; Punyawardena, R.; Premalal, S.; Miah, G.; Roy, J.; Jana, S.; Marambe, B.",Journal Article,2012-07-04,#/11463/26533,https://doi.org/10.30852/sb.2012.22,agroforestry; annona muricata; germplasms; homegardens; climate change; adaptation,Climate Change,,,,South Asia,Sri Lanka,,,"Homegarden ecosystems are considered to be resilient to climatic changes partly due to the use of efficient and effective adaptation strategies by the homegardeners. This study documented the strategies adopted by homegardeners in Sri Lanka and investigated the determinants of the choice of such strategies. Data gathered from household surveys conducted in three selected locations were analysed to achieve the study objectives. About 52% of the homegardeners in all locations were found to be small-scale farmers (<0.5 ha) engaged in semi-subsistence farming over a long period of time. The majority (85%) of them have had their education only up to the primary level. Among the homegardeners, more than 63% in Keeriyagaswewa, 54% in Pethiyagoda and 90% in Siwalakulama have not made any significant changes to the plant, tree and animal composition of homegardens over the past 20 years. A number of adaptation strategies have been used by the homegardeners enabling them to maintain the diversity in the homegarden ecosystem. The changes in planting dates (37%), agronomic practices (39%), use of soil and water conservation measures (41%) and technology (55%) such as use of new varieties and irrigation equipments were the most commonly used adaptation strategies. A considerable variation in the type of adaptation strategies across the households was noted. The results of the probit analysis indicated that the type of employment, age, sex, education level of household head, experience in farming, homegarden size, diversity of homegardens measured by the Shannon Weiner Index (SWI), and perceptions towards climate change significantly influence the decision to adopt a given strategy. The development programs to promote adaptation to climate changes in homegardens should hence be designed taking the above determinants into consideration.",APN Science Bulletin,2185-761X,2,1,,Non-ISI Journal,English,en,Gold Open Access,,,22-27
Improving development efficiency through decision analysis: Reservoir protection in Burkina Faso,"Lanzanova, D.; Whitney, C.; Shepherd, K.; Luedeling, E.",Journal Article; ISI,2019-05-01,#/11463/15034,https://doi.org/10.1016/j.envsoft.2019.01.016,water resources; gender; agriculture,,University of Geneva; University of Bonn; World Agroforestry Centre (ICRAF),World Agroforestry Centre (ICRAF),,West Africa,Burkina Faso,,,"In the arid areas of Sub-Saharan Africa, perennial challenges of water scarcity and food insecurity are exacerbated by climate change and variability. The development of robust strategies to cope with the region's climatic challenges requires thorough consideration of uncertainty and risk in decision making. We demonstrate the use of probabilistic decision analysis to compare intervention options to prevent reservoir sedimentation in Burkina Faso. To illustrate this approach, we developed a causal impact pathway model based on the local knowledge of expert stakeholders. Input parameters were described by probability distributions derived from estimated confidence intervals. The model was run in a Monte Carlo simulation to generate the range of plausible decision outcomes, quantified as the net present value and the annual cash flow. We used Partial Least Squares regression analysis to identify the parameters that most affected projected intervention outcomes and we computed the Expected Value of Perfect Information (EVPI) to highlight critical uncertainties. Numerical results show that the preferred intervention to secure agricultural production is a combination of dredging, rock dams and a buffer scheme around the reservoir. The EVPI calculation reveals an information value for the profit per ton of vegetables, indicating that more information on this variable would be useful for supporting the decision. However, without the need for follow-up analysis, the results show high probability of benefits given the combined interventions, which, given the current state of information, should be preferred over inaction.",Environmental Modelling and Software,1364-8152,115,,,ISI Journal,English,en,Closed Access,,,164-175
