title,isbn,issn,first author,other authors,publisher,journal,date issued,extent,abstract,language,subjects,subject source,doi,fulltext link,Column18
Dynamics of bacterial blight disease in resistant and susceptible rice varieties,,0929-1873,"Niones, Jennifer T.","Donayre, Dindo King M.;Milne, Alice E.;Oliva, Ricardo;Oreiro, Eula Gems M.;Sharp, Ryan T.",Springer Science and Business Media LLC,European Journal of Plant Pathology,2022,(e-first copy); 17 p.,"AbstractBacterial blight (X. oryzae pv. oryzae) is a serious disease in rice across the world. To better control the disease, it is important to understand its epidemiology and how key aspects of this (e.g. infection efficiency, and spatial spread) change according to environment (e.g. local site conditions and season), management, and in particular, variety resistance. To explore this, we analysed data on the disease progress on resistant and susceptible varieties of rice grown at four sites in the Philippines across five seasons using a combination of mechanistic modelling and statistical analysis. Disease incidence was generally lower in the resistant variety. However, we found no evidence that the primary infection efficiency was lower in resistant varieties, suggesting that differences were largely due to reduced secondary spread. Despite secondary spread being attributed to splash dispersal which is exacerbated by wind and rain, the wetter sites of Pila and Victoria in south Luzon tended to have lower infection rates than the drier sites in central Luzon. Likewise, we found spread in the dry season can be substantial and should therefore not be ignored. In fact, we found site to be a greater determinant of the number of infection attempts suggesting that other environmental and management factors had greater effect on the disease than climate. Primary infection was characterised by spatially-random observations of disease incidence. As the season progressed, we observed an emerging short-range (1.6 m–4 m) spatial structure suggesting secondary spread was predominantly short-range, particularly where the resistant variety was grownOpen access",English,Agronomy and Crop Science;Horticulture;Plant Science,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1007/s10658-021-02452-z,https://drive.google.com/file/d/12RUWeW3wbGQH_8te9_AGLjg-34JFOx-I/view,JA
Identification of an elite core panel as a key breeding resource to accelerate the rate of genetic improvement for irrigated rice,,1939-8425,"Juma, Roselyne U."," Arbelaez, Juan D.; Biswas, Partha S.; Cobb, Joshua N.; Islam, Md Rafiqul; Mbute, Felister N.; Miano, Douglas W.; Rutkoski, Jessica E.;Bartholomé, Jérôme; Thathapalli Prakash, Parthiban; Hussain, Waseem; Platten, John D.; Lopena, Vitaliano; Verdeprado, Holden; Murori, Rosemary; Ndayiragije, Alexis; Katiyar, Sanjay Kumar",Springer Science and Business Media LLC,Rice,2021,"Volume 14, no. 92; 22 p.","Open access;Rice genetic improvement is a key component of achieving and maintaining food security in Asia and Africa in the face of growing populations and climate change. In this effort, the International Rice Research Institute (IRRI) continues to play a critical role in creating and disseminating rice varieties with higher productivity. Due to increasing demand for rice, especially in Africa, there is a strong need to accelerate the rate of genetic improvement for grain yield. In an effort to identify and characterize the elite breeding pool of IRRI’s irrigated rice breeding program, we analyzed 102 historical yield trials conducted in the Philippines during the period 2012–2016 and representing 15,286 breeding lines (including released varieties). A mixed model approach based on the pedigree relationship matrix was used to estimate breeding values for grain yield, which ranged from 2.12 to 6.27 t·ha−1. The rate of genetic gain for grain yield was estimated at 8.75 kg·ha−1 year−1 (0.23%) for crosses made in the period from 1964 to 2014. Reducing the data to only IRRI released varieties, the rate doubled to 17.36 kg·ha−1 year−1 (0.46%). Regressed against breeding cycle the rate of gain for grain yield was 185 kg·ha−1 cycle−1 (4.95%). We selected 72 top performing lines based on breeding values for grain yield to create an elite core panel (ECP) representing the genetic diversity in the breeding program with the highest heritable yield values from which new products can be derived. The ECP closely aligns with the indica 1B sub-group of Oryza sativa that includes most modern varieties for irrigated systems. Agronomic performance of the ECP under multiple environments in Asia and Africa confirmed its high yield potential. We found that the rate of genetic gain for grain yield found in this study was limited primarily by long cycle times and the direct introduction of non-improved material into the elite pool. Consequently, the current breeding scheme for irrigated rice at IRRI is based on rapid recurrent selection among highly elite lines. In this context, the ECP constitutes an important resource for IRRI and NAREs breeders to carefully characterize and manage that elite diversity.",English,Plant Science; Soil Science; Agronomy and Crop Science,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1186/s12284-021-00533-5,https://drive.google.com/file/d/1PtXrj7HRw0c2SAwJYJlQpHqEmK4TFrq6/view,JA
Policy framework for Myanmar rice production and in-depth study on greenhouse gas emissions,,2634-8845,"Lai, Lai","Wassmann, R.;Sander, B. O.",Scientific Research and Community Ltd,Journal of Earth and Environmental Science Research,2021,"Volume 3, no. 6; p. 1-13","Open access;This study assesses the interactive nature of rice and climate change in the context of Myanmar, one of the largest rice-producing countries. In the first section, special emphasis is given to the current situation of Myanmar’s rice production as affected by climate change alongside with possible adaptation strategies. Since only a small share (23.6 %) of the rice area is irrigated, low precipitation climate extremes directly translate into either drought problems due to limited access of water in case of drought or flood problems due to limited drainage. Moreover, more than half of the national rice production derives from the Ayaryewady delta, so that Myanmar’s food security is very susceptible to impacts triggered tropical cyclones such as “Nargis” in 2008. The scope of adaptation to climate change is elaborated at different levels ranging technical options for increasing resilience of the rice crop to policies that alleviate risks for farmers.",English,General Medicine,Crossref;Crossref,https://doi.org/10.47363/jeesr/2021(3)159,https://drive.google.com/file/d/1osLyvmEGUf9c0G6HGkxvN9rS3ZrfQ0TM/view,JA
Determinants in the adoption of alternate wetting and drying technique for rice production in a gravity surface irrigation system in the Philippines,,2073-4441,"Samoy-Pascual, Kristine","Yadav, Sudhir; Evangelista, Gio; Burac, Mary Ann; Rafael, Marvelin; Cabangon, Romeo; Tokida, Takeshi; Mizoguchi, Masaru; Regalado, Manuel Jose",MDPI AG,Water,2021,Volume 14 no. 1 p. 1-15.,"Alternate Wetting and Drying (AWD) is a well-known low-cost water-saving and climate change adaptation and mitigation technique for irrigated rice. However, its adoption rate has been low despite the decade of dissemination in Asia, especially in the Philippines. Using cross-sectional farm-level survey data, this study empirically explored factors shaping AWD adoption in a gravity surface irrigation system. We used regression-based approaches to examine the factors influencing farmers’ adoption of AWD and its impact on yield. Results showed that the majority of the AWD adopters were farmers who practiced enforced rotational irrigation (RI) scheduling within their irrigators’ association (IA). With the current irrigation management system, the probability of AWD implementation increases when farmers do not interfere with the irrigation schedule (otherwise they opt to go with flooding). Interestingly, the awareness factor did not play a significant role in the farmers’ adoption due to the RI setup. However, the perception of water management as an effective weed control method was positively significant, suggesting that farmers are likely to adopt AWD if weeds are not a major issue in their field. Furthermore, the impact on grain yields did not differ with AWD. Thus, given the RI scheduling already in place within the IA, we recommend fine-tuning this setup following the recommended safe AWD at the IA scaleOpen access;",English,"Water Science and Technology; Aquatic Science; Geography, Planning and Development; Biochemistry",Crossref;Crossref;Crossref;Crossref;Crossref,https://doi.org/10.3390/w14010005,https://drive.google.com/file/d/1FNGRFFGlNWCRKWX0ZNhPttUw46P_kMSH/view,JA
Simulating potential impacts of future climate change on post-rainy season sorghum yields in India,,2071-1050,"Chadalavada, Keerthi","Gummadi, Sridhar; Kundeti, Koteswara Rao; Kadiyala, Dakshina Murthy; Deevi, Kumara Charyulu; Dakhore, Kailas Kamaji; Bollipo Diana, Ranjitha Kumari; Thiruppathi, Senthil Kumar",MDPI AG,Sustainability,2021,Volume 14 no. 1 p. 334,"Given the wide use of the multi-climate model mean (MMM) for impact assessment studies, this work examines the fidelity of Coupled Model Intercomparison Project Phase 5 (CMIP5) in simulating the features of Indian summer monsoons as well as the post-rainy seasons for assessing the possible impacts of climate change on post-rainy season sorghum crop yields across India. The MMM simulations captured the spatial patterns and annual cycles of rainfall and surface air temperatures. However, bias was observed in the precipitation amounts and daily rainfall intensity. The trends in the simulations of MMM for both precipitation and temperatures were less satisfactory than the observed climate means. The Crop Environment Resource Synthesis (CERES)-sorghum model was used to estimate the potential impacts of future climate change on post-rainy season sorghum yield values. On average, post-rainy season sorghum yields are projected to vary between −4% and +40% as well as +10% and +59% in the near future (2040–2069) for RCP 4.5 and RCP 8.5, respectively, and between +20% and +70% (RCP 4.5) as well as +38% and +89% (RCP 8.5) in the far future (2070–2099). Even though surface air temperatures are increasing in future climate change projections, the findings suggest that an increase in the post-rainy season sorghum yields was due to an increase in the rainfall amounts up to 23% and an increase in the atmospheric CO2 levels by the end of the 21st century. The results suggest that the projected climate change during the post-rainy season over India is an opportunity for smallholders to capitalize on the increase in rainfall amounts and further increase sorghum yields with appropriate crop management strategiesOpen access",English,"Management, Monitoring, Policy and Law; Renewable Energy, Sustainability and the Environment; Geography, Planning and Development",Crossref;Crossref;Crossref;Crossref,https://doi.org/10.3390/su14010334,https://drive.google.com/file/d/1lBvZdZNqMiNAX51Db1FD3bK0za05stUh/view,JA
One size does not fit all—addressing the complexity of food system,,2571-581X,"Ng'endo, Mary","Connor, Melanie",Frontiers Media SA,Frontiers in Sustainable Food Systems,2022,"Volume 6, no. 816936; p. 1-5.","Food system sustainability has been highlighted as one of the major strategies to ensure healthy diets. A plethora of approaches to stabilize food systems have been suggested, including agroecology, climate-smart agriculture, and other forms of sustainable agriculture. However, a disconnect between sustainable production and consumption exists, which may hinder further progress toward achieving Sustainable Development Goal 2. This discourse was needed to connect these intersectional perspectives. To meet this need, we bring together the disconnected socio-environmental pillars and show how together they contribute to the food system sustainability agenda. We discuss the complexity of food system sustainability to cater to different geographies, building on evidence from development projects worldwide. We account for factors such as the need to incorporate intersectionality factors, food-system-related policy issues, food waste, food injustice, and undernutrition. While these intersectional inequalities can be solved through various human interventions, policy implementation, and dietary choices, we found that connecting the different policymakers remains a significant challenge for a sustainable food system. We propose implementing specific food system sustainability strategies that will be useful for policymakers and other stakeholders to enable the inclusion of a socio-environmental perspective for food systems that connect agricultural production with consumptionOpen access",English,"Horticulture; Management, Monitoring, Policy and Law; Agronomy and Crop Science; Ecology; Food Science; Global and Planetary Change",Crossref;Crossref;Crossref;Crossref;Crossref;Crossref;Crossref,https://doi.org/10.3389/fsufs.2022.816936,https://drive.google.com/file/d/1x_C0r9_A09VohaZ4OLs0Ou6SxVhJUdxG/view,JA
Institutional analysis for scaling alternate wetting and drying for low-emissions rice production: evidence from Bangladesh,,1756-5529,"Hong Trang, Vu","Nelson, Katherine M.; Samsuzzaman, Syed; Rahman, Saidur M.; Rashid, Mamunur; Salahuddin, Ahmad; Sander, Bjoern Ole",Informa UK Limited,Climate and Development,2022,p. 1-10,,English,"Development; Geography, Planning and Development; Global and Planetary Change",Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1080/17565529.2022.2036088,https://drive.google.com/file/d/1_6_d8JnbK1-BfiOog1iUfiwncv5eerfQ/view,JA
Rural development and transformation of the rice sector in Myanmar: Introduction of best management practices for sustainable rice agriculture,,0030-7270,"Wehmeyer, Helena","Malabayabas, Arelene; San, Su Su; Thu, Aung Myat; Tun, Myat Su; Thant, Aye Aye; Connor, Melanie",SAGE Publications,Outlook in Agriculture,2022,p. 003072702210860,"Myanmar has experienced considerable economic and social changes since its political transition in the early 2010s. Its agriculture sector has demonstrated rapid intensification and modernization. Agricultural best management practices (BMPs), e.g., drum seeders and laser land levelling, were introduced to rice farmers in Bago Region in 2012 to increase sustainable production and counter negative environmental impacts. The objective of this study was to determine the socioeconomic and agronomic changes due to the adoption of BMPs between adopters and non-adopters. Using a digital survey questionnaire application to collect household data, 200 farmers in eight villages were interviewed in 2012 and 2017. Data were analysed using uni- and multivariate statistics. Mediation analysis was utilized to evaluate the effect of the farmer group on rice yields. Overall, all farmers in this study experienced substantial positive changes over the course of five years in line with the national development efforts. Differences among adopters and non-adopters were not significant, but notable distinctions existed between cropping patterns. Rice-pulse farmers had higher yields ( + 0.4 t/ha), yet rice-rice farmers had larger cultivation areas, received higher agricultural credits, and had superior income levels. Nevertheless, rice yields remained low (&lt;4 t/ha). Education was found to be an important predictor of yield. Hence, this factor is crucial for accelerating agricultural development in Myanmar. Improving extension services and knowledge transfer are necessary to expand the dissemination of sustainable BMPs and make farmers more resilient against the negative implications of climate change.",English,Agronomy and Crop Science; Animal Science and Zoology; Ecology,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1177/00307270221086008,,JA
Impact of land-use changes on soil properties and carbon pools in India: A meta-analysis,,2296-665X,"Padbhushan, Rajeev"," Annapurna, K.; Gupta, Vadakattu V. S. R.;Kumar, Upendra; Sharma, Sheetal; Rana, D. S.; Kumar, Rajkishore; Kohli, Anshuman; Kumari, Priyanka; Parmar, Brajendra; Kaviraj, Megha; Sinha, Abhas Kumar",Frontiers Media SA,Frontiers in Environmental Science,2022,"Volume 9, no. 794866; pages 1-15.","Open access;Land-use changes (LUC), primarily due to deforestation and soil disturbance, are one of the major causes of soil quality degradation and greenhouse gas emissions. Effects of LUC on soil physicochemical properties and changes in soil quality and land use management strategies that can effectively restore soil carbon and microbial biomass levels have been reported from all over the world, but the impact analysis of such practices in the Indian context is limited. In this study, over 1,786 paired datasets (for meta-analysis) on land uses (LUs) were collected from Indian literature (1990–2019) to determine the magnitude of the influence of LUC on soil carbon, microbial biomass, and other physical and chemical properties at three soil depths. Meta-analysis results showed that grasslands (36.1%) lost the most soil organic carbon (SOC) compared to native forest lands, followed by plantation lands (35.5%), cultivated lands (31.1%), barren lands (27.3%), and horticulture lands (11.5%). Our findings also revealed that, when compared to forest land, the microbial quotient was lower in other LUs. Due to the depletion of SOC stock, carbon dioxide equivalent (CO2 eq) emissions were significantly higher in all LUs than in forest land. Results also showed that due to the conversion of forest land to cultivated land, total carbon, labile carbon, non-labile carbon, microbial biomass carbon, and SOC stocks were lost by 21%, 25%, 32%, 26%, and 41.2%, respectively. Changes in soil carbon pools and properties were more pronounced in surface (0–15 cm) soils than in subsurface soils (15–30 cm and 30–45 cm). Restoration of the SOC stocks from different LUs ranged from a minimum of 2% (grasslands) to a maximum of 48% (plantation lands). Overall, this study showed that soil carbon pools decreased as LUC transitioned from native forestland to other LUs, and it is suggested that adopting crop-production systems that can reduce CO2 emissions from the intensive LUs such as the ones evaluated here could contribute to improvements in soil quality and mitigation of climate change impacts, particularly under Indian agro-climatic conditions.",English,General Environmental Science,Crossref;Crossref,https://doi.org/10.3389/fenvs.2021.794866,https://drive.google.com/file/d/1rGrtM1Zzp1u4WWrU02H8z8zSJTPoQGW0/view,JA
Farm level adaptation to climate change: insight from rice farmers in the coastal region of Bangladesh,,1354-9839,"Islam, Faijul","Alam, G. M. Monirul; Begum, Rokeya; Sarker, Md Nazirul Islam; Bhandari, Humnath",Informa UK Limited,Local Environment,2022,p. 1-11,,English,"Management, Monitoring, Policy and Law; Geography, Planning and Development",Crossref;Crossref;Crossref,https://doi.org/10.1080/13549839.2022.2068139,,JA
Adoption trend of climate-resilient rice varieties in Bangladesh,,2071-1050,"Nayak, Swati"," Hassan, Lutful4; Islam, Mohammad Rafiqul0; Kohli, Ajay2; Singh, Uma S.3; Singh, Vikas Kumar1;Habib, Muhammad Ashraful; Das, Kuntal; Islam, Saidul; Hossain, Sk Mosharaf; Karmakar, Biswajit; Fritsche Neto, Roberto; Bhosale, Sankalp; Bhardwaj, Hans; Singh, Sudhanshu",MDPI AG,Sustainability,2022,Volume 14 no. 9 p. 5156,"Open access;Rice is a major crop in Bangladesh that supports both food security and livelihoods. However, a need remains for improved productivity and adaptation to the risks associated with climate change. To accomplish this, the increased adoption of climate-resilient and high-yielding rice varieties can be beneficial. Therefore, we conducted a study in Bangladesh over three consecutive years: 2016, 2017, and 2018. The scope of the study included the major cropping season (wet), Aman. The yield advantages of climate-resilient rice varieties were evaluated and compared with those of the varieties popular with farmers. We included new stress-tolerant varieties, such as submergence-tolerant rice (BRRI dhan51 and BRRI dhan52) and drought-tolerant rice (BRRI dhan56 and BRRI dhan71), along with farmer-chosen controls, in the study. We conducted the evaluation through on-farm trials to compare the varieties in both submergence- and drought-affected environments. The seasonal trials provided measured results of yield advantages. The participating farmers were also studied over the three-year-period to capture their varietal adoption rates. We calculated both the location estimated yield advantages (LEYA) and the location observed yield advantages (LOYA). The results revealed that, under non-stress conditions, the grain yields of climate-resilient varieties were either statistically similar to or higher than those of the farmer-chosen controls. Our study also revealed a year-to-year progressive adoption rate for the introduced varieties. The study suggests that the wide-scale introduction and popularization of climate-resilient varieties can ensure higher productivity and climate risk adaptation. The close similarity between LOYA and LEYA indicated that the observational and experiential conclusions of the host farmers were similar to the scientific performance of the varieties. We also found that comparison performed through on-farm trials was a critical method for enhancing experiential learning and obtaining an accurate estimation of yield advantages.",English,"Management, Monitoring, Policy and Law; Renewable Energy, Sustainability and the Environment; Geography, Planning and Development",Crossref;Crossref;Crossref;Crossref,https://doi.org/10.3390/su14095156,https://drive.google.com/file/d/1pqPsr6sbN87em6hbcsfO67IIIOyMQHbi/view,JA
The influence of climate change knowledge on consumer valuation of sustainably produced rice in Vietnam,,2352-5509,"Connor, Melanie","Cuong, Ong Quoc; Demont, Matty; Sander, Bjoern Ole; Nelson, Katherine",Elsevier BV,Sustainable Production and Consumption,2022,Volume 31 p. 1-12,Open access,English,"Industrial and Manufacturing Engineering; Renewable Energy, Sustainability and the Environment; Environmental Chemistry; Environmental Engineering",Crossref;Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1016/j.spc.2022.01.034,https://drive.google.com/file/d/1rFWHqUbqmJVfLvUd9WzxxITcGC6FTlNO/view,JA
Development of a participatory approach for mapping climate risks and adaptive interventions (CS-MAP) in Vietnam’s Mekong River Delta,,2212-0963,"Yen, Bui Tan","Son, Nguyen Hong; Tung, Le Thanh; Amjath-Babu, T.S.; Sebastian, Leocadio",Elsevier BV,Climate Risk Management,2019,Volume 24 p. 59-70,,English,"Management, Monitoring, Policy and Law; Atmospheric Science; Geography, Planning and Development; Global and Planetary Change",Crossref;Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1016/j.crm.2019.04.004,https://drive.google.com/file/d/1gDOCSt78yZZDwltRJgVSjUsqmvCycbGG/view,JA
Sustainable management of transboundary pests requires holistic and inclusive solutions,,1876-4517,"Prasanna, Boddupalli M.","Carvajal-Yepes, Monica; Kumar, P. Lava; Kawarazuka, Nozomi; Liu, Yanyan; Mulema, Annet Abenakyo; McCutcheon, Steven; Ibabao, Xenina",Springer Science and Business Media LLC,Food Security,2022,(e-first copy); 9p.,"Globalization and changing climates are aggravating the occurrence and impacts of transboundary pests, and driving the emergence of new threats. Most of the low- and middle-income countries in Africa, Asia and Latin America are not fully prepared in terms of surveillance, diagnostics, and deployment of plant health solutions due to several factors: adequate investment is lacking; knowledge is inadequate; and connections from the local to global, and global to local are insufficient. Effectively countering the current and emerging threats to plant health requires a holistic approach that includes: 1) globally coordinated diagnostic and surveillance systems; 2) epidemiological modelling, risk assessment, forecasting and preparedness for proactive management and containment; and 3) implementation of context-sensitive, eco-friendly, gender-responsive and socially inclusive integrated disease and pest management approaches to reduce the impacts of devastating transboundary pests and diseases. Despite several success stories where major pests and diseases have been brought to control through integrated approaches, further multi-institutional and multi-disciplinary efforts are necessary. Plant health management requires stronger interface between the biophysical and social sciences, and empowerment of local communities. These reflections derive from the proceedings of a webinar on “Transboundary Disease and Pest Management,” organized by CGIAR (Consultative Group on International Agricultural Research) on March 3, 2021, in recognition of the United Nations designated International Year of Plant HealthOpen access",English,Agronomy and Crop Science; Development; Food Science,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1007/s12571-022-01301-z,https://drive.google.com/file/d/1giepzkmNsels2_0_wArCjCckfYNWPQYg/view,JA
Heat stress during gametogenesis irreversibly damages female reproductive organ in rice,,1939-8425,"Shi, Wanju","Yang, Juan; Kumar, Ritesh; Zhang, Xinzheng; Impa, Somayanda M.; Xiao, Gui; Jagadish, S. V. Krishna",Springer Science and Business Media LLC,Rice,2022,"Volume 15, no. 1","Heat stress during gametogenesis leads to spikelet sterility. To ascertain the role of female reproductive organ (pistil), two rice genotypes N22 and IR64 with contrasting heat stress responses were exposed to control (30 °C) and heat stress (38 °C and 40 °C) during megasporogenesis. Anatomical observations of ovule revealed greater disappearance of megaspore mother cell and nuclei at early stages, and during later stages mature embryo sac without female germ unit, improper positioning of nuclei, and shrunken embryo sac was observed in the sensitive IR64. Under heat stress, a decrease in sugar and starch, increase in H2O2 and malondialdehyde with lower antioxidant enzyme activities were recorded in pistils of both N22 and IR64. Lower accumulation of TCA cycle metabolites and amino acids were noticed in IR64 pistils under heat stress at gametogenesis, whereas N22 exhibited favorable metabolite profiles. At heading, however, N22 pistils had higher carbohydrate accumulation and better ROS homeostasis, suggesting higher recovery after heat stress exposure. In summary, the results indicate that heat stress during megasporogenesis leads to irreversible anatomical and physiological changes in pistil and alters metabolic signatures leading to increased spikelet sterility in rice. Mechanisms identified for enhanced heat tolerance in pistil can help in developing rice varieties that are better adapted to future hotter climateOpen access",English,Plant Science; Soil Science; Agronomy and Crop Science,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1186/s12284-022-00578-0,https://drive.google.com/file/d/1wkr9OX3EQ3xlp04mLj4uUqLck1s7FC28/view,JA
Time management governs climate resilience and productivity in the coupled rice–wheat cropping systems of eastern India,,2662-1355,"McDonald, Andrew J."," Malik, R. K.; Sohane, R. K.;Balwinder-Singh; Keil, Alwin; Srivastava, Amit; Craufurd, Peter; Kishore, Avinash; Kumar, Virender; Paudel, Gokul; Singh, Sudhanshu; Singh, A. K.",Springer Science and Business Media LLC,Nature Food,2022,Volume 3 no. 7 p. 542-551,"India will need to produce 30% more wheat by 2050, and these gains must principally come from intensification in eastern India where low productivity is common. Through a dense network of on-farm surveys for the rice–wheat system in this region, we show that contemporary wheat sowing dates have a central influence on achieved and attainable yields, superseding all other crop management, soil and varietal factors. We estimate that untapped wheat production potential will increase by 69% with achievable adjustments to wheat sowing dates without incurring undesirable trade-offs with rice productivity, irrigation requirements or profitability. Our findings also indicate that transformative gains in wheat yields are only possible in eastern India if rice and wheat are managed as a coupled system. Steps taken to ‘keep time’ through better management of the annual cropping calendar will pay dividends for food security, profitability and climate resilience now and as a foundation for adaptation to progressive climate changeOpen access",English,Agronomy and Crop Science; Animal Science and Zoology; Food Science,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1038/s43016-022-00549-0,https://drive.google.com/file/d/15d0RAvI1MQegQrWC5zzYEb7fQD8nnBsA/view,JA
Outburst of pest populations in rice-based cropping systems under conservation agricultural practices in the middle Indo-Gangetic Plains of South Asia,,2045-2322,"Kumar, Rakesh"," Kumar, Virender; Malik, Ram Kanwar; McDonald, Andrew;Choudhary, Jaipal Singh; Mishra, Janki Sharan; Mondal, Surajit; Poonia, Shishpal; Monobrullah, Mohammad; Hans, Hansraj; Verma, Mausam; Kumar, Ujjwal; Bhatt, Bhagwati Prasad",Springer Science and Business Media LLC,Scientific Reports,2022,"Volume 12, no. 1","Conservation agriculture (CA), which encompasses minimum soil disturbance, residue retention either through crop residue, or cover crops and crop diversification-based crop management practices can modify the status of pest dynamics and activities under the changing climatic scenarios. CA has been advocated extensively to optimize the use of available resources, maintain the environmental quality, enhance crop productivity, and reduce the climate change impacts. Information related to the impacts of long-term CA-production systems under rice-based cropping systems on pest status is lacking, particularly in middle Indo-Gangetic Plains (MIGP). Under CA, puddling is completely avoided, and rice is directly sown or transplanted to maintain better soil health. Different sets of experimentations including farmers practice, partial CA and full CA (CA) as treatments in rice-based cropping systems, were established from 2009, 2015 and 2016 to understand the long-term impacts of CA on pest dynamics. In this study, direct and indirect effects of tillage (zero, reduced and conventional tillage), residue retention and cropping sequences on abundance and damage by pests were investigated. After 4–5 years of experimentation, populations of oriental armyworm [Mythinma (Leucania) (Pseudaletia) separata (Wlk.)] in wheat, mealybug [Brevennia rehi (Lindinger)] and bandicoot rat [Bandicota bengalensis (Gray)] in rice were found to increase abnormally in CA-based production systems. Conventionally tilled plots had a significant negative effect while residue load in zero-tilled plots had a significant positive effect on larval population build-up of M. separata. Zero tillage had a higher infestation of mealybug (52–91% infested hills) that used grassy weeds (Echinochloa colona, Echinochloa crusgalli, Cynodon dactylon, Leptochloa chinensis and Panicum repense) as alternate hosts. Cropping sequences and no disturbance of soil and grassy weeds had higher live burrow counts (4.2 and 13.7 burrows as compared to 1.47 and 7.53 burrows per 62.5 m2 during 2019–2020 and 2020–2021, respectively) and damaged tillers (3.4%) in CA-based practices. Based on the present study, pest management strategies in CA need to be revisited with respect to tillage, residue retention on soil surface, grassy weeds in field and cropping sequences to deliver the full benefits of CA in MIGP to achieve the sustainable development goals under the climate change scenariosOpen access",English,Multidisciplinary,Crossref;Crossref,https://doi.org/10.1038/s41598-022-07760-w,https://drive.google.com/file/d/18FTwfgHHbAK9TVfyuo7d2sRzjHBpBdnh/view,JA
Livelihood vulnerability of char land communities to climate change and natural hazards in Bangladesh: an application of livelihood vulnerability index,,0921-030X,"Al Mamun, Abdullah","Islam, Abu Reza Md. Towfiqul; Alam, G. M. Monirul; Sarker, Md Nazirul Islam; Erdiaw-Kwasie, Michael Odei; Bhandari, Humnath; Mallick, Javed",Springer Science and Business Media LLC,Natural Hazards,2022,,,English,Earth and Planetary Sciences (miscellaneous); Atmospheric Science; Water Science and Technology,Crossref;Crossref;Crossref;Crossref,https://doi.org/10.1007/s11069-022-05599-y,,JA
"Climate change challenges, plant science solutions",,1532-298X,"Eckardt, Nancy A"," Henry, Amelia; Jagadish, S V Krishna; Langdale, Jane; Leakey, Andrew D B; Liao, James C; Lu, Kuan-Jen; McCann, Maureen C; McKay, John K; Odeny, Damaris A; Olivieira, Eder;Ainsworth, Elizabeth A; Bahuguna, Rajeev N; Platten, J Damien; Rabbi, Ismail; Rim, Ellen Youngsoo; Ronald, Pamela C; Salt, David E; Shigenaga, Alexandra M; Wang, Ertao; Wolfe, Marnin; Zhang, Xiaowei; Broadley, Martin R; Busch, Wolfgang; Carpita, Nicholas C; Castrillo, Gabriel; Chory, Joanne; DeHaan, Lee R; Duarte, Carlos M",Oxford University Press (OUP),Plant Cell,2023,"Volume 35, no. 1; p. 24-66.","Climate change is a defining challenge of the 21st century, and this decade is a critical time for action to mitigate the worst effects on human populations and ecosystems. Plant science can play an important role in developing crops with enhanced resilience to harsh conditions (e.g., heat, drought, salt stress, flooding, disease outbreaks) and engineering efficient carbon-capturing and carbon-sequestering plants. Here, we present examples of research being conducted in these areas and discuss challenges and open questions as a call to action for the plant science communityOpen access",English,Cell Biology; Plant Science,Crossref;Crossref;Crossref,https://doi.org/10.1093/plcell/koac303,https://drive.google.com/file/d/1TBaZtMXMWYYsUC-hUPaDI5v5yiHlHbe2/view,JA
Enviromic prediction is useful to define the limits of climate adaptation: A case study of common bean in Brazil,,0378-4290,"Heinemann, Alexandre Bryan","Costa-Neto, Germano;da Matta, David Henriques;Fernandes, Igor Kuivjogi;Fritsche-Neto, Roberto",Elsevier BV,Field Crops Research,2022,Volume 286 p. 108628,"Ongoing changes in the global environmental conditions foster plant breeding research to develop climate-smart cultivars as fast as possible. Data analytics are essential for achieving this goal, especially the so-called science of enviromics (large-scale environmental characterization of crop growing conditions) that could be used to pinpoint the relevant environment impacts driving the adaptation of a certain specie in a breeding framework. Here we quantified the effects of diverse climate factors on the current adaptation of elite common bean germplasm in Brazil. To capture the non-linearity of those impacts across a wide range of environments, we developed an ""enviromic prediction"" approach by combining Generalized Additive Models (GAM), environmental covariates (EC), and grain yield (GY) from 18 years of historical breeding trials. Then, we predicted the optimum limits for ECs at each production scenario (four regions, three seasons, and two grain types) and its respective predictions of GY adaptation. Our results indicate that the nonlinear influence of air temperature, solar radiation, and rainfall led to a huge interaction of the impacts among the development stages, seasons, and regions. This revealed that seasonality differently affected the vegetative and reproductive stages, which its impact drastically vary according to the region and season, which makes unfeasible the development of a breeding strategy for selecting for broad adaptation. Conversely, with our approach it was possible to pinpoint the effects of the region- or season-specific impacts, which helped identify the ""climate limits"" and critical development phases for each possible production scenario. This could allow breeders to design crop ideotypes while directing efforts to develop climate-smart varieties. Furthermore, enviromics prediction is a cost-effective way to use EC as a data analytics tool to support the visualization of regional breeding gaps for specific growing conditions.",English,Agronomy and Crop Science;Soil Science,Crossref;Crossref;Crossref,https://doi.org/10.1016/j.fcr.2022.108628,,JA
