Title,Authors,Abstract,Funders,Language,DOI,Repository link,Publication date,Journal,Publisher,Pages,Subjects
Stress-resilient maize for climate-vulnerable ecologies in the Asian tropics,"Zaidi, P.; Nguyen, T.; Dang Ngoc Ha; Thaitad, S.; Ahmed, S.; Arshad, M.; Koirala, K.B.; Rijal, T.R.; Kuchanur, P.; Patil, A.; Mandal, S.S.; Kumar, R.; Singh, S.B.; Bhupender Kumar; Shahi, J.P.; Patel, M.B.; Gumma, M.K.; Pandey, K.; Chaurasia, R.; Haque, A.; Seetharam, K.; Das, R.R.; Vinayan, M.T.; Rashid, Z.; Nair, S.K.; Vivek, B.","Most parts of the Asian tropics are hotspots of climate change effects and associated weather variabilities. One of the major challenges with climate change is the uncertainty and inter-annual variability in weather conditions as crops are frequently exposed to different weather extremes within the same season. Therefore, agricultural research must strive to develop new crop varieties with inbuilt resilience towards variable weather conditions rather than merely tolerance to individual stresses in a specific situation and/or at a specific crop stage. C4 crops are known for their wider adaptation to range of climatic conditions. However, recent climatic trends and associated variabilities seem to be challenging the threshold limit of wider adaptability of even C4 crops like maize. In collaboration with national programs and private sector partners in the region, CIMMYT-Asia maize program initiated research for development (R4D) projects largely focusing on saving achievable yields across range of variable environments by incorporating reasonable levels of tolerance/resistance to major abiotic and biotic stresses without compromising on grain yields under optimal growing conditions. By integrating novel breeding tools like - genomics, double haploid (DH) technology, precision phenotyping and reducing genotype × environment interaction effects, a new generation of maize germplasm with multiple stress tolerance that can grow well across variable weather conditions were developed. The new maize germplasm were targeted for stress-prone environments where maize is invariability exposed to a range of sub-optimal growing conditions, such as drought, heat, waterlogging and various virulent diseases. The overarching goal of the stress-resilient maize program has been to achieve yield potential with a downside risk reduction.",,English,10.21475/ajcs.20.14.08.p2405,https://hdl.handle.net/10883/21182,2020,Australian Journal of Crop Science,Southern Cross Publishing,1264-1274,climate change; stress; resilience; maize; zea mays; extreme weather events
"Crop nutrient management using Nutrient Expert improves yield, increases farmers’ income and reduces greenhouse gas emissions","Sapkota, T.; Jat, M.L.; Dharamvir Singh Rana; Khatri-Chhetri, A.; Jat, H.S.; Bijarniya, D.; Sutaliya, J.M.; Kumar, M.; Singh, L.K.; Jat, R.K.; Kalvaniya, K.C.; Prasad, G.; Sidhu, H.S.; Rai, M.; Satyanarayana, T.; Majumdar, K.","Reduction of excess nutrient application and balanced fertilizer use are the key mitigation options in agriculture. We evaluated Nutrient Expert (NE) tool-based site-specific nutrient management (SSNM) in rice and wheat crops by establishing 1594 side-by-side comparison trials with farmers’ fertilization practices (FFP) across the Indo-Gangetic Plains (IGP) of India. We found that NE-based fertilizer management can lower global warming potential (GWP) by about 2.5% in rice, and between 12 and 20% in wheat over FFP. More than 80% of the participating farmers increased their crop yield and farm income by applying the NE-based fertilizer recommendation. We also observed that increased crop yield and reduced fertilizer consumption and associated greenhouse gas (GHG) emissions by using NE was significantly influenced by the crop type, agro-ecology, soil properties and farmers’ current level of fertilization. Adoption of NE-based fertilizer recommendation practice in all rice and wheat acreage in India would translate into 13.92 million tonnes (Mt) more rice and wheat production with 1.44 Mt less N fertilizer use, and a reduction in GHG of 5.34 Mt CO2e per year over farmers’ current practice. Our study establishes the utility of NE to help implement SSNM in smallholder production systems for increasing crop yields and farmers’ income while reducing GHG emissions.",,English,10.1038/s41598-020-79883-x,https://hdl.handle.net/10883/21181,2021,Nature Scientific Reports,Nature Publishing Group,,climate change mitigation; environmental impact; nutrient management
Genotype-by-environment interaction effects under heat stress in tropical maize,"Vinayan, M.T.; Zaidi, P.; Seetharam, K.; Das, R.R.; Viswanadh, S.; Ahmed, S.; Miah, M.A.; Koirala, K.B.; Tripathi, M.P.; Arshad, M.; Pandey, K.; Chaurasia, R.; Kuchanur, P.; Patil, A.; Mandal, S.S.","Spring maize area has emerged as a niche market in South Asia. Production of maize during this post-rainy season is often challenged due to heat stress. Therefore, incorporating heat stress resilience is an important trait for incorporation in maize hybrids selected for deployment in this season. However, due to the significant genotype × environment interaction (GEI) effects under heat stress, the major challenge lies in identifying maize genotypes with improved stable performance across locations and years. In the present study, we attempted to identify the key weather variables responsible for significant GEI effects, and identify maize hybrids with stable performance under heat stress across locations/years. The study details the evaluation of a set of prereleased advanced maize hybrids across heat stress vulnerable locations in South Asia during the spring seasons of 2015, 2016 and 2017. Using factorial regression, we identified that relative humidity (RH) and vapor pressure deficit (VPD) as the two most important environmental covariates contributing to the large GEI observed on grain yield under heat stress. The study also identified reproductive stage, starting from tassel emergence to early grain-filling stage, as the most critical crop stage highly susceptible to heat stress. Across-site/year evaluation resulted in identification of six high yielding heat stress resilient hybrids.",,English,10.3390/agronomy10121998,https://hdl.handle.net/10883/21156,2020,Agronomy,MDPI,,genotype environment interaction; heat stress; maize; yields; climate change; relative humidity; vapour pressure; vapor pressure deficit; target population of environments
Conservation and use of Latin American maize diversity: pillar of nutrition security and cultural heritage of humanity,"Guzzon, F.; Arandia Rios, L.W.; Caviedes Cepeda, G.M.; Céspedes Polo, M.; Chávez-Cabrera, A.; Muriel Figueroa, J.; Medina Hoyos, A.E.; Jara Calvo, T.W.; Molnar, T.L.; Narro, L.A.; Narro León, T.P.; Mejía, S.; Ospina Rojas, J.G.; Vasquez-Carrillo, G.; Preciado-Ortiz, R.E.; Zambrano, J.L.; Palacios-Rojas, N.; Pixley, K.V.","Latin America is the center of domestication and diversity of maize, the second most cultivated crop worldwide. In this region, maize landraces are fundamental for food security, livelihoods, and culture. Nevertheless, genetic erosion (i.e., the loss of genetic diversity and variation in a crop) threatens the continued cultivation and in situ conservation of landrace diversity that is crucial to climate change adaptation and diverse uses of maize. We provide an overview of maize diversity in Latin America before discussing factors associated with persistence of large in situ maize diversity, causes for maize landrace abandonment by farmers, and strategies to enhance the cultivation of landraces. Among other factors, maize diversity is linked with: (1) small-holder farming, (2) the production of traditional food products, (3) traditional cropping systems, (4) cultivation in marginal areas, and (5) retention of control over the production system by the farmers. On the other hand, genetic erosion is associated with substitution of landraces with hybrid varieties or cash crops, and partial (off-farm labor) or complete migration to urban areas. Continued cultivation, and therefore on-farm conservation of genetic diversity held in maize landraces, can be encouraged by creating or strengthening market opportunities that make the cultivation of landraces and open pollinated varieties (OPVs) more profitable for farmers, supporting breeding programs that prioritize improvement of landraces and their special traits, and increasing the access to quality germplasm of landraces and landrace-derived OPVs.",,English,10.3390/agronomy11010172,https://hdl.handle.net/10883/21140,2021,Agronomy,MDPI,,agrobiodiversity; genetic erosion; maize; plant breeding; land races; open pollination; plant genetic resources; value chains; maize races; open pollinated varieties; on farm conservation
Genomic resources in plant breeding for sustainable agriculture,"Thudi, M.; Palakurthi, R.; Schnable, J.C.; Annapurna Chitikineni; Dreisigacker, S.; Mace, E.; Srivastava, R.K.; Satyavathi, C.T.; Odeny, D.A.; Vijay Tiwari; Hon-Ming Lam; Yan-Bin Hong; Singh, V.K.; Guowei Li; Yunbi Xu; Xiao-Ping Chen; Kaila, S.; Nguyen, H.T.; Sivasankar, S.; Jackson, S.A.; Close, T.; Wan Shubo; Varshney, R.K.","Climate change during the last 40 years has had a serious impact on agriculture and threatens global food and nutritional security. From over half a million plant species, cereals and legumes are the most important for food and nutritional security. Although systematic plant breeding has a relatively short history, conventional breeding coupled with advances in technology and crop management strategies has increased crop yields by 56 % globally between 1965−85, referred to as the Green Revolution. Nevertheless, increased demand for food, feed, fiber, and fuel necessitates the need to break existing yield barriers in many crop plants. In the first decade of the 21st century we witnessed rapid discovery, transformative technological development and declining costs of genomics technologies. In the second decade, the field turned towards making sense of the vast amount of genomic information and subsequently moved towards accurately predicting gene-to-phenotype associations and tailoring plants for climate resilience and global food security. In this review we focus on genomic resources, genome and germplasm sequencing, sequencing-based trait mapping, and genomics-assisted breeding approaches aimed at developing biotic stress resistant, abiotic stress tolerant and high nutrition varieties in six major cereals (rice, maize, wheat, barley, sorghum and pearl millet), and six major legumes (soybean, groundnut, cowpea, common bean, chickpea and pigeonpea). We further provide a perspective and way forward to use genomic breeding approaches including marker-assisted selection, marker-assisted backcrossing, haplotype based breeding and genomic prediction approaches coupled with machine learning and artificial intelligence, to speed breeding approaches. The overall goal is to accelerate genetic gains and deliver climate resilient and high nutrition crop varieties for sustainable agriculture.",,English,10.1016/j.jplph.2020.153351,https://hdl.handle.net/10883/21130,2021,Journal of Plant Physiology,Elsevier,,genomics; plant breeding; marker-assisted selection; sustainable agriculture; dna sequence; chromosome mapping; sequencing; genotyping platforms; sequence-based trait mapping; genomic-assisted breeding; genomic breeding; genomic selection
Climate impact and adaptation to heat and drought stress of regional and global wheat production,"Pequeno, D.N.L.; Hernandez-Ochoa, I.M.; Reynolds, M.P.; Sonder, K.; Molero Milan, A.; Robertson, R.; da Silva Sabino Lopes, M.; Wei Xiong; Kropff, Martinus; Asseng, S.","Wheat (Triticum aestivum) is the most widely grown food crop in the world threatened by future climate change. In this study, we simulated climate change impacts and adaptation strategies for wheat globally using new crop genetic traits (CGT), including increased heat tolerance, early vigor to increase early crop water use, late flowering to reverse an earlier anthesis in warmer conditions, and the combined traits with additional nitrogen (N) fertilizer applications, as an option to maximize genetic gains. These simulations were completed using three wheat crop models and five Global Climate Models (GCM) for RCP 8.5 at mid-century. Crop simulations were compared with country, US state, and US county grain yield and production. Wheat yield and production from high-yielding and low-yielding countries were mostly captured by the model ensemble mean. However, US state and county yields and production were often poorly reproduced, with large variability in the models, which is likely due to poor soil and crop management input data at this scale. Climate change is projected to decrease global wheat production by -1.9% by mid-century. However, the most negative impacts are projected to affect developing countries in tropical regions. The model ensemble mean suggests large negative yield impacts for African and Southern Asian countries where food security is already a problem. Yields are predicted to decline by -15% in African countries and -16% in Southern Asian countries by 2050. Introducing CGT as an adaptation to climate change improved wheat yield in many regions, but due to poor nutrient management, many developing countries only benefited from adaptation from CGT when combined with additional N fertilizer. As growing conditions and the impact from climate change on wheat vary across the globe, region-specific adaptation strategies need to be explored to increase the possible benefits of adaptations to climate change in the future.",,English,10.1088/1748-9326/abd970,https://hdl.handle.net/10883/21118,2021,Environmental Research Letters,IOP Publishing,,wheat; crop production; climate change; heat stress; drought stress
Assessing transitions to sustainable agricultural and food systems: a Tool for Agroecology Performance Evaluation (TAPE),"Mottet, A.; Bicksler, A.; Lucantoni, D.; De Rosa, F.; Scherf, B.D.; Scopel, E.; Lopez-Ridaura, S.; Gemmil-Herren, B.; Bezner Kerr, R.; Sourisseau, J.M.; Petersen, P.; Chotte, J.L.; Loconto, A.; Tittonell, P.","There is increasing interest in agroecology as a way to move toward more sustainable agriculture and food systems. However, the evidence of agroecology's contribution to sustainability remains fragmented because of heterogeneous methods and data, differing scales and timeframes, and knowledge gaps. Facing these challenges, 70 representatives of agroecology-related organizations worldwide participated in the development of the Tool for Agroecology Performance Evaluation (TAPE), to produce and consolidate evidence on the multidimensional performances of agroecological systems. TAPE is composed of: Step 0, the preliminary step that includes a description of the main socio-economic and demographic characteristics of the agricultural and food systems and an analysis of the enabling environment in terms of relevant policy, market, technology, socio-cultural and/or historical drivers; Step 1, the Characterization of Agroecological Transitions (CAET), based on the 10 Elements of Agroecology adopted by FAO and its member countries, using descriptive scales to establish scores and assessing the degree of transition, with information from the farm/household and community/territory scale; Step 2, the Core Criteria of Performance listing the key dimensions considered relevant to address the Sustainable Development Goals (SDGs): Environment & climate change; Health & nutrition; Society & culture; Economy and Governance. Finally Step 3, a participatory validation of the results obtained from the previous steps with the producers and relevant stakeholders. TAPE can be used (i) to assess the extent of agroecological transition among agricultural producers in a community or a territory, (ii) to monitor and evaluate projects by characterizing the initial and subsequent steps in an agroecological transition, and/or (iii) to evaluate widely diverse agricultural systems against agroecological elements and how they contribute to the achievement of the SDGs. Its application can support the transition of all forms of agricultural systems toward more sustainable practices and the formulation of adequate policies to enable this transformation. Preliminary results from pilot applications show that TAPE can perform in a variety of geographic regions and agroecosystems and that it allows assessment of performances of various criteria that move beyond classic indicators to begin to build a global evidence base for agroecology and support transformation to sustainable agricultural production and food systems.",,English,10.3389/fsufs.2020.579154,https://hdl.handle.net/10883/21114,2020,Frontiers in Sustainable Food Systems,Frontiers,,agroecology; sustainability; indicators; farms; territory; participatory approaches; sustainability assessment framework; multicriteria evaluation; participatory process
Reducing agro-environmental trade-offs through sustainable livestock intensification across smallholder systems in Northern Tanzania,"Paul, B.K.; Groot, J.; Birnholz, C.A.; Nzogela, B.; Notenbaert, A.; Woyessa, K.; Sommer, R.; Nijbroek, R.; Tittonell, P.","Livestock productivity in East Africa, and especially in Tanzania, remains persistently low, while greenhouse gas (GHG) emission intensities are among the highest worldwide. This mixed methods study aims to explore sustainable livestock intensification options that reduce agro-environmental trade-offs across different smallholder farming systems in Northern Tanzania. A smallholder livestock systems typology was constructed, and representative farms simulated with a whole farm multi-objective optimization model. Livestock contributed more than 90% of on-farm GHG emissions, and DAIRY had the lowest GHG emission intensity (2.1 kg CO2e kg−1 milk). All livestock systems had alternative options available to reduce agro-environmental trade-offs, including reducing ruminant numbers, replacing local cattle with improved dairy breeds, improving feeding through on-farm forage cultivation, and minimizing crop residue feeding. Three obstacles to adoption of these technologies became apparent: they require a skillful re-organization of the entire production system, result in loss of some multi-functionality of livestock, and incur higher production risks. Sustainable livestock intensification can be a key building block to Tanzania's climate-smart agriculture portfolio, providing synergies between productivity and income increases, and climate change mitigation as co-benefit. A better understanding of the institutional settings, incentives and coordination between stakeholders is needed to sustainably transform the livestock sector.",,English,10.1080/14735903.2019.1695348,https://hdl.handle.net/10883/21112,2020,International Journal of Agricultural Sustainability,Taylor and Francis,35-54,climate-smart agriculture; livestock feeding; ex ante impact assessment; bioeconomic models; households; improved livestock feeding; bioeconomic household modelling
Why we should rethink ‘adoption’ in agricultural innovation: empirical insights from Malawi,"Hermans, T.D.G.; Whitfield, S.; Dougill, A.J.; Thierfelder, C.","The challenges of land degradation, climate change and food insecurity have led to the introduction of conservation agriculture (CA) aimed at enhancing yield and soil quality. Despite positive biophysical results, low adoption rates have been the focus of studies identifying constraints to wider uptake. While the adoption framework is popular for measuring agricultural innovation, objective adoption measurements remain problematic and do not recognize the contextual and dynamic decision-making process. This study uses a technographic and participatory approach to move beyond the adoption framework and understand: (a) how agricultural decision-making takes place including the knowledge construction, (b) how agriculture is performed in a context of project intervention and (c) how practice adaptation plays out in the context of interacting knowledge. Findings confirm that farmer decision-making is dynamic, multidimensional and contextual. The common innovation diffusion model uses a theory of change, showcasing benefits through training lead farmers as community advocates and demonstration trials. Our study shows that the assumed model of technology transfer with reference to climate-smart agriculture interventions is not as linear and effective as assumed previously. We introduce four lenses that contribute to better understanding complex innovation dynamics: (a) social dynamics and information transfer, (b) contextual costs and benefits, (c) experience and risk aversion, and (d) practice adaptation. Investments should build on existing knowledge and farming systems including a focus on the dynamic decision process to support the 'scaling up, scaling out and scaling deep' agenda for sustainable agricultural innovations.",,English,10.1002/ldr.3833,https://hdl.handle.net/10883/21072,2021,Land Degradation and Development,Wiley,1809-1820,climate-smart agriculture; conservation agriculture; zero tillage; no-tillage; scaling
From bits to bites: advancement of the Germinate platform to support prebreeding informatics for crop wild relatives,"Raubach, S.; Kilian, B.; Dreher, K.; Amri, A.; Bassi, F.; Boukar, O.; Cook, D.; Cruickshank, A.; Fatokun, C.; El Haddad, N.; Humphries, A.; Jordan, D.; Kehel, Z.; Kumar, S.; Labarosa, S.J.; Loi Huu Nguyen; Mace, E.; Mccouch, S.; McNally, K.; Marshall, D.; Mikwa, E.O.; Milne, I.; Odeny, D.A.; Plazas, M.; Prohens, J.; Rieseberg, L.H.; Schafleitner, R.; Sharma, S.; Stephen, G.; Huynh Quang Tin; Togola, A.; Warschefsky, E.; Werner, P.; Shaw, P.D.","Management and distribution of experimental data from prebreeding projects is important to ensure uptake of germplasm into breeding and research programs. Being able to access and share this data in standard formats is essential. The adoption of a common informatics platform for crops that may have limited resources brings economies of scale, allowing common informatics components to be used across multiple species. The close integration of such a platform with commonly used breeding software, visualization, and analysis tools reduces the barrier for entry to researchers and provides a common framework to facilitate collaborations and data sharing. This work presents significant updates to the Germinate platform and highlights its value in distributing prebreeding data for 14 crops as part of the project ‘Adapting Agriculture to Climate Change: Collecting, Protecting and Preparing Crop Wild Relatives’ (hereafter Crop Trust Crop Wild Relatives project) led by the Crop Trust (https://www.cwrdiversity.org). The addition of data on these species compliments data already publicly available in Germinate. We present a suite of updated Germinate features using examples from these crop species and their wild relatives. The use of Germinate within the Crop Trust Crop Wild Relatives project demonstrates the usefulness of the system and the benefits a shared informatics platform provides. These data resources provide a foundation on which breeding and research communities can develop additional online resources for their crops, harness new data as it becomes available, and benefit collectively from future developments of the Germinate platform.",,English,10.1002/csc2.20248,https://hdl.handle.net/10883/21069,2021,Crop Science,CSSA,1538-1566,data; software development; plant breeding; research
Gendered impacts of greenhouse gas mitigation options for rice cultivation in India,"Gartaula, H.; Sapkota, T.; Khatri-Chhetri, A.; Prasad, G.; Badstue, L.B.","The nexus of gender-agriculture-emissions reduction is one of the least explored areas related to agriculture and climate change. This nexus plays an important role in the areas where women’s participation in agriculture is high, and the contribution of the agricultural sector to total emission is significant. This study generates evidence on women’s labor contribution in rice cultivation and potential reduction of their labor drudgery, including GHG mitigation co-benefits with the adoption of direct seeding and machine transplanting technologies. Using a large number of plot-level data (11,987 data points) from the rice-growing regions of India, the study shows that changing rice production technology from conventional to direct-seeded rice (DSR) and/or machine-transplanted rice (MTR) offers huge potential to reduce women’s labor in rice planting (745 million labor-days for DSR and 610 million labor-days for MTR) and greenhouse gases (GHG) emission (34 MtCO2e for DSR and 7 MtCO2e for MTR) at the same time. This potential differs from the agro-ecological region, the level of input use, and women’s involvement in rice cultivation. The realization of this gender-responsive GHG mitigation strategy depends on the adoption of these technologies, which rely on several social, economic, and political factors. At the same time, the immense potential for negative implications for some specific groups should not be ignored, but focused on addressing and mitigating those challenges.",,English,10.1007/s10584-020-02941-w,https://hdl.handle.net/10883/21049,2020,Climatic Change,Springer,1045-1063,climate change; gender; climate change mitigation; rice; gender-responsive mitigation; co-benefits; rice cultivation
Climate change has increased genotype-environment interactions in wheat breeding,"Wei Xiong; Reynolds, M.P.; Crossa, J.; Payne, T.S.; Schulthess, U.; Sonder, K.; Addimando, N.; Singh, R.P.; Ammar, K.; Gerard, B.","The International Maize and Wheat Improvement Center (CIMMYT) develops and distributes annually elite wheat lines as international trials worldwide to assess their performance in different environments and utilization by partners for use in breeding or release as varieties. However, as elsewhere, the collaborator test sites where trials are evaluated have experienced climate change, with implications for how adapted wheat genotypes are bred. Using a standard quantitative genetic model and archived datasets for four global spring wheat trials, we show that the genotype-environment-interaction (GEI) has increased by up to 500% over recent decades. Notably crossover has increased over time, a critical indicator of changes in the ranking of cultivar performance in different environments. Climatic factors explain over 70% of the year-to-year variability in GEI and crossover interactions for yield. Examining yield responses of all genotypes in all trial environments from 1985 to 2017 reveals that climate change has increased GEI by ~ 49% and ranking change by ~38%. Genetic improvement of wheat targeted to high-yielding environments has exacerbated this increase, but the performance of new wheat germplasm developed to withstand heat and drought stress is more adapted and stable, offsetting the increase in ranking changes due to the warmer climate.",,English,10.21203/rs.3.rs-69475/v1,https://hdl.handle.net/10883/21039,2020,Research Square,Research Square,,climate change; wheat; genotype environment interaction
Karnal bunt: a re-emerging old foe of wheat,"Bishnoi, S.K.; Xinyao He; Phuke, R.M.; Kashyap, P.L.; Alakonya, A.; Chhokar, V.; Singh, R.P.; Singh, P.K.","Wheat (Triticum aestivum L.) crop health assumes unprecedented significance in being the second most important staple crop of the world. It is host to an array of fungal pathogens attacking the plant at different developmental stages and accrues various degrees of yield losses owing to these. Tilletia indica that causes Karnal bunt (KB) disease in wheat is one such fungal pathogen of high quarantine importance restricting the free global trade of wheat besides the loss of grain yield as well as quality. With global climate change, the disease appears to be shifting from its traditional areas of occurrence with reports of increased vulnerabilities of new areas across the continents. This KB vulnerability of new geographies is of serious concern because once established, the disease is extremely difficult to eradicate and no known instance of its complete eradication using any management strategy has been reported yet. The host resistance to KB is the most successful as well as preferred strategy for its mitigation and control. However, breeding of KB resistant wheat cultivars has proven to be not so easy, and the low success rate owes to the scarcity of resistance sources, extremely laborious and regulated field screening protocols delaying identification/validation of putative resistance sources, and complex quantitative nature of resistance with multiple genes conferring only partial resistance. Moreover, given a lack of comprehensive understanding of the KB disease epidemiology, host-pathogen interaction, and pathogen evolution. Here, in this review, we attempt to summarize the progress made and efforts underway toward a holistic understanding of the disease itself with a specific focus on the host-pathogen interaction between T. indica and wheat as key elements in the development of resistant germplasm. In this context, we emphasize the tools and techniques being utilized in development of KB resistant germplasm by illuminating upon the genetics concerning the host responses to the KB pathogen including a future course. As such, this article could act as a one stop information primer on this economically important and re-emerging old foe threatening to cause devastating impacts on food security and well-being of communities that rely on wheat.",,English,10.3389/fpls.2020.569057,https://hdl.handle.net/10883/21033,2020,Frontiers in Plant Science,Frontiers,,karnal bunt; tilletia indica; disease resistance; epidemiology; climate change; wheat; host resistance; cultivar development
Combining yield potential and drought resilience in a spring wheat diversity panel,"Griffiths, C.A.; Reynolds, M.P.; Paul, M.J.","Pressures of population growth and climate change require the development of resilient higher yielding crops, particularly to drought. A spring wheat diversity panel was developed to combine high‐yield potential with resilience. To assess performance under drought, which in many environments is intermittent and dependent on plant development, 150 lines were grown with drought imposed for 10 days either at jointing or at anthesis stages in Obregon, Mexico. Both drought treatments strongly reduced grain numbers compared with the fully irrigated check. Best performers under drought at jointing had more grain than poor performers, while best performers under drought at anthesis had larger grain than poor performers. Most high‐yielding lines were high yielding in one drought environment only. However, some of the best‐performing lines displayed yield potential and resilience across two environments (28 lines), particularly for yield under well‐watered and drought at jointing, where yield was most related to grain numbers. Strikingly, only three lines were high yielding across all three environments, and interestingly, these lines had high grain numbers. Among parameters measured in leaves and grain, leaf relative water content did not correlate with yield, and proline was negatively correlated with yield; there were small but significant relationships between leaf sugars and yield. This study provides a valuable resource for further crosses and for elucidating genes and mechanisms that may contribute to grain number and grain filling conservation to combine yield potential and drought resilience.",,English,10.1002/fes3.241,https://hdl.handle.net/10883/21030,2020,Food and Energy Security,Wiley Open Access,,drought; genetic diversity; grain; resilience; wheat; yield potential; grain size and number
A scoping review of adoption of climate-resilient crops by small-scale producers in low- and middle-income countries,"Acevedo, M.; Pixley, K.V.; Zinyengere, N.; Meng, S.; Tufan, H.A.; Cichy, K.; Bizikova, L.; Isaacs, K.; Ghezzi-Kopel, K.; Porciello, J.","Climate-resilient crops and crop varieties have been recommended as a way for farmers to cope with or adapt to climate change, but despite the apparent benefits, rates of adoption by smallholder farmers are highly variable. Here we present a scoping review, using PRISMA-P (Preferred Reporting Items for Systematic review and Meta-Analysis Protocols), examining the conditions that have led to the adoption of climate-resilient crops over the past 30 years in lower- and middle-income countries. The descriptive analysis performed on 202 papers shows that small-scale producers adopted climate-resilient crops and varieties to cope with abiotic stresses such as drought, heat, flooding and salinity. The most prevalent trait in our dataset was drought tolerance, followed by water-use efficiency. Our analysis found that the most important determinants of adoption of climate-resilient crops were the availability and effectiveness of extension services and outreach, followed by education levels of heads of households, farmers’ access to inputs—especially seeds and fertilizers—and socio-economic status of farming families. About 53% of studies reported that social differences such as sex, age, marital status and ethnicity affected the adoption of varieties or crops as climate change-adaptation strategies. On the basis of the collected evidence, this study presents a series of pathways and interventions that could contribute to higher adoption rates of climate-resilient crops and reduce dis-adoption.",,English,10.1038/s41477-020-00783-z,https://hdl.handle.net/10883/20995,2020,Nature Plants,Springer Nature,1231-1241,crops; resilience; innovation adoption; plant breeding; small scale farming
"Diversity analysis of 80,000 wheat accessions reveals consequences and opportunities of selection footprints","Sansaloni, C.; Franco, J.; Santos, B.; Percival-Alwyn, L.; Singh, S.; Petroli, C.; Campos, J.; Dreher, K.; Payne, T.S.; Marshall, D.S.; Kilian, B.; Milne, I.; Raubach, S.; Shaw, P.D.; Stephen, G.; Carling, J.; Saint Pierre, C.; Burgueño, J.; Crossa, J.; Huihui Li; Guzman, C.; Kehel, Z.; Amri, A.; Kilian, A.; Wenzl, P.; Uauy, C.; Banziger, M.; Caccamo, M.; Pixley, K.V.","Undomesticated wild species, crop wild relatives, and landraces represent sources of variation for wheat improvement to address challenges from climate change and the growing human population. Here, we study 56,342 domesticated hexaploid, 18,946 domesticated tetraploid and 3,903 crop wild relatives in a massive-scale genotyping and diversity analysis. Using DArTseqTM technology, we identify more than 300,000 high-quality SNPs and SilicoDArT markers and align them to three reference maps: the IWGSC RefSeq v1.0 genome assembly, the durum wheat genome assembly (cv. Svevo), and the DArT genetic map. On average, 72% of the markers are uniquely placed on these maps and 50% are linked to genes. The analysis reveals landraces with unexplored diversity and genetic footprints defined by regions under selection. This provides fertile ground to develop wheat varieties of the future by exploring specific gene or chromosome regions and identifying germplasm conserving allelic diversity missing in current breeding programs.",,English,10.1038/s41467-020-18404-w,https://hdl.handle.net/10883/20954,2020,Nature Communications,Nature Publishing Group,,genetics; genetic markers; genetic variation; plant breeding; wheat
Longitudinal analysis of a long-term conservation agriculture experiment in Malawi and lessons for future experimental design,"Lark, R.M.; Ivy Sichinga Ligowe; Thierfelder, C.; Magwero, N.; Namaona, W.; Njira, K.O.W.; Sandram, I.; Chimungu, J.G.; Nalivata, P.C.","Resilient cropping systems are required to achieve food security in the presence of climate change, and so several long-term conservation agriculture (CA) trials have been established in southern Africa – one of them at the Chitedze Agriculture Research Station in Malawi in 2007. The present study focused on a longitudinal analysis of 10 years of data from the trial to better understand the joint effects of variations between the seasons and particular contrasts among treatments on yield of maize. Of further interest was the variability of treatment responses in time and space and the implications for design of future trials with adequate statistical power. The analysis shows treatment differences of the mean effect which vary according to cropping season. There was a strong treatment effect between rotational treatments and other treatments and a weak effect between intercropping and monocropping. There was no evidence for an overall advantage of systems where residues are retained (in combination with direct seeding or planting basins) over conventional management with respect to maize yield. A season effect was evident although the strong benefit of rotation in El Niño season was also reduced, highlighting the strong interaction between treatment and climatic conditions. The power analysis shows that treatment effects of practically significant magnitude may be unlikely to be detected with just four replicates, as at Chitedze, under either a simple randomised control trial or a factorial experiment. Given logistical and financial constraints, it is important to design trials with fewer treatments but more replicates to gain enough statistical power and to pay attention to the selection of treatments to given an informative outcome.",,English,10.1017/S0014479720000125,https://hdl.handle.net/10883/20938,2020,Experimental Agriculture,Cambridge University Press,506-527,climate-smart agriculture; diversification; sustainable agriculture; zero tillage
Zero-tillage wheat provides stable yield and economic benefits under diverse growing season climates in the Eastern Indo-Gangetic Plains,"Keil, A.; Mitra, A.; Mcdonald, A.; Malik, R.","Sustainably enhancing wheat productivity in the Indo-Gangetic Plains (IGP) is vital for ensuring future food security. While in controlled field trials zero-tillage (ZT) wheat has demonstrated considerable yield benefits, empirical assessments of the performance stability of the practice in farmers’ fields under varying climatic conditions are lacking. Given progressive climate change, this constitutes an important knowledge gap which we address with a unique panel dataset from 961 farm households in Bihar, India, spanning two favourable and two less favourable growing seasons. We employ an endogenous switching regression (ESR) framework to derive unbiased estimates of the expected impacts of ZT on wheat yields and production costs among the farming population (average treatment effect, ATE). The prevailing ZT practices led to significant yield gains in three out of the four years, notably in the less favourable seasons. Overall, the estimated yield ATE was 660 kg ha−1. More importantly from the farmers’ perspective, ZT led to significant cost savings in all four seasons, commensurate to a 5% increase in average total household incomes. We conclude that ZT for wheat in Bihar provides tangible and consistent benefits to farmers. Policy-makers in Bihar and adjacent states should continue to strongly support its adoption at scale.",,English,10.1080/14735903.2020.1794490,https://hdl.handle.net/10883/20920,2020,International Journal of Agricultural Sustainability,Taylor & Francis,567-593,zero tillage; wheat; climate; yields
