Title,Authors,Author affiliations,Abstract,DOI,Repository link,Publication date,Journal,ISSN,Publisher,Volume,Issue,Subjects,Funders,Pages
Surface Freshwater Limitation Explains Worst Rice Production Anomaly in India in 2002,"Zampieri, M; Garcia, G C; Dentener, F; Gumma, M K; Salamon, P; Seguini, L; Toreti, A","EC-JRC, European Commission-Joint Research Centre (Ispra); ICRISAT (Patancheru)","India is the second-most populous country and the second-most important producer of rice of the world. Most Indian rice production depends on monsoon timing and dynamics. In 2002, the lowest monsoon precipitation of the last 130+ years was observed. It coincided with the worst rice production anomaly recorded by FAOSTAT from 1961 to 2014. In that year, freshwater limitation was blamed as responsible for the yield losses in the southeastern coastal regions. Given the important implication for local food security and international market stability, we here investigate the specific mechanisms behind the effects of this extreme meteorological drought on rice yield at the national and regional levels. To this purpose, we integrate output from the hydrological model, surface, and satellite observations for the different rice cropping cycles into state-of-the-art and novel climate indicators. In particular, we adopt the standardized precipitation evapotranspiration index (SPEI) as an indicator of drought due to the local surface water balance anomalies (i.e., precipitation and evapotranspiration). We propose a new indicator of the renewable surface freshwater availability due to non-local sources, i.e., the standardized river discharge index (SDI) based on the anomalies of modelled river discharge data. We compare these indicators to the soil moisture observations retrieved from satellites. We link all diagnostics to the recorded yields at the national and regional level, quantifying the long-term correlations and the best match of the 2002 anomaly. Our findings highlight the need for integrating non-local surface freshwater dynamics with local rainfall variability to determine the soil moisture conditions in rice fields for yields assessment, modeling, and forecasting.",10.3390/rs10020244,http://oar.icrisat.org/id/eprint/10417,2018-02-06,Remote Sensing,2072-4292,MDPI,10,2,india; rice; yield; production; sdi; spei; european space agency—climate change initiative (esa-cci); soil moisture; river discharge; climate change; seasonal forecasts,,1-19
Mapping regional livelihood benefits from local ecosystem services assessments in rural Sahel,"Malmborg, K; Sinare, H; Kautsky, E E; Ouedraogo, I; Gordon, L J","Stockholm Resilience Centre, Stockholm University (Stockholm); ICRISAT (Bamako)","Most current approaches to landscape scale ecosystem service assessments rely on detailed secondary data. This type of data is seldom available in regions with high levels of poverty and strong local dependence on provisioning ecosystem services for livelihoods. We develop a method to extrapolate results from a previously published village scale ecosystem services assessment to a higher administrative level, relevant for land use decision making. The method combines remote sensing (using a hybrid classification method) and interviews with community members. The resulting landscape scale maps show the spatial distribution of five different livelihood benefits (nutritional diversity, income, insurance/saving, material assets and energy, and crops for consumption) that illustrate the strong multifunctionality of the Sahelian landscapes. The maps highlight the importance of a diverse set of sub-units of the landscape in supporting Sahelian livelihoods. We see a large potential in using the resulting type of livelihood benefit maps for guiding future land use decisions in the Sahel.",10.1371/journal.pone.0192019,http://oar.icrisat.org/id/eprint/10987,2018-02,PLoS One (TSI),1932-6203,Public Library of Science,13,2,sahelian landscapes; livelihood benefits; ecosystem services; sahel; smallholder farming; village landscapes; social-ecological patches; remote sensing; climate change,,1-20
Closing the Gap between Climate Information Producers and Users: Assessment of Needs and Uptake in Senegal,"Ouedraogo, I; Diouf, N S; Ouedraogo, M; Ndiaye, O; Zougmore, R B","ICRISAT (Bamako); Agence Nationale de l’Aviation Civile et de la Météorologie (ANACIM), Aéroport Léopold Sedar Senghor (Dakar)","West Africa is a very vulnerable part of the world to the impacts of climate change due to a combination of exposure and low adaptive capacity. Climate change has induced an increase in rainfall variability which in turn has affected the availability of water resources, ecosystem services and agricultural production. To adapt to the increased aridity, farmers have used indigenous and modern coping strategies such as soil and water conservation techniques, the use of drought-tolerant crops and varieties, crop diversification, etc., and lately, climate information services (CIS). The latter, according to the discourses, has positively contributed to suitable decision-making in terms of farming, pastoral and fishing management systems. However, the scientific documentation of the engagement approaches, the uptake of the CIS and the ways the delivered information is being used, as well as feedback from the users, is lacking. Additionally, in most of the cases where CIS are introduced, the disconnect between the users and producers of the CIS seems to undercut large-scale uptake. The objective of this paper is to examine the approach used to involve stakeholders in the CIS uptake process in Senegal. We analyzed the experiences and lessons learnt in the country where various CIS products were introduced using participatory methods (stakeholder consultations, interviews, field demonstrations, training workshops, etc.) and innovative stressors (SMS, voice messages, radios, mobile applications, etc.) to effectively involve producers, technicians and policy-makers. Results showed that 16 relevant CIS have been produced out of 27 identified by the various users; 11 CIS diffusion channels have been developed out of 13 requested; 27 climate advisory bodies (MWGs) have been created in 27 districts out of 30 districts in the study zone; about 6800 users have been trained directly and indirectly to effectively use CIS and about 8500 people are receiving CIS via SMS, voice messaging and emails. The opportunities for CIS uptake as well as the challenges that may impede the long-term sustainability of CIS upscaling in the country are highlighted. Recommendations that will improve and sustain the governance system of CIS in Senegal and the rest of West Africa include the involvement of private sectors in the chain of production, delivery and training, and the inciting of producers to largely subscribe to the weather-based index insurance.",10.3390/cli6010013,http://oar.icrisat.org/id/eprint/10693,2018-02,Climate,2225-1154,MDPI,6,1,senegal; west africa; climate risk management; adaptation; communication channels; capacity building; climate information services; insurance; mobile phones; climate change; climate information; weather information,,1-16
"Weed research issues, challenges, and opportunities in India","Rao, A N; Singh, R G; Mahajan, G; Wani, S P","ICRISAT (Patancheru); International Maize and Wheat Improvement Center (CIMMYT) (Texcoco de Mora); The University of Queensland, Queensland Alliance for Agriculture and Food Innovation (Queensland); International Rice Research Institute (IRRI) (Patancheru)","Agriculture is the major source of livelihood for nearly half of the Indian population. However, the productivity of crops is much lower than many countries and needs enhancement to produce ∼400 million tons of food grains for meeting food demands of a population of 1.7 billion by 2050. Diverse climatic conditions in India favor the most adopted weeds to prevail and cause severe crop yield losses. Weeds also degrade quality of the produce, raise cost of production; harbor and serve as alternate hosts to several insect pests and diseases. Parthenium hysterophorus L.; Phalaris minor Retz.; Leptochloa chinensis (L.) Nees.; Echinochloa spp.; weedy rice; Lantana camara L.; Chromolaena odorata (L.) R.M. King & H. Rob.; Mikania micrantha Kunth., are a few of many major weeds of concern currently in India. Weed management in India is critical to improve crops productivity by minimizing weeds caused crop yield losses and to alleviate other adverse effects of weeds in different ecosystems. In spite of the progress made in evolving weed management technologies for different crops and other ecosystems, weeds continue to be a concern in varying ecosystems. The real challenges of Indian weed research are: managing weeds in small farms; non availability of labor and mechanical tools; inadequate information on weed biology and shifts in weed flora; herbicide resistant weeds; lack of understanding on the impact of climate change on weeds and weed control; popularizing integrated weed management with herbicides use by ensuring safe use to avoid adverse effect on human health, environment and avoid weeds developing herbicide resistance and prevention of entry and management of alien invasive weeds. The greatest opportunity of Indian weed science is the potentiality of appropriate weed management technologies to substantially improve the crops productivity. Thus, weed scientists have a greater role to play in the development, popularization and adoption of location specific effective, economical and eco-friendly weed management technologies for different ecosystems of India.",10.1016/j.cropro.2018.02.003,http://oar.icrisat.org/id/eprint/10618,2018-02,Crop Protection (TSI),2612194,Elsevier,,,weeds; herbicides; integrated weed management; climate change; agriculture; weed management; india; weed management technologies; herbicide resistance,,1-8
Can scenario planning catalyse transformational change? Evaluating a climate change policy case study in Mali,"Totin, E; Butler, J R; Sidibé, A; Partey, S T; Thornton, P K; Tabo, R","ICRISAT (Bamako); Université Nationale d’Agriculture du Benin (Kétou); CSIRO Land and Water Flagship, Australian Tropical Science and Innovation Precinct (Aitkenvale); Institut Polytechnique Rural de Formation et de Recherche Appliquée de Katibougou (Koulikoro); CGIAR Research Programme on Climate Change, Agriculture and Food Security (CCAFS) (Nairobi)","The potential of participatory scenario processes to catalyse individual and collective transformation and policy change is emphasised in several theoretical reflections. Participatory scenario processes are believed to enhance participants’ systems understanding, learning, networking and subsequent changes in practices. However, limited empirical evidence is available to prove these assumptions. This study aimed to contribute to this knowledge gap. It evaluates whether these outcomes had resulted from the scenario planning exercise and the extent to which they can contribute to transformational processes. The research focused on a district level case study in rural Mali which examined food security and necessary policy changes in the context of climate change. The analyses of interviews with 26 participants carried out 12 months after the workshop suggested positive changes in learning and networking, but only limited influence on systems understanding. There was limited change in practice, but the reported changes occurred at the individual level, and no policy outcomes were evident. However, by building the adaptive capacity of participants, the scenario process had laid the foundation for ongoing collective action, and potential institutional and policy transformation. We conclude that to enhance the resilience of agricultural and food systems under climate change, participatory scenario processes require a broader range of cross-scale actors’ engagement to support transformational changes. Such process will both catalyse deeper learning and more effective link with national level policy-making process. In addition, individual scenario planning exercises are unlikely to generate sufficient learning and reflection, and instead they should form one component of more extensive and deliberate stakeholder engagement, learning and evaluation processes.",10.1016/j.futures.2017.11.005,http://oar.icrisat.org/id/eprint/10564,2018-02,Futures (TSI),163287,Elsevier,96,,scenario planning; scenario process; learning process; stakeholders engagement; learning and networking; learning and evaluation; climate change policy; mali; case study; rural mali; food security; climate change,,44-56
"Utilizing Process-Based Modeling to Assess the Impact of Climate Change on Crop Yields and Adaptation Options in the Niger River Basin, West Africa","Akumaga, U; Tarhule, A; Piani, C; Traore, B; Yusuf, A","Department of Geography and Environmental Sustainability, University of Oklahoma (Norman); Graduate School, State University of New York (Binghamton); Department of Computer, Mathematics and Environmental Science, American University of Paris (Bamako); ICRISAT (Mali); Department of Soil Science, Faculty of Agriculture, Institute for Agricultural Research, Ahmadu Bello University (Zaria)","Climate change is estimated to substantially reduce crop yields in Sub-Saharan West Africa by 2050. Yet, a limited number of studies also suggest that several adaptation measures may mitigate the effects of climate change induced yield loss. In this paper, we used AquaCrop, a process-based model developed by the FAO (The Food and Agriculture Organization, Rome, Italy), to quantify the risk of climate change on several key cereal crops in the Niger Basin. The crops analyzed include maize, millet, and sorghum under rain fed cultivation systems in various agro-ecological zones within the Niger Basin. We also investigated several adaptation strategies, including changes in the sowing dates, soil nutrient status, and cultivar. Future climate change is estimated using nine ensemble bias-corrected climate model projection results under RCP4.5 and RCP8.5 (RCP—Representative Concentration Pathway) emissions scenario at mid future time period, 2021/25–2050. The results show that on average, temperature had a larger effect on crop yields so that the increase in precipitation could still be a net loss of crop yield. Our simulated results showed that climate change effects on maize and sorghum yield would be mostly positive (2% to 6% increase) in the Southern Guinea savanna zone while at the Northern Guinea savanna zone it is mostly negative (2% to 20% decrease). The results show that at the Sahelian zone the projected changes in temperature and precipitation have little to no impact on millet yield for the future time period, 2021/25–2050. In all agro-ecological zones, increasing soil fertility from poor fertility to moderate, near optimal and optimal level significantly reversed the negative yield change respectively by over 20%, 70% and 180% for moderate fertility, near optimal fertility, and optimal fertility. Thus, management or adaptation factors, such as soil fertility, had a much larger effect on crop yield than the climatic change factors. These results provide actionable guidance on effective climate change adaptation strategies for rain fed agriculture in the region.",10.3390/agronomy8020011,http://oar.icrisat.org/id/eprint/10447,2018-01,Agronomy,2073-4395,MDPI,8(2),11,climate change; agriculture; crop yield; adaptation; niger basin; aquacrop,,1-23
Effects of climate change and adaptation on the livestock component of mixed farming systems: A modelling study from semi-arid Zimbabwe,"Descheemaeker, K; Zijlstra, M; Masikati, P; Crespo, O; Homann-Kee Tui, S","Plant Production Systems, Wageningen University (Wageningen); World Agroforestry Centre (ICRAF) (Lusaka); Climate System Analysis Group, Environmental and Geographical Science Dept., University of Cape Town (Rondebosch); ICRISAT (Bulawayo)","Large uncertainties about the impacts of climate change and adaptation options on the livestock component of heterogeneous African farming systems hamper tailored decision making towards climate-smart agriculture. This study addressed this knowledge gap through the development and use of a dynamic modelling framework integrating climate, crop, pasture and livestock models. The framework was applied to a population of 91 farms located in semi-arid Zimbabwe to assess effects on livestock production resulting from climate change and management interventions. Climate scenarios representing relative “cool-wet”, “hot-dry” and “middle” conditions by mid-century (2040–2070) for two representative concentration pathways were compared with the baseline climate. On-farm fodder resources and rangeland grass production were simulated with the crop model APSIM and the pasture model GRASP respectively. The simulated fodder availability was used in the livestock model LIVSIM to generate various production indicators including milk, offtake, mortality, manure, and net revenue. We investigated the effects of two adaptation packages targeting soil fertility management and crop diversification and quantified the sensitivity to climate change of both current and improved systems. Livestock productivity was constrained by dry-season feed gaps, which were particularly severe for crude protein and caused by the reliance on rangeland grazing and crop residues, both of low quality in the dry season. Effects on grass and stover production depended on the climate scenario and the crop, but year-to-year variation generally increased. Relative changes in livestock net revenue compared to the baseline climate varied from a 6% increase to a 43% decrease, and the proportion of farmers negatively affected varied from 20% to 100%, depending on the climate scenario. Adverse effects of climate change on average livestock production usually coincided with increased year-to-year variability and risk. Farms with larger stocking density faced more severe feed gaps and were more sensitive to climate change than less densely stocked farms. The first adaptation package resulted in increased stover production and a small increase in livestock productivity. The inclusion of grain and forage legumes with the second package increased milk productivity and net revenues more profoundly by 30%. This was attributed to the alleviation of dry-season feed gaps, which also reduced the sensitivity to climate change compared to the current system. Clearly, individual farms were affected differently by climate change and by improved farm management, illustrating that disaggregated impact assessments are needed to effectively inform decision making towards climate change adaptation.",10.1016/j.agsy.2017.05.004,http://oar.icrisat.org/id/eprint/10364,2018-01,Agricultural Systems (TSI),0308521X,Elsevier,159,,crop-livestock interactions; forage; soil fertility; vulnerability; resilience; crude protein; metabolizable energy; smallholder farming systems; climate change; semi-arid zimbabwe; village and household data,UKAID,282-295
Harvesting Plant and Microbial Biodiversity for Sustainably Enhanced Food Security,"Laplaze, L; Sparvoli, F; Masmoudi, K; Hash, C T","Laboratoire Mixte International Adaptation des Plantes et Microorganismes Associés Aux Stress Environnementaux, Laboratoire Commun de Microbiologie IRD/ISRA/UCAD (Dakar); UMR DIADE, Institut de Recherche pour le Développement, Université de Montpellier (Montpellier); Istituto di Biologia e Biotecnologia Agraria, Dipartimento di Scienze Bio-Agroalimentari, Consiglio Nazionale delle Ricerche (Milan); Department of Aridland, United Arab Emirates University (Al-Ain); ICRISAT (Niamey)","According to the United Nations, the World population will reach 9 billion by 2050, with the
majority of this growth occurring in developing countries. More than half of global population
growth is expected to occur in Africa. On the other hand, one in nine of the World’s population
suffers from chronic hunger, the vast majority of which live in developing countries (FAO et al.,
2015). We therefore need to find new and sustainable solutions to feed this increasing population
and alleviate the predicted negative impact of global changes on crop production. This e-Book
summarize current research to improve food security and livelihoods in rural communities, reduce
vulnerability, increase resilience, and mitigate land degradation in developing countries...",10.3389/fpls.2018.00042,http://oar.icrisat.org/id/eprint/10428,2018-01,Frontiers in Plant Science (TSI),1664-462X,Frontiers Media,9,42,food security; breeding; biodiversity; inoculation; microbiome; drought tolerance; salinization; climate change; microbial biodiversity; sustainably,,1-27
The climate-smart village approach: framework of an integrative strategy for scaling up adaptation options in agriculture,"Aggarwal, P K; Jarvis, A; Campbell, B M; Zougmore, R B; Khatri-Chhetri, A; Vermeulen, S J; Loboguerrero, A M; Sebastian, L S; Kinyangi, J; Bonilla-Findji, O; Radeny, M; Recha, J; Martinez-Baron, D; Ramirez-Villegas, J; Huyer, S; Thornton, P; Wollenberg, E; Hansen, J; Alvarez-Toro, P; Aguilar-Ariza, A; Arango-Londoño, D; Patiño-Bravo, V; Rivera, O; Ouedraogo, M; Yen, B T","CGIAR Research Program on Climate Change Agriculture and Food Security (CCAFS) (Bamako); Borlaug Institute for South Asia (BISA) (New Delhi); International Maize and Wheat Improvement Center (CIMMYT) (New Delhi); International Center for Tropical Agriculture (CIAT) (Cali); International Center for Tropical Agriculture (CIAT), c/o University of Copenhagen (Copenhagen); ICRISAT (Bamako); Hoffmann Centre on Sustainable Resource Economy (London); International Rice Research Institute (IRRI) (Hanoi); International Livestock Research Institute (ILRI)(Nairobi); Women in Global Science and Technology (WISAT) Brighton (Ontario); University of Vermont (UVM), Burlington (Vermont); International Research Institute for Climate and Society (IRI), Columbia University (New York); Pontificia Universidad Javeriana, Department of Natural Sciences and Mathematics (Cali)","Increasing weather risks threaten agricultural production systems and food security across the world. Maintaining agricultural growth while minimizing climate shocks is crucial to building a resilient food production system and meeting developmental goals in vulnerable countries. Experts have proposed several technological, institutional, and policy interventions to help farmers adapt to current and future weather variability and to mitigate greenhouse gas (GHG) emissions. This paper presents the climate-smart village (CSV) approach as a means of performing agricultural research for development that robustly tests technological and institutional options for dealing with climatic variability and climate change in agriculture using participatory methods. It aims to scale up and scale out the appropriate options and draw out lessons for policy makers from local to global levels. The approach incorporates evaluation of climate-smart technologies, practices, services, and processes relevant to local climatic risk management and identifies opportunities for maximizing adaptation gains from synergies across different interventions and recognizing potential maladaptation and trade-offs. It ensures that these are aligned with local knowledge and link into development plans. This paper describes early results in Asia, Africa, and Latin America to illustrate different examples of the CSV approach in diverse agroecological settings. Results from initial studies indicate that the CSV approach has a high potential for scaling out promising climate-smart agricultural technologies, practices, and services. Climate analog studies indicate that the lessons learned at the CSV sites would be relevant to adaptation planning in a large part of global agricultural land even under scenarios of climate change. Key barriers and opportunities for further work are also discussed.",10.5751/es-09844-230114,http://oar.icrisat.org/id/eprint/10452,2018,Ecology and Society (TSI),1708-3087,Resilience Alliance,23 (1),14,adaptation; climate change; climate-smart agriculture; climate-smart villages; resilience; scaling out,,1-15
Candidate fodder trees and shrubs for sustainable ruminant production in northern Ghana,"Avornyo, F K; Zougmore, R B; Partey, S T; Tengan, K","Council for Scientific and Industrial Research, Animal Research Institute (Tamale); ICRISAT (Bamako)","A survey was done to document preferred browse plants and farmers’ knowledge about them for sustainable ruminant production in northern Ghana. The study was done in Jirapa and Lawra Districts of Upper West Region of Ghana. A questionnaire was used to interview 50 farmers per district. Tables and graphs were drawn to summarize results.

Ruminant production was a predominantly male occupation (p=0.032). It was also in the domain of the lowly educated (p=0.003). Ninety-seven percent (97%) of the respondents had goats with about half of them having sheep and 17% owning cattle. The overriding (99%) reason for rearing ruminants was to serve as a source of income. In the dry season, ruminants were kept on free range. In the wet season, small ruminants were tethered with or without feed supplementation. A total of 34 browse plants were identified and the most frequently browsed were Fadherbia albida, Ficus sycomorus gnaphalocarpa, Afzelia africana, Pterocarpus erinaceus, Combretum molle and Annona senegalensis. Paramount among the challenges faced by the owners were limited grazing land, feed scarcity and theft. Apart from being fodder sources, the identified browse species were soil improvers, medicinal and human food sources. All respondents grew crops and the most frequently cultivated crops were groundnut, maize, cowpea, bambara groundnuts, sorghum, millet, rice and yam in this decreasing order. Ninety percent (90%) of the respondents fed crop residue to their animals, with the commonest, groundnut haulm, fed by about 80% of the respondents. Twenty-eight different types of trees/shrubs were identified on respondents’ farms.",http://www.lrrd.cipav.org.co/lrrd30/9/favor30154.html,http://oar.icrisat.org/id/eprint/11067,2018,Livestock Research for Rural Development,,,30,9,climate change; feed; integrated systems; multipurpose; fodder species; fodder tree; shrub species; crop-livestock integration; ghana; ruminant production,,1-8
Adoption of appropriate technologies among smallholder farmers in Kenya,"Kalungu, J W; Leal Filho, W","ICRISAT (Nairobi); Applications of Life Sciences, Hamburg University of Applied Sciences (Hamburg)","The adoption of appropriate technologies in small-scale farming is an important response to the effects of climate change and variability, especially in Africa. This study investigates the levels of awareness and adoption of some appropriate technologies at two pairs of sites matched for rainfall, but differing in temperature, in semi-arid and sub-humid regions of Kenya. The pairs were also subsequently matched to form cool and warm regions. The study used participatory methods consisting of 20 focus-group discussions and data from 722 randomly sampled households from the two regions. The descriptive and inferential results show that there was a high level of awareness of appropriate technologies but low rates of adoption in all regions. Even though gender did not influence awareness of the technologies, it had a positive correlation with adoption of the technologies. There was a difference in adoption of between male-headed households and female-headed households at a 1% level of significance. Technology knowledge and use were higher in the semi-arid and warm regions than in the sub-humid and cool regions, with farmer-to-farmer learning being the most prominent source of information. There was a difference in the use of technologies which have a positive impact in regions with high temperatures at a 1% level of significance. A higher percentage of farmers used water harvesting, reduced tillage, crop rotation, green manure and used mulches in the warm regions compared to cool regions. The trend in awareness and adoption assumed a gender and an ecological dimension in favour of males, in both semi-arid regions and warm regions.",10.1080/17565529.2016.1182889,http://oar.icrisat.org/id/eprint/10604,2018,Climate and Development (TSI),1756-5529,Taylor & Francis,10,1,climate change and variability; appropriate technology; adoption; gender; semi-arid region; sub-humid region; climate change,,84-96
How future climatic uncertainty and biotic stressors might influence the sustainability of African vegetable production,"Keatinge, J D H; Ledesma, D R; Hughes, J D A; Keatinge, F J D; Hauser, S; Traore, P C S","AVRDC - The World Vegetable Center (Shanhua); International Rice Research Institute (Los Baños); Department of Geography, University of Florida (Gainesville); International Institute of Tropical Agriculture (IITA) (Ibadan); ICRISAT (Bamako)","The study was conducted to determine whether likely global climatic
uncertainty in the future will pose substantive risk to small-scale vegetable producers
in Africa, and to consider whether climate change threatens the development and
sustainability of improved vegetable horticultural systems in Africa. Annual average
air temperature and rainfall totals were assessed over the period 1975-2014 or,
where possible, for rainfall for longer periods approaching 100 years; the trends in
these data sets were determined through linear regression techniques. Predictions of
the likely values of annual average air temperatures in the next 25, 50, 75 and 100
years were made. Considerable variability in trends is reported ranging from
extremely fast warming in Tunis, Tunisia contrasting with slight cooling in Bamako,
Mali. Annual variability in rainfall was substantive but there were no long-term trends
of consequence, even when considered over the last 100 years. Consequently, the
sustainability of vegetable production will be threatened mostly by changes in pest
(e.g., weeds, insects, fungi, bacteria and viruses) damage to crops in small-scale
production systems. A call is made for national governments to give these issues
enhanced priority in the distribution of future research and capacity-building
resources, as most of these production stressors are under-researched and evident
solutions to such problems are not currently available.",10.17660/actahortic.2018.1225.4,http://oar.icrisat.org/id/eprint/11071,2018,Acta Horticulturae,0567-7572,International Society for Horticultural Science (ISHS),,1225,annual temperature; rainfall variability; diseases; pests; horticultural systems; climatic uncertainty; climate change; africa,,23-42
Effect of Drought Stress on Yield Performance of Parental Chickpea Genotypes in Semi-arid Tropics,"Muruiki, R; Kimurto, P; Vandez, V; Gangarao, N V P R; Silim, S; Siambi, M","Department of Crops, Horticulture & Soils, Egerton University (Egerton); ICRISAT (Nairobi); ICRISAT (Patancheru)","Chickpea (Cicer arietinum L.) is an important cool season food legumes with indeterminate growth habit. The crop is valued for its nutritive seeds and used as animal feed in many developing countries. The productivity of the crop is constrained by several abiotic stresses, among which drought stress is one of the key determinants of crop performance aaccounting for 40-50% yield reduction globally. The present study was conducted to screen, evaluate and select chickpea genotypes possessing high yield potential under drought stress condition at ASALs (arid and semi-arid lands) of Kenya. The experiment was conducted at Chemeron dry land and Eco-tourism Research station, Egerton University and Kenya Agricultural and Livestock Research Institute (KALRO), Pekerra, Marigat, Baringo County. The genotypes were planted in RCBD (randomized complete block design) in three replicates at a spacing of 30 cm × 10 cm, giving a plant density of approximately 25 plants/m2. Combined analysis of variance revealed existence of highly significant differences among the tested genotypes for most of the agronomic traits. Overall, the highest grain yield was obtained from ICCV 92944 (1,173 kg/ha), ICCV 92318 (1,103 kg/ha) and CAVIR (975 kg/ha), ICCV 92318 (967 kg/ha), ICCV 00108 (956 kg/ha) and ICC 4958 (921 kg/ha): possibly due to its comparatively higher drought (and heat) tolerance, and hence could be used as sources of drought tolerance in further breeding programs. This study was carried out in few drought tolerant sites and further more sites need to be evaluated in addition to other drought and heat screening and optimization of protocols, facilities and analytical approaches to identify better genotypes that respond appropriately to climate change.",10.17265/1934-7391/2018.03.006,http://oar.icrisat.org/id/eprint/10823,2018,Journal of Life Sciences,19347391,David Publishing,12,3,chickpea; genotypes; drought stress; yield performance and tolerance; genetics; crop stress physiology,ICRISAT and Generation Challenge Program (GCP0 under Tropical Legumes I project,159-168
Capturing genetic variability and selection of traits for heat tolerance in a chickpea recombinant inbred line (RIL) population under field conditions,"Paul, P J; Samineni, S; Sajja, S; Rathore, A; Das, R R; Chaturvedi, S K; Lavanya, G R; Varshney, R K; Gaur, P M","ICRISAT (Patancheru); Sam Higginbottom University of Agriculture, Technology and Sciences (SHUATS) (Allahabad); Indian Institute of Pulses Research (IIPR) (ICAR) (Kanpur); The UWA Institute of Agriculture, University of Western Australia (Perth)","Chickpea is the most important pulse crop globally after dry beans. Climate change and increased cropping intensity are forcing chickpea cultivation to relatively higher temperature environments. To assess the genetic variability and identify heat responsive traits, a set of 296 F8–9 recombinant inbred lines (RILs) of the cross ICC 4567 (heat sensitive) × ICC 15614 (heat tolerant) was evaluated under field conditions at ICRISAT, Patancheru, India. The experiment was conducted in an alpha lattice design with three replications during the summer seasons of 2013 and 2014 (heat stress environments, average temperature 35 °C and above), and post-rainy season of 2013 (non-stress environment, max. temperature below 30 °C). A two-fold variation for number of filled pods (FPod), total number of seeds (TS), harvest index (HI), percent pod setting (%PodSet) and grain yield (GY) was observed in the RILs under stress environments compared to non-stress environment. A yield penalty ranging from 22.26% (summer 2013) to 33.30% (summer 2014) was recorded in stress environments. Seed mass measured as 100-seed weight (HSW) was the least affected (6 and 7% reduction) trait, while %PodSet was the most affected (45.86 and 44.31% reduction) trait by high temperatures. Mixed model analysis of variance revealed a high genotypic coefficient of variation (GCV) (23.29–30.22%), phenotypic coefficient of variation (PCV) (25.69–32.44%) along with high heritability (80.89–86.89%) for FPod, TS, %PodSet and GY across the heat stress environments. Correlation studies (r = 0.61–0.97) and principal component analysis (PCA) revealed a strong positive association among the traits GY, FPod, VS and %PodSet under stress environments. Path analysis results showed that TS was the major direct and FPod was the major indirect contributors to GY under heat stress environments. Therefore, the traits that are good indicators of high grain yield under heat stress can be used in indirect selection for developing heat tolerant chickpea cultivars. Moreover, the presence of large genetic variation for heat tolerance in the population may provide an opportunity to use the RILs in future-heat tolerance breeding programme in chickpea.",10.1007/s10681-018-2112-8,http://oar.icrisat.org/id/eprint/10473,2018,Euphytica (TSI),0014-2336,Springer,214(2),27,heat tolerance; chickpea; ril; genetic variability; trait selection; heat tolerant chickpea cultivars; genetic variation; breeding programme,,1-27
Local normative climate shaping agency and agricultural livelihoods in sub-Saharan Africa,"Petesch, P; Bullock, R; Feldman, S; Badstue, L; Rietveld, A; Bauchspies, W; Kamanzi, A; Tegbaru, A; Yila, J","International Maize and Wheat Improvement Center, CIMMYT; International Institute for Tropical Agriculture, IITA; Cornell University; Bioversity International; Michigan State University; Virtual University of Uganda; ICRISAT (Bamako)","We introduce the concept of local normative climate to improve understanding of community- level social processes that shape women’s and men’s sense of agency and capacities for taking important decisions, including in their agricultural livelihoods. The idea of normative climate is informed by feminist literature that addresses concerns for the contextual, fluid, and relational properties of gender norms. We apply normative climate to a qualitative examination of men’s and women’s assessments of decade-long changes in their decision-making capacity in two village case studies as well as comparatively with 24 village cases from seven sub-Saharan African countries. The case studies reveal how a normative climate is shaped by contextual influences that give rise to social processes where, for instance, changes in decision-making and agricultural opportunities may be perceived as empowering by only men in one village, and only by women in the other village. Comparative findings highlight how perceptions of agency are rooted in fluid normative expectations that evolve differently for women and men as they move through their life cycle and as local institutions and opportunities change.",http://agrigender.net/views/local-normative-climate-shaping-agency-and-agricultural-livelihoods-in-sub-saharan-africa-jgafs-312018-5.php,http://oar.icrisat.org/id/eprint/10985,2018,"Journal of Gender, Agriculture and Food Security",2413-922X,,3,1,gender norms; case studies; empowerment; qualitative methodology; sub-saharan africa; agricultural livelihoods; climate change,Bill & Melinda Gates Foundation; CGIAR Gender & Agricultural Research Network; World Bank; CGIAR Research Programs on Maize and Wheat,108-130
