Title,Subtitle,Author,Developing Country Author,ORCID,Publication Year,Series Name,Series Number,Publisher,Language,Record Type,Abstract,Source Publication,ISSN,DOI/WEB/URL,DOI Number,Full citation,Peer Reviewed - PR or Non-PR,Subject - keywords,Subject - author supplied keywords,Subject - country location,JEL Descriptors,IFPRI Descriptors,IFPRI Division,Access Rights,Creative Commons CC License,Creative Commons Dataentry,Related Documents,Associated data,Display Notes,Web link,PDF URL - outside IFPRI,IFPRI Publication Ranking,Research Initiatives,CGIAR Research Program,Reference URL
Foresighting future climate change impacts on fisheries and aquaculture in Vietnam,,"Tran, Nhuong; Chan, Chin Yee; Aung, Yee Mon; Bailey, Conner; Akester, Michael; Cao, Quyen Le; Trinh, Tu Quang; Hoang, Cuong Van; Sulser, Timothy B.; Wiebe, Keith D.","Cao, Quyen Le; Trinh, Tu Quang; Hoang, Cuong Van","http://orcid.org/0000-0001-7128-5283 Sulser, Timothy B.; http://orcid.org/0000-0001-6035-620X Wiebe, Keith",2022,Frontiers in Sustainable Food Systems,6,Frontiers Media S.A.,English,Journal article,"The Vietnamese fisheries sector, including both marine fisheries and aquaculture, has made spectacular progress in recent years, becoming one of the top seafood producing and exporting countries in the world. Looking forward, development goals of this sector must address challenges associated with climate change, including changing distribution of commercially important marine species such as tuna and disruptions to land-based aquaculture production systems. This study investigates the prospective climate change impacts on Vietnam's fisheries sector, focusing on four key commodities including capture fisheries (tuna), freshwater aquaculture (pangasius catfish and tilapia), and brackish water aquaculture (shrimp). The extent of impact varies, but climate change represents a potentially significant threat to sustainable production in each production system. Producers, policy makers, and other stakeholders need to plan for and adapt to climate change to ensure the sustainable development of Vietnam's fisheries sector.",Frontiers in Sustainable Food Systems 6: 829157,2571-581X,https://doi.org/10.3389/fsufs.2022.829157,10.3389/fsufs.2022.829157,"Tran, Nhuong; Chan, Chin Yee; Aung, Yee Mon; Bailey, Conner; Akester, Michael; Cao, Quyen Le; Trinh, Tu Quang; Hoang, Cuong Van; Sulser, Timothy B.; and Wiebe, Keith D. 2022. Foresighting future climate change impacts on fisheries and aquaculture in Vietnam. Frontiers in Sustainable Food Systems 6: 829157. https://doi.org/10.3389/fsufs.2022.829157",PR,fisheries; aquaculture; seafoods; production; exports; climate change; distribution; tuna; capture fisheries; freshwater; tilapia; brackishwater aquaculture; shrimp; sustainability,foresight,VIET NAM; VIETNAM; SOUTH EAST ASIA; ASIA,,IFPRI3; 1 Fostering Climate-Resilient and Sustainable Food Supply; CRP2; CRP7; ISI,EPTD,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Discussion Paper https://ebrary.ifpri.org/digital/collection/p15738coll2/id/129825 Working Paper https://ebrary.ifpri.org/digital/collection/p15738coll2/id/131069,,,,,Not ranked,Foresight; Low-Emission Food Systems,"CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS); CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8385
Four ways blue foods can help achieve food system ambitions across nations,,"Crona, Beatrice I.; Wassénius, Emmy; Jonell, Malin; Koehn, J. Zachary; Short, Rebecca; Tigchelaar, Michelle; Daw, Tim M.; Kishore, Avinash",,"http://orcid.org/0000-0003-4625-4922 Kishore, Avinash",2023,Nature,616,Springer,English,Journal article,"Blue foods, sourced in aquatic environments, are important for the economies, livelihoods, nutritional security and cultures of people in many nations. They are often nutrient rich, generate lower emissions and impacts on land and water than many terrestrial meats, and contribute to the health, wellbeing and livelihoods of many rural communities. The Blue Food Assessment recently evaluated nutritional, environmental, economic and justice dimensions of blue foods globally. Here we integrate these fndings and translate them into four policy objectives to help realize the contributions that blue foods can make to national food systems around the world: ensuring supplies of critical nutrients, providing healthy alternatives to terrestrial meat, reducing dietary environmental footprints and safeguarding blue food contributions to nutrition, just economies and livelihoods under a changing climate. To account for how context-specifc environmental, socio-economic and cultural aspects afect this contribution, we assess the relevance of each policy objective for individual countries, and examine associated co-benefts and trade-ofs at national and international scales. We fnd that in many African and South American nations, facilitating consumption of culturally relevant blue food, especially among nutritionally vulnerable population segments, could address vitamin B12 and omega-3 defciencies. Meanwhile, in many global North nations, cardiovascular disease rates and large greenhouse gas footprints from ruminant meat intake could be lowered through moderate consumption of seafood with low environmental impact. The analytical framework we provide also identifes countries with high future risk, for whom climate adaptation of blue food systems will be particularly important. Overall the framework helps decision makers to assess the blue food policy objectives most relevant to their geographies, and to compare and contrast the benefts and trade-ofs associated with pursuing these objectives.",Nature 616: 104-112,0028-0836,https://doi.org/10.1038/s41586-023-05737-x,10.1038/s41586-023-05737-x,"Crona, Beatrice I.; Wassénius, Emmy; Jonell, Malin; Koehn, J. Zachary; Short, Rebecca; Tigchelaar, Michelle; Daw, Tim M.; Kishore, Avinash; et al. 2023. Four ways blue foods can help achieve food system ambitions across nations. Nature 616: 104-112. https://doi.org/10.1038/s41586-023-05737-x",PR,climate change; economic systems; fish; health; livelihoods; nutrition; rural communities; seafoods,blue foods,WORLD,,IFPRI3; ISI,Development Strategies and Governance (DSG); Transformation Strategies,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,,,A*,Sustainable Healthy Diets,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8601
From bad to worse: Poverty impacts of food availability responses to weather shocks,,"Koo, Jawoo; Mamun, Abdullah; Martin, Will",,"http://orcid.org/0000-0002-2824-1303 Martin, Will; http://orcid.org/0000-0003-3424-9229 Koo, Jawoo; https://orcid.org/0000-0002-3717-3197 Mamun, Abdullah",2021,Agricultural Economics,52(5),International Association of Agricultural Economists (IAAE),English,Journal article,"Since Amartya Sen's famous work on Poverty and Famines, economists have understood that the impacts of food market shocks on the poor depend much more on their impacts on households’ incomes and access to food than on overall food availability, and that availability-based policies frequently exacerbate adverse impacts on household welfare. Perhaps because household-level impacts are not directly observable many policy makers have continued to rely on availability-oriented policies such as export bans. In the Zambia case considered in this article, export bans imposed in response to an El Niño event appear to have greatly exacerbated the small increase in poverty resulting from the weather shock. The combination of household-level data and crop models used in this article allows us to assess the impacts of weather and price shocks at the household level, and to evaluate the suitability of availability-based policies for dealing with weather shocks. These analytical techniques can also help identify the households and regions adversely affected, and design policies to improve poor consumers’ access to food.",Agricultural Economics 52(5): 833-847,0169-5150 ,https://doi.org/10.1111/agec.12657,10.1111/agec.12657,"Koo, Jawoo; Mamun, Abdullah; and Martin, Will. 2021. From bad to worse: Poverty impacts of food availability responses to weather shocks. Agricultural Economics 52(5): 833-847. https://doi.org/10.1111/agec.12657",PR,spatial data; climate change; El Nino; models; food security; exports; trade; trade policies; poverty; weather; food supply; households,weather shocks,ZAMBIA; SOUTHERN AFRICA; AFRICA SOUTH OF SAHARA; AFRICA,,"IFPRI3; ISI; CRP2; IFPRIOA; 1 Fostering Climate-Resilient and Sustainable Food Supply; 3 Building Inclusive and Efficient Markets, Trade Systems, and Food Industry; 4 Transforming Agricultural and Rural Economies",MTID; EPTD; PIM,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Discussion paper https://doi.org/10.2499/p15738coll2.133705 Working paper https://ebrary.ifpri.org/digital/collection/p15738coll2/id/133016,,,,,A,,"CGIAR Research Programs on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7834
"Gender, agriculture policies, and climate-smart agriculture in India",,"Barooah, Prapti; Alvi, Muzna; Ringler, Claudia; Pathak, Vishal","Pathak, Vishal","https://orcid.org/0000-0002-8004-3902 Barooah, Prapti; https://orcid.org/0000-0003-2829-2327 Alvi, Muzna; http://orcid.org/0000-0002-8266-0488 Ringler, Claudia",2023,Agricultural Systems,212(December 2023),Elsevier,English,Journal article,"CONTEXT: India's agricultural systems are increasingly affected by climate change's adverse effects. The Government of India has an impressive set of programs to address this issue, but they have substantial shortcomings, especially in reaching women farmers.  OBJECTIVE: We aim to understand policy and implementation gaps in reaching women farmers with climate-smart agriculture (CSA) practices and study how women and men farmer's different roles in agriculture shape their needs and access to complementary services needed to adapt to climate change.  METHODS: An extensive review of India's agriculture and climate policies and program and a series of focus group discussions with farmers in Gujarat, India to discuss constraints and potential entry points for better reaching women farmers with CSA practices.  RESULTS AND CONCLUSION: Women's increased vulnerability to climate change and reduced access to CSA practices can be attributed to limited land ownership, poor access to credit, reduced access to information and formal extension, and multiple pressures on their time. Village cooperatives and self-help groups can be leveraged to support women's access to agricultural information and adoption of CSA practices.  SIGNIFICANCE: This paper highlights constraints to information and extension access by Indian women farmers that could impede the widespread adoption of CSA practices. It fills an important knowledge gap in designing gender-responsive policies and inclusive agricultural extension systems to promote adoption of CSA practices among smallholder farmers.",Agricultural Systems 212(December 2023): 103751,0308-521X ,https://doi.org/10.1016/j.agsy.2023.103751,10.1016/j.agsy.2023.103751,"Barooah, Prapti; Alvi, Muzna; Ringler, Claudia; and Pathak, Vishal. 2023. Gender, agriculture policies, and climate-smart agriculture in India.  Agricultural Systems 212(December 2023): 103751. https://doi.org/10.1016/j.agsy.2023.103751",PR,agriculture; climate change; climate-smart agriculture; farming systems; gender; women; women farmers; vulnerability,,INDIA; SOUTH ASIA; ASIA,,IFPRI3; ISI; DCA; 1 Fostering Climate-Resilient and Sustainable Food Supply; 4 Transforming Agricultural and Rural Economies; 5 Strengthening Institutions and Governance; IFPRIOA,Natural Resources and Resilience (NRR); Transformation Strategies,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,,,A,Agroecology; NEXUS Gains,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8878
Gender-specific livelihood strategies for coping with climate change-induced food insecurity in southeast Nigeria,,"Anugwa, Ifeoma Q.; Agwu, Agwu E.; Suvedi, Murari; Babu, Suresh Chandra","Anugwa, Ifeoma Q.; Agwu, Agwu E.","http://orcid.org/0000-0002-8706-2516 Babu, S.",2020,Food Security,12,International Society for Plant Pathology; Springer,English,Journal article,,Food Security 12: 1065–1084,1876-4517,https://doi.org/10.1007/s12571-020-01042-x,10.1007/s12571-020-01042-x,"Anugwa, Ifeoma Q.; Agwu, Agwu E.; Suvedi, Murari; and Babu, Suresh Chandra. 2020. Gender-specific livelihood strategies for coping with climate change-induced food insecurity in southeast Nigeria. Food Security 12: 1065–1084. https://doi.org/10.1007/s12571-020-01042-x",PR,gender; livelihoods; climate change; climate; food security; households,livelihood strategies; multinomial logit regression,NIGERIA; WEST AFRICA; AFRICA SOUTH OF SAHARA; AFRICA,,IFPRI3; DCA; ISI; CRP2; 1 Fostering Climate-Resilient and Sustainable Food Supply; G Cross-cutting gender theme; Capacity Strengthening,DGO; PIM,Restricted,,,Discussion paper https://ebrary.ifpri.org/digital/collection/p15738coll2/id/131351,,,,,B,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7322
Global and regional health effects of future food production under climate change,A modelling study,"Springmann, Marco; Mason-D’Croz, Daniel; Robinson, Sherman; Garnett, Tara; Godfray, H. Charles J.; Gollin, Douglas; Rayner, Mike; Ballon, Paola; Scarborough, Peter",,"http://orcid.org/0000-0003-0673-2301 Mason-D'Croz, Daniel; http://orcid.org/0000-0002-5478-9372 Robinson, Sherman",2016,The Lancet,,,English,Journal article,,"The Lancet 387(10031), 7 - 13 May 2016: 1937 - 1946",,http://dx.doi.org/10.1016/S0140-6736(15)01156-3,10.1016/S0140-6736(15)01156-3,"Springmann, Marco; Mason-D’Croz, Daniel; Robinson, Sherman; Garnett, Tara; Godfray, H. Charles J.; Gollin, Douglas; Rayner, Mike; Ballon, Paola; and Scarborough, Peter. Global and regional health effects of future food production under climate change: A modelling study. The Lancet 387(10031), 7 - 13 May 2016: 1937 - 1946. http://dx.doi.org/10.1016/S0140-6736(15)01156-3",PR,commodities; trade; food supply; food security; climate change; technological changes; commodity markets; resource management; economic development; prices; nutrition; malnutrition; health; mortality; diet,agricultural production; public health programs; IMPACT model,WORLD,,IFPRI3; ISI; CRP2; CRP7; A.1 Global Futures and Strategic Foresight,EPTD; PIM,Open Access,,,Supplementary appendix http://www.thelancet.com/cms/attachment/2049285862/2058628749/mmc1.pdf Model Description http://ebrary.ifpri.org/cdm/ref/collection/p15738coll2/id/129825 Web tool  http://impact-model.ifpri.org/  Poster http://ebrary.ifpri.org/cdm/singleitem/collection/p15738coll5/id/5138,,Article is made available free of charge by Elsevier to readers who register online,,,A*,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM); CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5295
Global cropping intensity gaps: Increasing food production without cropland expansion,,"Wu, Wenbin; Yu, Qiangyi; You, Liangzhi; Chen, Kevin Z.; Tang, Huajun; Liu, Jianguo","i. Wu, Wenbin; Yu, Qiangyi; Tang, Huajun","http://orcid.org/0000-0001-7930-8814 You, Liangzhi; http://orcid.org/0000-0001-7927-4132 Chen, Kevin",2018,Land Use Policy,76(July 2018),Elsevier,English,Journal article,,Land Use Policy 76(July 2018): 515-525.,,https://doi.org/10.1016/j.landusepol.2018.02.032,10.1016/j.landusepol.2018.02.032,"Wu, Wenbin; Yu, Qiangyi; You, Liangzhi; Chen, Kevin Z.; Tang, Huajun; and Liu, Jianguo. 2018. Cropping intensity gaps: The potential for expanding global harvest areas. Land Use Policy 76(July 2018): 515-525. https://doi.org/10.1016/j.landusepol.2018.02.032",PR,farmland; food production;  land clearing; water resources; sustainable development goals; biodiversity conservation; climate change mitigation; yield gap; harvesting frequency; spatial data,cropping intensity gap; agricultural intensification,SOUTH ASIA; SOUTHEAST ASIA; AFRICA SOUTH OF SAHARA; AFRICA,,IFPRI3; ISI; DCA; CRP2; Capacity Strengthening; 1 Fostering Climate-Resilient and Sustainable Food Supply,EPTD; DSGD; PIM,Restricted,,,Discussion paper http://ebrary.ifpri.org/cdm/ref/collection/p15738coll2/id/129407,,,,,A,,"CGIAR Research Programs on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/6333
Global investment gap in agricultural research and innovation to meet Sustainable Development Goals for hunger and Paris Agreement climate change mitigation,,"Rosegrant, Mark W.; Sulser, Timothy B.; Wiebe, Keith D.",,"http://orcid.org/0000-0001-6371-6127 Rosegrant, Mark; http://orcid.org/0000-0001-7128-5283 Sulser, Timothy B.; http://orcid.org/0000-0001-6035-620X Wiebe, Keith",2022,Frontiers in Sustainable Food Systems,6,Frontiers Media S.A.,English,Journal article,"This paper provides estimates of the global investment gap in agricultural research and development (R&D) and innovation. The investment gap is defined as the additional annual investments required to end hunger in 2030 (Sustainable Development Goal SDG2) and to put agriculture on the pathway to the Paris Agreement target for 1.5◦C increase over pre-industrial temperature levels. The investment gap is projected relative to a reference scenario with projections to 2030 using an integrated economic-biophysical model of the global agri-food system. In addition to showing the impacts on hunger, the modeling results are used to simulate the effect of the gap-closing investments on greenhouse gas (GHG) emissions from agriculture. In addition to projecting the impacts of overall investment in agricultural R&D on productivity and environmental outcomes, the analysis assesses the contributions of different types of innovative technologies and farming systems to the environmental outcomes, especially technologies that contribute to sustainability outcomes. Sustainability-oriented technologies and management practices examined include conservation tillage, nitrogen-use efficiency, improved livestock management, and other climate-smart technologies. The projected results show that additional agricultural R&D investments of USD 4 billion per year above baseline investments together with USD 6.5 billion per year invested in technical climate-smart options, can reduce hunger to 5% globally and achieve 2030 GHG emission reductions consistent with the Paris Agreement 2◦C and 1.5◦C pathways to 2030.",Frontiers in Sustainable Food Systems 6; 96576,2571-581X,https://doi.org/10.3389/fsufs.2022.965767,10.3389/fsufs.2022.965767,"Rosegrant, Mark W.; Sulser, Timothy B.; and Wiebe, Keith D. 2022. Global investment gap in agricultural research and innovation to meet Sustainable Development Goals for hunger and Paris Agreement climate change mitigation. Frontiers in Sustainable Food Systems 6: 96576. https://doi.org/10.3389/fsufs.2022.965767",PR,agricultural research; agricultural development; investment; hunger; Sustainable Development Goals; Paris Agreement; temperature; climate change; agrifood systems; greenhouse gas emissions; agriculture; technology; farming systems; sustainability; conservation tillage; livestock management,global investment gap; nitrogen use efficiency; IMPACT model,WORLD,,IFPRI3; 1 Fostering Climate-Resilient and Sustainable Food Supply; CRP5; CRP2; IMPACT model,EPTD; PIM,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Discussion paper https://ebrary.ifpri.org/digital/collection/p15738coll2/id/129825,,See also  https://hdl.handle.net/10568/114761 Project https://www.ifpri.org/project/ifpri-impact-model,,,Not ranked,Foresight,"CGIAR Research Program on Policies, Institutions, and Markets (PIM); CGIAR Research Program on Water, Land and Ecosystems (WLE)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8395
"Global linkages among energy, food and water",An economic assessment,"Ringler, Claudia; Willenbockel, Dirk; Perez, Nicostrato; Rosegrant, Mark W.; Zhu, Tingju; Matthews, Nathanial",,"http://orcid.org/0000-0002-8266-0488 Ringler, Claudia; http://orcid.org/0000-0003-3030-4710 Perez, Nicostrato; http://orcid.org/0000-0001-6371-6127 Rosegrant, Mark; http://orcid.org/0000-0002-6882-3551 Zhu, Tingju",2016,Journal of Environmental Studies and Sciences,6(1),,English,Journal article,,Journal of Environmental Studies and Sciences 6(1): 161 -171,,http://dx.doi.org/10.1007/s13412-016-0386-5,10.1007/s13412-016-0386-5,"Ringler, Claudia; Willenbockel, Dirk; Perez, Nicostrato; Rosegrant, Mark W.; Zhu, Tingju; and Matthews, Nathanial. 2016. Global linkages among energy, food and water: An economic assessment. Journal of Environmental Studies and Sciences 6(1): 161 -171. http://dx.doi.org/10.1007/s13412-016-0386-5",PR,food security; water; energy; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets,energy price; water security; water-energy-food nexus; IMPACT model,WORLD,,IFPRI3; CRP5; E Building Resilience; A Ensuring Sustainable food production; The Water Energy Food Nexus,EPTD,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,,,Not ranked,,"CGIAR Research Program on Water, Land and Ecosystems (WLE)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5304
Global pulses scenario: status and outlook,,"Joshi, Pramod Kumar; Rao, P. Parthasarathy",,"http://orcid.org/0000-0002-9637-1767 Joshi, Pramod Kumar",2017,Annals of the New York Academy of Sciences,1392 (March 2017),,English,Journal article,,Annals of the New York Academy of Sciences 1392 (March 2017): 6-17,1749-6632,http://dx.doi.org/10.1111/nyas.13298,10.1111/nyas.13298,"Joshi, Pramod Kumar; and Rao, P. Parthasarathy. Global pulses scenario: status and outlook. Annals of the New York Academy of Sciences 1392 (March 2017): 6-17. http://dx.doi.org/10.1111/nyas.13298",PR,pulses; beans; nutrition; trade; prices; demand; food supply; commodities; food security; climate change; technological changes; commodity markets; resource management; economic development; malnutrition,IMPACT model,WORLD,,IFPRI3; ISI,SAO,Restricted,,,,,,,,B,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5586
Grazing lands in Sub-Saharan Africa and their potential role in climate change mitigation,What we do and don't know,"Milne, Eleanor; Aynekulu, Ermias; Bationo, Andre; Batjes, Niels H.; Boone, Randall; Conant, Rich; Davies, Jonathan; Hanan, Niall; Hoag, Dana; Herrick, Jeffrey E.; Knausenberger, Walter; Neely, Constance; Njoka, Jesse; Ngugi, Moffatt; Parton, Bill; Paustian, Keith; Reid, Robin; Said, Mohamed; Shepherd, Keith; Swift, David; Thornton, Philip; Williams, Stephen; Miller, Sue; Nkonya, Ephraim M.",,"http://orcid.org/0000-0001-9348-6561 Nkonya, Ephraim",2016,Environmental Development,,,English,Journal article,,Environmental Development 19(2016): 70 - 74,2211-4645,http://dx.doi.org/10.1016/j.envdev.2016.06.001,10.1016/j.envdev.2016.06.001,"Milne, Eleanor; Aynekulu, Ermias; Bationo, Andre; Batjes, Niels H.; Boone, Randall; Conant, Rich; Davies, Jonathan; Hanan, Niall; Hoag, Dana; Herrick, Jeffrey E.; Knausenberger, Walter; Neely, Constance; Njoka, Jesse; Ngugi, Moffatt; Parton, Bill; Paustian, Keith; Reid, Robin; Said, Mohamed; Shepherd, Keith; Swift, David; Thornton, Philip; Williams, Stephen; Miller, Sue; and Nkonya, Ephraim M. 2016. Grazing lands in Sub-Saharan Africa and their potential role in climate change mitigation: What we do and don't know. Environmental Development 19(2016): 70 - 74. http://dx.doi.org/10.1016/j.envdev.2016.06.001",PR,grazing; livestock; climate change; sustainable land management,,AFRICA SOUTH OF SAHARA; AFRICA,,IFPRI3; ISI,EPTD,Restricted,,,,,,,,Not ranked,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5473
Harnessing the sun and wind for economic development?,An economy-wide assessment for Egypt,"Al-Riffai, Perrihan; Blohmke, Julian; Breisinger, Clemens; Wiebelt, Manfred",,"http://orcid.org/0000-0001-6955-0682 Breisinger, Clemens; http://orcid.org/0000-0001-9752-8503 Al-Riffai, Perrihan",2015,Sustainability,,,English,Journal article,,Sustainability 7(6): 7714-7740,2071-1050,http://dx.doi.org/10.3390/su7067714,10.3390/su7067714,"Al-Riffai, Perrihan; Blohmke, Julian; Breisinger, Clemens; and Wiebelt, Manfred. 2015. Harnessing the sun and wind for economic development? An economy-wide assessment for Egypt. Sustainability 7(6): 7714-7740. http://dx.doi.org/10.3390/su7067714",PR,energy; economic development; income; subsidies; renewable energy; income distribution; economic policies; climate change,Computable General Equilibrium (CGE) model,EGYPT; ARAB COUNTRIES; MIDDLE EAST; NORTH AFRICA; AFRICA,D58 Computable and Other Applied General Equilibrium Models,IFPRI3; ISI; CRP2,DSGD; PIM,Open Access,,,Working Paper http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/4603,,,,,Not ranked,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/4921
Harvested area gaps in China between 1981 and 2010: Effects of climatic and land management factors,,"Yu, Qiangyi; van Vliet, Jasper; Verburg, Peter H.; You, Liangzhi; Yang, Peng; Wu, Wenbin","Yu, Qiangyi","http://orcid.org/0000-0001-7930-8814 You, Liangzhi",2018,Environmental Research Letters,13,IOP Publishing Ltd,English,Journal article,"Previous analyses have shown that cropland in China is intensifying leading to an increase in crop production. However, these output measures leave the potential for further intensification largely unassessed. This study uses the harvested area gap (HAG), which expresses the amount of harvested area that can be gained if all existing cropland is harvested as frequently as possible, according to their potential limit for multi-cropping. Specifically, we calculate the HAG and changes in the HAG in China between 1981 and 2010. We further assess how climatic and land management factors affect these changes. We find that in China the HAG decreases between the 1980s and the 1990s, and subsequently increases between the 1990s and the 2000s, resulting in a small net increase for the entire study period. The initial decrease in the HAG is the result of an increase in the average multi-cropping index throughout the country, which is larger than the increase in the potential multi-cropping index as a result of the changed climatic factors. The subsequent increase in the HAG is the result of a decrease in average multi-cropping index throughout the country, in combination with a stagnant potential. Despite the overall increase in harvested area in China, many regions, e.g. Northeast and Lower Yangtze, are characterized by an increased HAG indicating their potential for further increasing the multi-cropping index. The study demonstrates the application of the HAG as a method to identify areas where the harvested area can increase to increase crop production, which is currently underexplored in scientific literature.",Environmental Research Letters 13: 044006,,https://doi.org/10.1088/1748-9326/aaafe0,10.1088/1748-9326/aaafe0,"Yu, Qiangyi; van Vliet, Jasper; Verburg, Peter H.; You, Liangzhi; Yang, Peng; and Wu, Wenbin. 2018. Harvested area gaps in China between 1981 and 2010: Effects of climatic and land management factors. Environmental Research Letters 13: 044006. https://doi.org/10.1088/1748-9326/aaafe0",PR,climate change; multiple cropping; food security; harvesting frequency; land management; crop production; land use; intensification,land use intensity; land use change; cropping frequency,CHINA; EAST ASIA; ASIA,,IFPRI3; DCA; ISI; CRP2; Capacity Strengthening; 1 Fostering Climate-Resilient and Sustainable Food Supply,EPTD; PIM,Open Access,https://creativecommons.org/licenses/by/3.0/,https://creativecommons.org/licenses/by/3.0/,,,,,,A,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/6181
Health gender gap in Uganda: do weather effects and water play a role?,,"Amondo, Emily Injete; Kirui, Oliver K.; Mirzabaev, Alisher; kirui",,"https://orcid.org/0000-0002-5218-6324 Kirui, Oliver K.",2022,International Journal for Equity in Health,21,Springer,English,Journal article,"Vulnerabilities of men and women to adverse health effects due to weather variability and climate change are not equal. Uganda was among the countries in the world most affected by extreme weather events during the last decade. However, there is still limited gendered empirical evidence on the links between weather variability and health and the possible pathways through which these health effects occur. Therefore, this study analyses the effect of weather variability on illness, and the extent to which water collection ‘time burden’ mediates the relationship between weather anomalies and illness among men and women of working age in Uganda. The study also quantifies the health inequalities to be eliminated if resources are equalized.",International Journal for Equity in Health 21: 173,1475-9276,https://doi.org/10.1186/s12939-022-01769-3,10.1186/s12939-022-01769-3,"Amondo, Emily Injete; Kirui, Oliver; and Mirzabaev, Alisher. 2022. Health gender gap in Uganda: do weather effects and water play a role?. International Journal for Equity in Health 21: 173. https://doi.org/10.1186/s12939-022-01769-3",PR,vulnerability; gender; health effects; weather; climate change; extreme weather events; water; time management; inequality; resources; women; men; water scarcity,weather variability; time burden; rain water harvesting,UGANDA; EAST AFRICA; AFRICA SOUTH OF SAHARA; AFRICA,,4 Transforming Agricultural and Rural Economies; G Cross-cutting gender theme; IFPRI3; ISI,DSGD,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,,,Not ranked,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8477
