Title,Authors,Abstract,Funder,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Journal,ISSN,Publisher,Pages,Subjects,Type
Characteristics of distinct dietary patterns in rural Bangladesh: Nutrient adequacy and vulnerability to shocks,"Ali, Zakari; Scheelbeek, Pauline F. D.; Sanin, Kazi Istiaque; Thomas, Timothy S.; Ahmed, Tahmeed; Prentice, Andrew M.; Green, Rosemary","Food security in Bangladesh has improved in recent years, but the country is now facing a double burden of malnutrition while also being highly vulnerable to climate change. Little is known about how this may affect food supply to different sectors of the population. To inform this, we used a national dietary survey of 800 rural households to define dietary patterns using latent class analysis. Nutrient adequacy of dietary patterns and their potential vulnerability to climate shocks (based on diversity of calorie sources) were assessed. We fitted mixed effects logistic regression models to identify factors associated with dietary patterns. Four dietary patterns were identified: rice and low diversity; wheat and high diversity; pulses and vegetables; meat and fish. The wheat and high diversity and meat and fish patterns tended to be consumed by households with higher levels of wealth and education, while the rice and low diversity pattern was consumed by households with lower levels of wealth and education. The pulses and vegetables pattern was consumed by households of intermediate socio-economic status. While energy intake was high, fat and protein intake were suboptimal for all patterns except for the wheat and high diversity pattern. All patterns had fruit and vegetable intake below the WHO recommendation. The wheat and high diversity pattern was least vulnerable to shocks, while the rice and low diversity pattern was the most vulnerable, relying mainly on single cereal staples. The diets showed “double vulnerability” where the nutrient inadequate patterns were also those most vulnerable to shocks.",Wellcome Trust,English,10.3390/nu13062049,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7841,2021,Nutrients,2072-6643,MDPI,Nutrients 13(6): 2049,food security; diet; nutrition; climate change; food consumption; households; shock; malnutrition; rice; vegetables; fish; meat; vulnerability; rural areas; staples; dietary pattern; latent class analysis; farm production; diet vulnerability; nutrition transition,Journal article
"Chinese rice production area adaptations to climate changes, 1949–2010","Li, Zhengguo; Liu, Zhenhuan; Anderson, Weston; Yang, Peng; Wu, Wenbin; Tang, Huajun; You, Liangzhi",,,English,10.1021/es505624x,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5279,2015,Environmental Science and Technology,,,Environmental Science and Technology 49 (4): 2032 – 2037,rice; climate change;  production;  temperature; precipitation,Journal article
Climate adaptation and conservation agriculture among Peruvian farmers,"Tambet, Heleene; Stopnitzky, Yaniv",,,English,10.1111/ajae.12177,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7633,2021,American Journal of Agricultural Economics,0002-9092,Agricultural and Applied Economics Association (AAEA),American Journal of Agricultural Economics 103(3): 900-922,farmers; climate; climate change; climate change mitigation; conservation agriculture; adaptation; conservation,Journal article
Climate analogs can catalyze cross-regional dialogs for US specialty crop adaptation,"Chaudhary, Siddharth; Rajagopalan, Kirti; Kruger, Chad E.; Brady, Michael P.; Fraisse, Clyde W.; Gustafson, David I..; Hall, Sonia A.; Hoogenboom, Gerrit; Melnick, Rachel L.; Reyes, Julian; Stöckle, Claudio O.; Sulser, Timothy B.","Communication theory suggests that interactive dialog rather than information transmission is necessary for climate change action, especially for complex systems like agriculture. Climate analogs—locations whose current climate is similar to a target location’s future climate—have garnered recent interest as transmitting more relatable information; however, they have unexplored potential in facilitating meaningful dialogs, and whether the way the analogs are developed could make a difference. We developed climate context-specific analogs based on agriculturally-relevant climate metrics for US specialty crop production, and explored their potential for facilitating dialogs on climate adaptation options. Over 80% of US specialty crop counties had acceptable US analogs for the mid-twenty-first century, especially in the West and Northeast which had greater similarities in the crops produced across target-analog pairs. Western counties generally had analogs to the south, and those in other regions had them to the west. A pilot dialog of target-analog pairs showed promise in eliciting actionable adaptation insights, indicating potential value in incorporating analog-driven dialogs more broadly in climate change communication.",U.S. Department of Agriculture,English,10.1038/s41598-023-35887-x,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8739,2023,Scientific Reports,2045-2322,Nature Publishing Group,Scientific Reports 13: 9317, agriculture; climate change; climate change adaptation; communication; crops; crop production; climate analogs;  specialty crops,Journal article
Climate and poverty in Africa South of the Sahara,"Azzarri, Carlo; Signorelli, Sara","To estimate the effects of weather conditions on welfare globally, cross-country comparisons need to rely on international poverty lines and comparable data sources at the micro-level. To this end, nationally representative household surveys can offer a useful instrument, also at the sub-national level. This study seeks to expand the existing knowledge on the determinants of poverty in Africa south of the Sahara (SSA), examining how long-term climatic conditions and year-specific weather shocks affect expenditure per capita. We take advantage of a novel and unique dataset combining consumption-based household surveys for 24 SSA countries -representative of more than half of the African population and two thirds of SSA- and geospatial information on agro-climatic conditions, market access and other spatial covariates of poverty. To our knowledge, it is the first time that a welfare-based, multidisciplinary, micro-level dataset with such wide spatial coverage has been assembled and examined. Our analysis relies on a linear and spatial model at the household- and district-level, respectively, both controlling for socio-economic, demographic, and geographic confounding factors. Results are consistent across econometric approaches, showing that living in more humid areas is positively associated with welfare, while the opposite occurs living in hotter areas, as existing literature shows. Flood shocks -defined as annual rainfall higher than one standard deviation from the 50-year average- are associated to a 35% decrease in total and food per-capita consumption and 17 percentage point increase in extreme poverty. On the other hand, extreme shortages of rain and heat shocks show an uncertain effect, even when estimates control for spatial correlation between welfare and weather conditions using the spatial error correction model. Given the heterogeneous effects of climatic events across SSA macro-regions, local-specific adaptation and mitigation strategies are suggested to help bringing households on a sustainable path.",Bill and Melinda Gates Foundation,English,10.1016/j.worlddev.2019.104691,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6852,2020,World Development,0305-750X,,World Development 125(January 2020): 104691,climate; climate change; poverty; spatial data; cartography; data; surveys; weather shocks,Journal article
Climate change and agricultural productivity in sub-Saharan Africa,"Ward, Patrick S.; Florax, Raymond J.G.M.; Flores-Lagunes, Alfonso",,,English,10.1093/erae/jbt025,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4227,2014,European Review of Agricultural Economics,,,European Review of Agricultural Economics 41(2): 199-226,climate change; productivity; sampling; spatial econometrics; agricultural productivity; sample selection; generalised method of moments estimation,Journal article
Climate change and agriculture,"Calzadilla, Alvaro; Zhu, Tingju; Rehdanz, Katrin; Tol, Richard S. J.; Ringler, Claudia",,,English,10.1016/j.wre.2014.03.001,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4359,2014,Water Resources and Economics,,,Water Resources and Economics 5(May 2014): 24-48,climate change; agriculture; water resources; computable general equilibrium,Journal article
Climate change and agriculture in the Sudan: Impact pathways beyond changes in mean rainfall and temperature,"Siddig, Khalid; Stepanyan, Davit; Wiebelt, Manfred; Grethe, Harald; Zhu, Tingju",,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),English,10.1016/j.ecolecon.2019.106566,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7126,2020,Ecological Economics,0921-8009,Elsevier,Ecological Economics 169(March 2020): 106566,climate; climate change; climate-smart agriculture; agriculture; rain; rainfall patterns; temperature; yields; global climate change; local yield changes; climate variability; interventions,Journal article
"Climate change and developing country growth: The cases of Malawi, Mozambique, and Zambia","Arndt, Channing; Chinowsky, Paul; Fant, Charles; Paltsev, Sergey; Schlosser, Adam; Strzepek, Kenneth; Tarp, Finn; Thurlow, James","We consider the interplay of climate change impacts, global mitigation policies, and the economic interests of developing countries to 2050. Focusing on Malawi, Mozambique, and Zambia, we employ a structural approach to biophysical and economic modeling that incorporates climate uncertainty and allows for rigorous comparison of climate, biophysical, and economic outcomes across global mitigation regimes. We find that effective global mitigation policies generate two sources of benefit. First, less distorted climate outcomes result in typically more favorable and less variable economic outcomes. Second, successful global mitigation policies reduce global fossil fuel producer prices, relative to unconstrained emissions, providing a substantial terms of trade boost of structural fuel importers. Combined, these gains are on the order of or greater than estimates of mitigation costs. These results highlight the interests of most developing countries in effective global mitigation policies, even in the relatively near term, with much larger benefits post-2050.",Southern Africa – Towards Inclusive Economic Development (SA-TIED) program,English,10.1007/s10584-019-02428-3,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6653,2019,Climatic Change,0165-0009,Springer,Climatic Change 154(3-4): 335–349,climate change; developing countries; fossil fuels; food security; fuels; emission; climate change mitigation; economic growth; country growth; global mitigation policies; economic outcomes; fuel price,Journal article
Climate change and economic growth prospects for Malawi,"Arndt, Channing; Schlosser, Adam; Strzepek, Kenneth; Thurlow, James",,,English,10.1093/jae/eju013,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4638,2014,Journal of African Economies,,,Journal of African Economies 23(Suppl 2): ii83-ii107,climate change; growth; development; computable general equilibrium model; cge model; economic impact; probabilistic analysis,Journal article
Climate change and economic growth: An intertemporal general equilibrium analysis for Egypt,"Elshennawy, Abeer; Robinson, Sherman; Willenbockel, Dirk",,,English,10.1016/j.econmod.2015.10.008,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5133,2016,Economic Modelling,,,Economic Modelling 52 Part B (January 2016): 681 - 689,climate change; climate change adaptation; computable general equilibrium (cge) model; scenario analysis; intertemporal optimism,Journal article
Climate change and nutrition,"Tirado, Maria Cristina; Crahay, Philippe; Mahy, Lina; Zanev, Catherine; Neira, Maria; Msangi, Siwa; Brown, Rebecca; Scaramella, Carlo; Costa Coitinho, Denise; Müller, Alexander",,,English,10.1177/156482651303400415,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4288,2013,Food and Nutrition Bulletin,,,Food and Nutrition Bulletin 34(4): 533-547,adaptation; agriculture; climate change; health diets; food security; health; nutrition; undernutrition; sustainable development; risk analysis; mitigation; risk reduction,Journal article
Climate change and water,"Ringler, Claudia; Ebrahim, Menaal",,,English,10.1142/s2382624x15710022,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5032,2015,Water Economics and Policy,,,Water Economics and Policy 1(3): 1571002,climate change; water; economics,Journal article
Climate change effects on agriculture,"Nelson, Gerald C.; Valin, Hugo; Sands, Ronald D.; Havlík, Petr; Ahammad, Helal; Deryng, Delphine; Elliott, Joshua; Fujimori, Shinichiro; Hasegawa, Tomoko; Heyhoe, Edwina; Kyle, Page; Von Lampe, Martin; Lotze-Campen, Hermann; Mason d'Croz, Daniel; van Meijl, Hans; van der Mensbrugghe, Dominique; Müller, Christoph; Popp, Alexander; Robertson, Richard D.; Robinson, Sherman; Schmid, Erwin; Schmitz, Christoph; Tabeau, Andrzej; Willenbockel, Dirk",,,English,10.1073/pnas.1222465110,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4208,2014,Proceedings of the National Academy of Sciences of the United States of America (PNAS),,,Proceedings of the National Academy of Sciences of the United States of America (PNAS) 111(9): 3274-3279,agricultural development; protected areas; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets; climate change adaptation; model intercomparison; integrated assessment; agricultural productivity; impact model; international model for policy analysis of agricultural commodities and trade; shocks; resilience,Journal article
Climate change effects on agriculture and food security in Tajikistan,"Khakimov, Parviz; Aliev, Jovidon; Thomas, Timothy S.; Ilyasov, Jarilkasin; Dunston, Shahnila","Climate change is one of the main challenges for Tajikistan’s agricultural development and food security both in the medium and longer term. It is considered one of the key obstacles to achieving the country’s strategic objectives as defined in the National Development Strategy for 2016–2030, which includes ensuring food security and access to quality nutrition by 2030. Using IFPRI’s International Model for Policy Analysis of Agricultural Commodities and Trade (IMPACT), this article examines the effects of climate change on agriculture and food security in Tajikistan. The model simulation results show that yields of some major crops will decline significantly and project an overall negative effect of climate change on the agriculture sector in the country. Climate change will be one of the main challenges for food security, leading to an increased number of people at risk of hunger, malnourishment, especially among children and other vulnerable groups, and insufficient per capita calorie intake. Lower food availability may lead to higher food prices, which would negatively affect the livelihood of the population.",,English,10.16997/srjed.33,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7624,2020,Silk Road: A Journal of Eurasian Development,2631-682X,University of Westminster Press,Silk Road: A Journal of Eurasian Development 2(1): 89–112,food security; models; climate change; agriculture; population; nutrition; yields; crops; impact model,Journal article
"Climate change effects on chickpea yield and its variability in Andhra Pradesh, India","Kumar, K. Nirmal Ravi; Reddy, M. Jagan Mohan; Babu, Suresh Chandra","Farmers usually do not know the precise output that is affected by climatic factors such as temperature and rainfall and are characterized by inter-annual variability, part of which is caused by global climate change. No study covers the influences of climate factors on yield and yield risk in the context of chickpea farming in Andhra Pradesh, India. In this context, this study aimed to investigate the trends in climate change variables during Rabi season (October to January, 1996-2020) and evaluated their variability on chickpea yields across different agro-climatic zones in Andhra Pradesh by employing Just and Pope production function. Four non-parametric methods-Alexandersson’s Standard Normal Homogeneity Test, Buishand’s Range Test, Pettitt’s Test and Von Neumann’s Ratio Test are applied to detect homogeneity in the data. Mann–Kendall (MK) test and Sen’s slope (SS) method were employed to analyze monthly rainfall trends and minimum and maximum temperature trends. Results of Just and Pope (panel data) quadratic and Cobb-Douglas methods revealed that monthly minimum temperature positively influenced the mean yield of chickpea (0.22% and 0.16%, respectively). However, rainfall (-0.41% and -0.31%) and maximum temperature (-0.08% and -0.04%) negatively influenced the mean yield of chickpea under quadratic and Cobb-Douglas models, respectively. Accordingly, rainfall (0.08% and 0.06%) and maximum temperature (0.83% and 0.72%) positively influenced the yield variability and minimum temperature (-0.77% and -0.67%) reduced yield variability of chickpea under quadratic and Cobb-Douglas models respectively. In view of these findings, it is imperative to advocate the farmers about the importance of cultivating drought-tolerant chickpea varieties, drought-proofing and mitigation strategies, micro-irrigation practices and improving their access to agro-meteorological information towards sustainable chickpea cultivation in Andhra Pradesh.",,English,10.31018/jans.v15i1.4102,Open Access,https://creativecommons.org/licenses/by-nc/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8956,2023,Journal of Applied and Natural Science,0974-9411,Applied and Natural Science Foundation (ANSF),Journal of Applied and Natural Science 15(1): 178 -193,chickpeas; climate change; crop yield; rainfall; rainfall patterns; research,Journal article
Climate change impact on global potato production,"Raymundo, Rubí; Asseng, Senthold; Robertson, Richard D.; Petsakos, Athanasios; Hoogenboom, Gerrit; Quiroz, Roberto; Hareau, Guy; Wolf, Joost",,United States Agency for International Development USAID; International Potato Center (CIP); University of Florida,English,10.1016/j.eja.2017.11.008,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6099,2018,European Journal of Agronomy,,Elsevier,European Journal of Agronomy 100(October 2018): 87-98,potatoes; climate change; crop modelling; crop yield; carbon dioxide,Journal article
Climate change impact on Mexico wheat production,"Hernandez-Ochoa, Ixchel M.; Asseng, Senthold; Kassie, Belay T.; Xiong, Wei; Robertson, Ricky",,"International Maize and Wheat Improvement Center (CIMMYT); Mexico’s Ministry of Agriculture (Secretaria de Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentación, SAGARPA)",English,10.1016/j.agrformet.2018.09.008,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6356,2018,Agricultural and Forest Meteorology,,Elsevier,Agricultural and Forest Meteorology 263(December 2018): 373-387,triticum; crop modelling; climate change; wheat; crop production; yield forecasting; irrigation methods; cereal crops; model ensemble; crop simulation model; uncertainty,Journal article
Climate change impacts and adaptation options for water and food in Pakistan,"Zhu, Tingju; Ringler, Claudia; Iqbal, M. Mohsin; Sulser, Timothy B.; Goheer, M. Arif",,,English,10.1080/02508060.2013.830682,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4108,2013,Water International,,,Water International 38(5): 651-669. Special Issue on Water for food security: Challenges for Pakistan,agriculture; irrigation; climate change; food security,Journal article
Climate change impacts on agriculture in 2050 under a range of plausible socioeconomic and emissions scenarios,"Wiebe, Keith D.; Lotze-Campen, Hermann; Sands, Ronald D.; Tabeau, Andrzej; van der Mensbrugghe, Dominique; Biewald, Anne; Bodirsky, Benjamin; Islam, Shahnila; Kavallari, Aikaterini; Mason-D’Croz, Daniel; Müller, Christoph; Popp, Alexander; Robertson, Richard D.; Robinson, Sherman; van Meijl, Hans; Willenbockel, Dirk",,,English,10.1088/1748-9326/10/8/085010,Open Access,https://creativecommons.org/licenses/by/3.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4999,2015,Environmental Research Letters,,,Environmental Research Letters 10: 085010,climate change; food security; socioeconomic environment; agriculture; agricultural production; impact model,Journal article
Climate change impacts on China's agriculture: The responses from market and trade,"Xie, Wei; Huang, Jikun; Wang, Jinxia; Cui, Qi; Robertson, Richard D.; Chen, Kevin Z.",,Ministry of Science and Technology of the People's Republic of China; NSFC-CGIAR; Australian Centre for International Agricultural Research; National Natural Science Foundation of China,English,10.1016/j.chieco.2018.11.007,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6538,2020,China Economic Review,1043-951X,,China Economic Review 62(August 2020): 101256,climate change; agriculture; markets; trade; food security; forecasting; commodities; food supply; commodity markets; resource management; economic development; prices,Journal article
Climate change impacts on water availability and use in the Limpopo River Basin,"Zhu, Tingju; Ringler, Claudia",,,English,10.3390/w4010063,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/500,2012,Water,,,Water 4(1): 63-84. Special Issue on Managing Water Resources and Development in a Changing Climate,climate change; hydrology; water resources; irrigation,Journal article
Climate change perception and adaptation of agro-pastoral communities in Kenya,"Silvestri, Silvia; Bryan, Elizabeth; Ringler, Claudia; Herrero, Mario; Okoba, Barrack",,,English,10.1007/s10113-012-0293-6,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3596,2012,Regional Environmental Change,,,Regional Environmental Change 12(4): 791-802,perception; adaptation; climate change; livestock,Journal article
"Climate change, agriculture and food security","Vermeulen, Sonja; Zougmoré, Robert; Wollenberg, Eva; Thornton, Philip; Nelson, Gerald C.; Kristjanson, Patricia; Kinyangi, James; Jarvis, Andrew; Hansen, James; Challinor, Andrew; Campbell, Bruce; Aggarwal, Pramod",,,English,10.1016/j.cosust.2011.12.004,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3821,2012,Current Opinion in Environmental Sustainability,,,Current Opinion in Environmental Sustainability 4(1): 128-133,climate change; food security; agriculture,Journal article
"Climate change, income sources, crop mix, and input use decisions: Evidence from Nigeria","Amare, Mulubrhan; Balana, Bedru","This paper combines panel data from nationally representative household-level surveys in Nigeria with long-term satellite-based spatial data on temperature and precipitation using geo-referenced information related to households. It aims to quantify the impacts of climate change on agricultural productivity, income shares, crop mix, and input use decisions. We measure climate change in harmful degree days, growing degree days, and changes in precipitation using long-term (30 year) changes in temperature and precipitation anomalies during the crop calendars. We find that, controlling for other factors, a 15% (one standard deviation) increase in change in harmful degree days leads to a decrease in agricultural productivity of 5.22% on average. Similarly, precipitation change has resulted in a significant and negative impact on agricultural productivity. Our results further show that the change in harmful degree days decreases the income share from crops and nonfarm self-employment, while it increases the income share from livestock and wage employment. Examining possible transmission channels for this effect, we find that farmers change their crop mix and input use to respond to climate changes, for instance reducing fertilizer use and seed purchases as a response to increases in extreme heat. Based on our findings, we suggest policy interventions that incentivize adoption of climate-resilient agriculture, such as small-scale irrigation and livelihood diversification. We also propose targeted pro-poor interventions, such as low-cost financing options for improving smallholders' access to climate-proof agricultural inputs and technologies, and policy measures to reduce the inequality of access to livelihood capital such as land and other productive assets.",United States Agency for International Development USAID,English,10.1016/j.ecolecon.2023.107892,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8719,2023,Ecological Economics,0921-8009,Elsevier,Ecological Economics 211(September 2023): 107892,agricultural productivity; climate change; crops; data; household surveys; income; livestock; nonfarm income; smallholders; spatial data,Journal article
Climate impact and adaptation to heat and drought stress of regional and global wheat production,"Noleto Luz Pequeno, Diego; Hernandez-Ochoa, Ixchel Manuela; Reynolds, Matthew; Sonder, Kai; Molero-Milan, Anabel; Robertson, Richard","Wheat (Triticum aestivum) is the most widely grown food crop in the world threatened by future climate change. In this study, we simulated climate change impacts and adaptation strategies for wheat globally using new crop genetic traits (CGT), including increased heat tolerance, early vigor to increase early crop water use, late flowering to reverse an earlier anthesis in warmer conditions, and the combined traits with additional nitrogen (N) fertilizer applications, as an option to maximize genetic gains. These simulations were completed using three wheat crop models and five Global Climate Models (GCM) for RCP 8.5 at mid-century. Crop simulations were compared with country, US state, and US county grain yield and production. Wheat yield and production from high-yielding and low-yielding countries were mostly captured by the model ensemble mean. However, US state and county yields and production were often poorly reproduced, with large variability in the models, which is likely due to poor soil and crop management input data at this scale. Climate change is projected to decrease global wheat production by -1.9% by mid-century. However, the most negative impacts are projected to affect developing countries in tropical regions. The model ensemble mean suggests large negative yield impacts for African and Southern Asian countries where food security is already a problem. Yields are predicted to decline by -15% in African countries and -16% in Southern Asian countries by 2050. Introducing CGT as an adaptation to climate change improved wheat yield in many regions, but due to poor nutrient management, many developing countries only benefited from adaptation from CGT when combined with additional N fertilizer. As growing conditions and the impact from climate change on wheat vary across the globe, region-specific adaptation strategies need to be explored to increase the possible benefits of adaptations to climate change in the future.",Bill and Melinda Gates Foundation; World Bank Group; European Commission; Government of Mexico; International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA),English,10.1088/1748-9326/abd970,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7628,2021,Environmental Research Letters,1748-9326,IOP Publishing Ltd.,Environmental Research Letters 16(5): 054070,wheat; climate change; food production; drought; heat; triticum aestivum; crops; models; fertilizers; nitrogen; crop genetic traits (cgt); global climate models (gcm); wheat crop models,Journal article
Climate shock response and resilience of smallholder farmers in the drylands of south-eastern Zimbabwe,"Nkonya, Ephraim; Kato, Edward; Msimanga, Mthabisi; Nyathi, Nomqhele","Climatic shocks are exerting pressure on livelihoods of Zimbabwe's smallholder farmer—who irrigate only 2% of their farms. The smallholder farmers in drought-prone areas are more exposed to drought because of their limited ability to cope with shocks and their greater concentration in less favorable climatic regions. This study was done to analyze shock-response approaches, which farmers use to cope with climatic shocks. Both quantitative and qualitative approaches were used to analyze impact of World Vision Zimbabwe (WVZ) and other actors' interventions on farmer resilience to climatic shocks. Results show that mixed cropping and diversification in general were among the major strategies that pastoralists and crop farmers used to cope with climatic shocks. Crop farmers diversified types of crops as well as raising livestock. Similarly, pastoralists started growing short-term crops. Other coping strategies included intercropping, selling livestock, moving livestock to other places that did not experience drought. Both crop producers and livestock keepers engaged in nonfarm activities. About 60% of WVZ households reported that World Vision and partners helped them respond to shock and build resilience against climate change. These coping strategies had favorable impacts on household welfare. Diversification increased dietary diversity index by more than two and the increase was much greater among female-headed households than male-headed households. The WVZ intervention also significantly reduced the odds of going to bed without eating food or sleeping hungry. Non-farm income and value of assets for WVZ beneficiaries increased by about 20% and by 22% among treated female-headed households. The results show that diversification and providing grass root training of smallholder farmers increases their resilience to climate shocks.",World Vision,English,10.3389/fclim.2023.890465,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8708,2023,Frontiers in Climate,2624-9553,Frontiers Media S.A.,Frontiers in Climate 5: 890465,agriculture; assets; climate change; diversification; drought; farmers; gender; hunger; livelihoods; livestock; mixed farming; shock; resilience; smallholders,Journal article
Climate smart agriculture and global food-crop production,"De Pinto, Alessandro; Cenacchi, Nicola; Kwon, Ho Young; Koo, Jawoo; Dunston, Shahnila","Most business-as-usual scenarios for farming under changing climate regimes project that the agriculture sector will be significantly impacted from increased temperatures and shifting precipitation patterns. Perhaps ironically, agricultural production contributes substantially to the problem with yearly greenhouse gas (GHG) emissions of about 11% of total anthropogenic GHG emissions, not including land use change. It is partly because of this tension that Climate Smart Agriculture (CSA) has attracted interest given its promise to increase agricultural productivity under a changing climate while reducing emissions. Considerable resources have been mobilized to promote CSA globally even though the potential effects of its widespread adoption have not yet been studied. Here we show that a subset of agronomic practices that are often included under the rubric of CSA can contribute to increasing agricultural production under unfavorable climate regimes while contributing to the reduction of GHG. However, for CSA to make a significant impact important investments and coordination are required and its principles must be implemented widely across the entire sector.",,English,10.1371/journal.pone.0231764,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7214,2020,PLoS ONE,1932-6203,PLOS,PLoS ONE 15(4): e0231764,climate change; crop production; food production; agricultural production; greenhouse gas emissions; climate-smart agriculture; models; technology; food security; decision support system for agrotechnology transfer (dssat); impact model; spatial production allocation model (spam),Journal article
Climate uncertainty and economic development,"Arndt, Channing; Thurlow, James",,,English,10.1007/s10584-014-1294-x,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4881,2015,Climatic Change,,,Climatic Change 130(1): 63 - 75,climate change; economy; climate change shocks; structural biophysical models,Journal article
"Climate variability and inter-provincial migration in South America, 1970–2011","Thiede, Brian; Gray, Clark; Mueller, Valerie",,,English,10.1016/j.gloenvcha.2016.10.005,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5564,2016,Global Environmental Change,,,Global Environmental Change 42(November 2016): 228 - 240,climate change; migration; urbanization; rural areas; vulnerability; resilience; environmental shocks,Journal article
Climate variability and simultaneous breadbasket yield shocks as observed in long-term yield records,"Anderson, Weston; Baethgen, Walter; Capitanio, Fabian; Ciais, Philippe; Cook, Benjamin I.; You, Liangzhi","That climate variability and change can potentially force multiple simultaneous breadbasket crop yield shocks has been established. But research quantifying the mechanisms behind such simultaneous shocks has been constrained by short records of crop yields. Here we compile a dataset of subnational crop yields in 25 countries dating back to 1900 to study the frequency and trends in multiple breadbasket yield shocks and how large-scale climate anomalies on interannual timescales have affected multiple breadbasket yield shocks over the last century. We find that major simultaneous breadbasket yield shocks have occurred in at least three, four, or five of nine breadbaskets 10.3%, 2.3% and 1.1% of the time for maize and 18.4%, 4.6% and 2.3% of the time for wheat. Furthermore, we find that multiple breadbasket yield shocks decreased in frequency even as those breadbaskets experience increasingly frequent climate-related shocks. For both maize and wheat breadbaskets, there were fewer simultaneous yield shocks during the 1975–2017 time period as compared to 1931–1975. Finally, we find that interannual modes of climate variability - such as the El Niño Southern Oscillation (ENSO), the Indian Ocean Dipole (IOD), and the North Atlantic Oscillation (NAO) - have all affected the relative probability of simultaneous yield shocks in pairs of breadbaskets by up to 20–40% in both maize and wheat breadbaskets. While past literature has focused on the effects of ENSO, we find that at the global scale the NAO affects the overall number of wheat yield shocks most strongly despite only affecting northern hemisphere breadbaskets.",Columbia University,English,10.1016/j.agrformet.2023.109321,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/9029,2023,Agricultural and Forest Meteorology,0168-1923,Elsevier,Agricultural and Forest Meteorology 331(15 March 2023): 109321,climate variability; climate change; bread; yields; shock; maize; wheat; el niño; oscillatory flow; north atlantic; indian ocean; multiple breadbasket failures,Journal article
